id,agenda_legislativa,corporacion_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
1159,6777,1,12445,NA,NA,NA,NA,NA
1160,6770,1,12432,NA,NA,NA,NA,NA
1161,6763,1,12422,NA,NA,NA,NA,NA
1162,6763,2,12423,NA,NA,NA,NA,NA
1163,6762,1,12424,NA,NA,NA,NA,NA
1164,6761,2,12413,NA,NA,NA,NA,NA
1165,6749,2,12405,NA,NA,NA,NA,NA
1166,6748,1,12410,NA,NA,NA,NA,NA
1167,6744,1,12395,NA,NA,NA,NA,NA
1168,6743,2,12389,NA,NA,NA,NA,NA
1169,6730,2,12388,NA,NA,NA,NA,NA
1170,6729,1,12385,NA,NA,NA,NA,NA
1171,6720,1,12377,NA,NA,NA,NA,NA
1172,6708,2,12367,NA,NA,NA,NA,NA
1173,6705,1,12364,NA,NA,NA,NA,NA
1174,6699,2,12351,NA,NA,NA,NA,NA
1175,6693,1,12357,NA,NA,NA,NA,NA
1176,6686,1,12518,NA,NA,NA,NA,NA
1177,6685,2,12515,NA,NA,NA,NA,NA
1178,6679,1,12516,NA,NA,NA,NA,NA
1179,6674,1,12512,NA,NA,NA,NA,NA
1180,6674,2,12513,NA,NA,NA,NA,NA
1181,6673,2,12509,NA,NA,NA,NA,NA
1182,6662,1,12355,NA,NA,NA,NA,NA
1183,6661,2,12305,NA,NA,NA,NA,NA
1184,6657,1,12356,NA,NA,NA,NA,NA
1185,6652,2,12296,NA,NA,NA,NA,NA
1186,6639,1,12319,NA,NA,NA,NA,NA
1187,6638,2,12317,NA,NA,NA,NA,NA
1188,6635,1,12289,NA,NA,NA,NA,NA
1189,6631,2,12284,NA,NA,NA,NA,NA
1190,6627,1,12318,NA,NA,NA,NA,NA
1191,6616,2,12276,NA,NA,NA,NA,NA
1192,6604,1,12275,NA,NA,NA,NA,NA
1193,6600,2,12270,NA,NA,NA,NA,NA
1194,6599,2,12268,NA,NA,NA,NA,NA
1195,6598,1,12265,NA,NA,NA,NA,NA
1196,6595,1,12258,NA,NA,NA,NA,NA
1197,6585,2,12254,NA,NA,NA,NA,NA
1198,6584,1,12251,NA,NA,NA,NA,NA
1199,6584,2,12252,NA,NA,NA,NA,NA
1200,6560,1,12259,NA,NA,NA,NA,NA
1201,6559,2,12237,NA,NA,NA,NA,NA
1202,6558,2,12260,NA,NA,NA,NA,NA
1203,6557,1,12261,NA,NA,NA,NA,NA
1204,6557,2,12262,NA,NA,NA,NA,NA
1205,6553,1,12228,NA,NA,NA,NA,NA
1206,6545,2,12224,NA,NA,NA,NA,NA
1207,6544,2,12221,NA,NA,NA,NA,NA
