id,created_at,updated_at,tipo_investigacion_id,descripcion,congresista_id
164,2011-03-14 15:47:44.467237,2013-01-24 20:49:42.997685,58,"La Procuraduría General de la Nación le inició investigación disciplinaria (11MAR11). La investigación se origina a partir de la compulsa de copias que hiciera la Corte Suprema de Justicia para investigar los supuestos indebidos manejos en la Dirección Nacional de Estupefacientes. Llamado a versión libre (18ENE12).

http://www.elespectador.com/noticias/judicial/articulo-256299-escandalo-de-dne-procuraduria-abre-indagacion-13-
dirigentes
Visto: enero 24/13

La Corte Suprema abrió investigación preliminar en contra por el supuesto tráfico de influencias que ejercieron dentro de la Dirección Nacional de Estupefacientes, DNE (06ABR11).
http://www.elespectador.com/noticias/judicial/articulo-261299-caso-dne-corte-abre-indagacion-14-dirigentes
Visto: enero 24/13
",9
27,2010-02-15 22:24:46.152750,2013-04-12 16:56:58.031340,3,"Ante el Consejo de Estado el exsenador Luis Eduardo Vives Lacouture solicitó que se anule la sanción disciplinaria interpuesta por la Procuraduría General en su contra por vínculos con grupos paramilitares (12ABR13). CONDENADO a siete años de prisión y $923 millones en el proceso de la PARAPOLÍTICA (01AGO08). Se le dio casa por cárcel alegando ser padre cabeza de familia (9ENE09) pero se rebocó la medida al no demostrar la situación de cabeza de hogar (10MAR09). Renunció a la curul (27NOV07).

http://www.elespectador.com/noticias/judicial/articulo-415526-exsenador-luis-eduardo-vives-lacouture-pide-se-anule-fallo-disci
Tomado: abril 12/13

http://www.elespectador.com/parapolitica/articulo-luis-eduardo-vives-condenado-siete-anos-parapolitica
Visto: enero 30/13",1007
114,2010-04-27 22:30:50.689368,2013-01-28 20:59:49.592492,85,"Tiene investigación preliminar por posibles nexos con grupos armados ilegales. Se abrió investigación penal y disciplinaria pues el senador habría hecho gestiones irregulares para que le fueran entregados nueve establecimientos de comercio, denominados Mercacentro y Mercafácil, a la Caja de Compensación del Tolima, representada por Nélson Norbey Quintero.

http://www.kienyke.com/2011/11/30/los-pecados-de-catorce-congresistas/

Visto: enero 28/13",256
108,2010-04-20 15:46:53.259436,2013-01-30 15:19:02.979222,1,"Tiene una investigación preliminar por presuntos nexos con grupos armados ilegales.
http://www.eje21.com.co/index.php?option=com_content&task=view&id=13170&Itemid=1
Visto: enero 30/13",2485
106,2010-04-13 16:04:21.802052,2013-01-30 15:30:18.431309,31,"Investigan origen de más de $130 millones de pesos transportados en avioneta vinculados a campaña política (13MAR10).

http://www.caracol.com.co/noticias/judicial/investigan-origen-de-mas-de-130-millones-de-pesos-transportados-en-avioneta-vinculados-a-campana-politica/20100313/nota/968458.aspx
Visto: enero 30/13",970
25,2010-02-15 22:18:49.887475,2013-02-01 14:06:52.456388,6,"Renunció por inhabilidad para ocupar el cargo (18AGO09). LLAMADO A JUICIO (09DIC09).
www.procuraduria.gov.co/.../file/.../161-02600.do... - 
Visto: enero 28/13",1309
120,2010-05-04 16:01:26.683840,2013-01-28 20:51:07.895029,12,"Fue condenado a 18 meses de prisión domiciliaria por la Sala Penal del Tribunal Superior de Tunja, por el delito de receptación, quedando inhabilitado para el ejercicio de funciones públicas por igual tiempo que la pena principal.

http://www.terra.com.co/elecciones_2002/congreso_2002_2006/22-07-2002/nota63342.html

Visto: enero 28/13",868
168,2011-04-07 16:13:10.328611,2013-01-24 20:46:14.948209,3,"El congresista Conde Romero fue condenado (06ABR11) a 60 meses de prisión luego de que la Sala penal de la Corte Suprema de Justicia lo declarara culpable del cargo de concierto para delinquir agravado, derivado de su vinculación al escándalo de la parapolítica. Fue detenido (08JUN10) por sus presuntos vínculos con paramilitares. Conde Romero es investigado luego de que Edward Cobos Téllez, alias ‘Diego Vecino’, sostuviera durante una audiencia pública que los paramilitares sí tuvieron varios vínculos con él. 

http://www.elespectador.com/noticias/judicial/articulo-261335-parapolitica-condenan-jose-maria-conde-romero
Visto: enero 24/13",2486
154,2010-12-09 21:49:18.750734,2013-01-24 21:01:19.970803,25,"La Fiscalía precluyó la investigación que se adelantaba en contra del ex senador Gnecco, por su presunta relación con miembros de las AUC (08NOV09). En marzo de 2008 tenía investigación  como presunto responsable del delito de concierto para delinquir agravado, según determinó un fiscal de la Unidad Nacional Antiterrorismo.

http://www.elespectador.com/articulo155466-cierran-investigacion-parapolitica-contra-pepe-gnecco
Visto: enero 24/13",574
127,2010-07-19 21:33:17.021085,2010-07-19 21:33:17.021118,41,"La cifra de votos obtenidos corresponde al total de votos del partido, dado que éste inscribió una lista cerrada.",60
