id,proyecto_ley_estado_id,congresista_id,tipo_publicacion_proyecto_ley_id,es_coordinador,activo,usercreated,usermodifed
37308,20713,2326,NA,NA,NA,NA,NA
37309,20711,492,NA,NA,NA,NA,NA
37309,20711,833,NA,NA,NA,NA,NA
37310,20711,936,NA,NA,NA,NA,NA
37311,20711,532,NA,NA,NA,NA,NA
37311,20711,2326,NA,NA,NA,NA,NA
49883,3302,1849,NA,NA,NA,NA,NA
49883,3302,18,NA,NA,NA,NA,NA
49884,3302,1664,NA,NA,NA,NA,NA
49884,3302,1447,NA,NA,NA,NA,NA
49884,3302,1448,NA,NA,NA,NA,NA
49884,3302,2270,NA,NA,NA,NA,NA
49884,3302,1328,NA,NA,NA,NA,NA
24234,10516,1607,NA,NA,NA,NA,NA
24234,10516,2325,NA,NA,NA,NA,NA
24234,10516,1335,NA,NA,NA,NA,NA
24234,10516,2626,NA,NA,NA,NA,NA
24235,10516,1446,NA,NA,NA,NA,NA
24235,10516,1772,NA,NA,NA,NA,NA
24235,10516,2169,NA,NA,NA,NA,NA
24235,10516,2604,NA,NA,NA,NA,NA
24236,10516,1313,NA,NA,NA,NA,NA
24236,10516,1312,NA,NA,NA,NA,NA
24237,10516,1316,NA,NA,NA,NA,NA
24237,10516,1408,NA,NA,NA,NA,NA
24237,10516,1409,NA,NA,NA,NA,NA
41398,22053,578,NA,NA,NA,NA,NA
41398,22053,1043,NA,NA,NA,NA,NA
29233,27935,1143,NA,NA,NA,NA,NA
24238,10516,1822,NA,NA,NA,NA,NA
24238,10516,1320,NA,NA,NA,NA,NA
24238,10516,1419,NA,NA,NA,NA,NA
24239,10516,1093,NA,NA,NA,NA,NA
24239,10516,1411,NA,NA,NA,NA,NA
41399,22053,1434,NA,NA,NA,NA,NA
41399,22053,1436,NA,NA,NA,NA,NA
41399,22053,1435,NA,NA,NA,NA,NA
41400,22053,734,NA,NA,NA,NA,NA
41400,22053,1035,NA,NA,NA,NA,NA
41400,22053,346,NA,NA,NA,NA,NA
41400,22053,1653,NA,NA,NA,NA,NA
41400,22053,2265,NA,NA,NA,NA,NA
41400,22053,2593,NA,NA,NA,NA,NA
41837,30505,991,NA,NA,NA,NA,NA
41837,30505,1596,NA,NA,NA,NA,NA
41837,30505,2327,NA,NA,NA,NA,NA
41837,30505,2614,NA,NA,NA,NA,NA
36508,19124,750,NA,NA,NA,NA,NA
36508,19124,1131,NA,NA,NA,NA,NA
36508,19124,363,NA,NA,NA,NA,NA
36509,19124,1434,NA,NA,NA,NA,NA
36509,19124,1436,NA,NA,NA,NA,NA
36509,19124,1435,NA,NA,NA,NA,NA
36510,19124,630,NA,NA,NA,NA,NA
41838,30505,951,NA,NA,NA,NA,NA
41838,30505,1656,NA,NA,NA,NA,NA
41838,30505,1224,NA,NA,NA,NA,NA
41838,30505,189,NA,NA,NA,NA,NA
41838,30505,2261,NA,NA,NA,NA,NA
36512,19120,1341,NA,NA,NA,NA,NA
36512,19120,1340,NA,NA,NA,NA,NA
36512,19120,1339,NA,NA,NA,NA,NA
36512,19120,1654,NA,NA,NA,NA,NA
36512,19120,2253,NA,NA,NA,NA,NA
36750,19286,1474,NA,NA,NA,NA,NA
36750,19286,1854,NA,NA,NA,NA,NA
36751,19286,434,NA,NA,NA,NA,NA
36751,19286,788,NA,NA,NA,NA,NA
36751,19286,994,NA,NA,NA,NA,NA
36751,19286,1692,NA,NA,NA,NA,NA
36751,19286,2358,NA,NA,NA,NA,NA
36752,19286,97,NA,NA,NA,NA,NA
36752,19286,574,NA,NA,NA,NA,NA
49892,26615,1687,NA,NA,NA,NA,NA
49892,26615,1361,NA,NA,NA,NA,NA
49892,26615,1359,NA,NA,NA,NA,NA
49892,26615,1360,NA,NA,NA,NA,NA
49893,26615,217,NA,NA,NA,NA,NA
49893,26615,1220,NA,NA,NA,NA,NA
49893,26615,654,NA,NA,NA,NA,NA
50227,3055,370,NA,NA,NA,NA,NA
49885,3302,220,NA,NA,NA,NA,NA
36753,19286,582,NA,NA,NA,NA,NA
36753,19286,2331,NA,NA,NA,NA,NA
36753,19286,2371,NA,NA,NA,NA,NA
36931,30143,732,NA,NA,NA,NA,NA
36931,30143,1086,NA,NA,NA,NA,NA
36932,30143,923,NA,NA,NA,NA,NA
49886,35055,80,NA,NA,NA,NA,NA
49887,35055,429,NA,NA,NA,NA,NA
49887,35055,784,NA,NA,NA,NA,NA
49887,35055,1178,NA,NA,NA,NA,NA
49887,35055,1688,NA,NA,NA,NA,NA
49888,35057,80,NA,NA,NA,NA,NA
49889,35057,429,NA,NA,NA,NA,NA
49889,35057,784,NA,NA,NA,NA,NA
49889,35057,1178,NA,NA,NA,NA,NA
49889,35057,1688,NA,NA,NA,NA,NA
49615,3665,737,NA,NA,NA,NA,NA
49615,3665,1152,NA,NA,NA,NA,NA
49615,3665,352,NA,NA,NA,NA,NA
49615,3665,1667,NA,NA,NA,NA,NA
49615,3665,2266,NA,NA,NA,NA,NA
49616,3665,1972,NA,NA,NA,NA,NA
49616,3665,811,NA,NA,NA,NA,NA
37312,20721,830,NA,NA,NA,NA,NA
37312,20721,1150,NA,NA,NA,NA,NA
37313,20719,830,NA,NA,NA,NA,NA
37313,20719,1150,NA,NA,NA,NA,NA
37314,20717,791,NA,NA,NA,NA,NA
37314,20717,1092,NA,NA,NA,NA,NA
37314,20717,1758,NA,NA,NA,NA,NA
24240,10516,1664,NA,NA,NA,NA,NA
24240,10516,1447,NA,NA,NA,NA,NA
24240,10516,1448,NA,NA,NA,NA,NA
24240,10516,2270,NA,NA,NA,NA,NA
24240,10516,1328,NA,NA,NA,NA,NA
24241,10516,316,NA,NA,NA,NA,NA
24241,10516,718,NA,NA,NA,NA,NA
24241,10516,1156,NA,NA,NA,NA,NA
24242,10516,1374,NA,NA,NA,NA,NA
24242,10516,1375,NA,NA,NA,NA,NA
24243,10516,1123,NA,NA,NA,NA,NA
24243,10516,456,NA,NA,NA,NA,NA
24243,10516,805,NA,NA,NA,NA,NA
37315,20715,791,NA,NA,NA,NA,NA
37315,20715,1092,NA,NA,NA,NA,NA
37315,20715,1758,NA,NA,NA,NA,NA
55069,36340,130,NA,NA,NA,NA,NA
55070,36340,1490,NA,NA,NA,NA,NA
55070,36340,1492,NA,NA,NA,NA,NA
55070,36340,1491,NA,NA,NA,NA,NA
55070,36340,1660,NA,NA,NA,NA,NA
55070,36340,2255,NA,NA,NA,NA,NA
55070,36340,2587,NA,NA,NA,NA,NA
49619,1677,1664,NA,NA,NA,NA,NA
49619,1677,1447,NA,NA,NA,NA,NA
49619,1677,1448,NA,NA,NA,NA,NA
49619,1677,2270,NA,NA,NA,NA,NA
49619,1677,1328,NA,NA,NA,NA,NA
49620,1677,517,NA,NA,NA,NA,NA
49621,1677,220,NA,NA,NA,NA,NA
49622,32989,1664,NA,NA,NA,NA,NA
49622,32989,1447,NA,NA,NA,NA,NA
49622,32989,1448,NA,NA,NA,NA,NA
49622,32989,2270,NA,NA,NA,NA,NA
49622,32989,1328,NA,NA,NA,NA,NA
49623,32989,1743,NA,NA,NA,NA,NA
49623,32989,1745,NA,NA,NA,NA,NA
49623,32989,1744,NA,NA,NA,NA,NA
49624,34863,1452,NA,NA,NA,NA,NA
49624,34863,1451,NA,NA,NA,NA,NA
49624,34863,1689,NA,NA,NA,NA,NA
49624,34863,2304,NA,NA,NA,NA,NA
49624,34863,1450,NA,NA,NA,NA,NA
49625,34863,333,NA,NA,NA,NA,NA
49626,34863,419,NA,NA,NA,NA,NA
49626,34863,779,NA,NA,NA,NA,NA
49626,34863,1044,NA,NA,NA,NA,NA
49626,34863,1949,NA,NA,NA,NA,NA
49627,34863,1602,NA,NA,NA,NA,NA
49627,34863,1403,NA,NA,NA,NA,NA
49627,34863,1404,NA,NA,NA,NA,NA
49627,34863,1402,NA,NA,NA,NA,NA
49628,25973,227,NA,NA,NA,NA,NA
49629,34870,442,NA,NA,NA,NA,NA
49630,34870,265,NA,NA,NA,NA,NA
49630,34870,1169,NA,NA,NA,NA,NA
49630,34870,688,NA,NA,NA,NA,NA
49631,34873,70,NA,NA,NA,NA,NA
24244,10516,615,NA,NA,NA,NA,NA
24244,10516,150,NA,NA,NA,NA,NA
24244,10516,1695,NA,NA,NA,NA,NA
24244,10516,2060,NA,NA,NA,NA,NA
24244,10516,2308,NA,NA,NA,NA,NA
49632,34873,89,NA,NA,NA,NA,NA
49633,34875,235,NA,NA,NA,NA,NA
49633,34875,673,NA,NA,NA,NA,NA
49633,34875,1627,NA,NA,NA,NA,NA
49633,34875,1111,NA,NA,NA,NA,NA
50222,2729,306,NA,NA,NA,NA,NA
50222,2729,715,NA,NA,NA,NA,NA
50223,2729,333,NA,NA,NA,NA,NA
49636,34897,401,NA,NA,NA,NA,NA
49636,34897,1263,NA,NA,NA,NA,NA
49636,34897,773,NA,NA,NA,NA,NA
49637,34898,116,NA,NA,NA,NA,NA
49637,34898,586,NA,NA,NA,NA,NA
49638,26718,865,NA,NA,NA,NA,NA
49638,26718,1953,NA,NA,NA,NA,NA
49639,2989,1430,NA,NA,NA,NA,NA
49639,2989,1431,NA,NA,NA,NA,NA
49639,2989,1432,NA,NA,NA,NA,NA
49640,2990,1430,NA,NA,NA,NA,NA
49640,2990,1431,NA,NA,NA,NA,NA
49640,2990,1432,NA,NA,NA,NA,NA
24245,10516,1637,NA,NA,NA,NA,NA
24245,10516,1050,NA,NA,NA,NA,NA
24245,10516,2330,NA,NA,NA,NA,NA
24246,10516,419,NA,NA,NA,NA,NA
24246,10516,779,NA,NA,NA,NA,NA
24246,10516,1044,NA,NA,NA,NA,NA
24246,10516,1949,NA,NA,NA,NA,NA
49643,3085,265,NA,NA,NA,NA,NA
