id,nombres,apellidos,fechaNacimiento,municipio_id_nacimiento,profesion_id,genero_id,fecha_fallecimiento,perfil_educativo,grado_estudio_id,activo,usercreated,usermodifed,created_at,updated_at
7620,Eduardo Alonso,Ramirez Rincon,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-13 19:52:00,2014-03-06 20:06:00
7621,Mauricio,Gómez Amín,1982-03-31,5,174,1,NA,NA,4,1,NA,NA,2014-01-13 19:56:00,2021-03-15 15:31:00
7622,Jairo,Gomez Buitrago,NA,NA,185,1,NA,NA,5,1,NA,NA,2014-01-13 19:57:00,2018-02-28 17:47:00
7623,Luz Marina,Esper Fayad,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-13 20:00:00,2014-07-18 10:03:00
7624,Laureano,Verdeza Garavito,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-13 20:01:00,2014-02-17 16:43:00
7627,Elverth,Santos Romero,NA,233,196,1,NA,NA,4,1,NA,NA,2014-01-13 20:03:00,2014-02-25 16:03:00
7628,Ramon Chacho,Carbo Lacouture,NA,5,185,1,NA,NA,5,1,NA,NA,2014-01-13 20:05:00,2014-07-18 10:03:00
7629,Maria Elisa,Uribe Vegalara,1964-04-03,4,185,2,NA,NA,16,1,NA,NA,2014-01-13 20:26:00,2018-02-28 17:45:00
7630,Luis Alfonso,Burgos Cardenas,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-13 20:28:00,2018-01-23 15:38:00
7631,Clementina,Vargas Caballero,1955-07-20,5,177,2,NA,NA,16,1,NA,NA,2014-01-13 20:33:00,2014-02-17 19:56:00
7632,Daniel Sean,Raisbeck Lopez,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-13 20:36:00,2014-02-17 16:43:00
7633,Maigret Patricia,Rodriguez Mercado,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-13 20:37:00,2018-01-24 14:50:00
7634,Silverio,Montaña Montaña,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-13 20:43:00,2014-02-17 16:43:00
7635,José Jaime,Uscátegui Pastrana,1981-07-08,4,196,1,NA,NA,5,1,NA,NA,2014-01-13 20:47:00,2021-03-18 18:13:00
7636,Jorge Ivan,Mina Lasso,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-13 21:04:00,2018-02-02 16:48:00
7637,Rosa Alicia,Portilla Rosero,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-13 21:11:00,2018-01-30 15:02:00
7638,Jose Abigail,Rojas Salazar,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-13 21:20:00,2018-02-28 17:55:00
7639,Aixa Margarita,Rosado Ortega,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-13 21:31:00,2014-02-17 16:43:00
7640,Luis Angel,Torres Gomez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-13 21:34:00,2018-01-26 15:18:00
7642,Jhonny Alexander,Alvarez Salazar,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 02:13:00,2014-01-14 02:13:00
7643,William Martin,Cote Villamizar,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 14:48:00,2014-01-14 14:48:00
7644,Jorge Andres,Varela,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 14:50:00,2014-08-06 11:18:00
7645,Gladys Helena,Ortiz Florez,1974-02-25,12,201,2,NA,NA,16,1,NA,NA,2014-01-14 15:04:00,2018-09-10 16:33:00
7646,Horacio,Serpa Uribe,1943-01-04,2,174,1,NA,NA,16,1,NA,NA,2014-01-14 15:28:00,2021-03-12 11:38:00
7647,Andrés,Cristo Bustos,1971-01-14,6,174,1,NA,NA,4,1,NA,NA,2014-01-14 15:40:00,2021-03-16 18:01:00
7648,Silvio José,Carrasquilla Torres,NA,444,174,1,NA,NA,4,1,NA,NA,2014-01-14 15:43:00,2021-03-09 17:06:00
7649,Edgar,Arrieta Caraballo,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 15:49:00,2014-07-22 12:21:00
7650,Jhon Fredy,Vargas Lozano,NA,4,174,1,NA,NA,5,1,NA,NA,2014-01-14 15:49:00,2014-02-18 13:16:00
7651,Egla Yelitza,Theran Humanez,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 15:50:00,2014-02-17 16:43:00
7652,Sofia Alejandra,Gaviria Correa,NA,12,196,2,NA,NA,5,1,NA,NA,2014-01-14 15:50:00,2021-03-09 05:18:00
7653,Williams,Reyes Morales,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 15:51:00,2014-02-17 16:43:00
7654,Elsi,Sampayo Benavides,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 15:52:00,2014-02-17 16:43:00
7655,Orlando Enrique,Buelvas Romero,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 15:54:00,2014-07-18 10:03:00
7656,Jorge Enrique,Gonzalez Garnica,NA,216,174,1,NA,NA,16,1,NA,NA,2014-01-14 15:57:00,2018-03-01 20:00:00
7657,Marcela Patricia,Posada Arbelaez,NA,NA,178,NA,NA,NA,6,1,NA,NA,2014-01-14 16:01:00,2018-02-20 18:31:00
7658,Alberto,Palma Cuervo,1959-09-13,137,209,1,NA,NA,16,1,NA,NA,2014-01-14 16:05:00,2018-02-23 15:17:00
7659,Juan Alfonso,Fierro Manrique,1950-09-26,NA,221,1,NA,NA,4,1,NA,NA,2014-01-14 16:09:00,2018-02-27 17:43:00
7660,Mayda Cecilia,Velasquez Rueda,1975-10-31,4,199,2,NA,NA,4,1,NA,NA,2014-01-14 16:11:00,2017-01-19 15:23:00
7661,Fernando,Sandoval Rodriguez,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 16:13:00,2014-02-17 16:43:00
7662,Luis Francisco Pache,Andrade Chaves,NA,280,223,1,NA,NA,5,1,NA,NA,2014-01-14 16:14:00,2018-01-23 18:30:00
7663,Luis Alejandro,Gutierrez Sanabria,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 16:14:00,2014-07-18 10:03:00
7664,Cesar Augusto,Lopez Morales,1974-09-12,49,174,1,NA,NA,4,1,NA,NA,2014-01-14 16:16:00,2018-01-23 15:34:00
7665,Francisco Javier,Roa Alfonso,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 16:20:00,2014-02-17 16:43:00
7666,Maria Magdalena,Builes Giraldo,NA,237,NA,2,NA,NA,NA,1,NA,NA,2014-01-14 16:20:00,2018-01-23 19:26:00
7667,Jose Fernando,Mancera Tabares,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 16:22:00,2018-02-09 17:42:00
7668,Juan Carlos,Leon Zota,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 16:23:00,2018-01-26 18:57:00
7669,Roberto Jairo,Jaramillo Cardenas,NA,NA,180,NA,NA,NA,4,1,NA,NA,2014-01-14 16:25:00,2014-07-18 10:03:00
7670,Mario Alberto,Castaño Pérez,1971-12-08,432,182,1,NA,NA,5,1,NA,NA,2014-01-14 16:30:00,2021-03-18 03:40:00
7671,Yolima,Herrera Martinez,1973-01-16,102,174,2,NA,NA,4,1,NA,NA,2014-01-14 16:30:00,2018-01-23 15:19:00
7672,Deisy Katherin,Silva Vasquez,1988-04-11,4,181,2,NA,NA,17,1,NA,NA,2014-01-14 16:32:00,2018-01-29 15:19:00
7673,Gustavo,Samper Fernandez De Soto,1981-02-03,4,175,1,NA,NA,5,1,NA,NA,2014-01-14 16:34:00,2014-02-18 20:05:00
7674,Teresa,Salguero Espitia,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 16:35:00,2014-02-17 16:43:00
7675,Maria Cristina,Granados Velasquez,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-14 16:36:00,2018-02-09 19:47:00
7676,Luis Esnoraldo,Torres Ocampo,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 16:39:00,2018-02-20 22:48:00
7677,Harry Giovanny,González García,1978-06-15,4,174,1,NA,NA,4,1,NA,NA,2014-01-14 16:40:00,2021-03-13 18:28:00
7678,Williams Henry,Muñoz Ospina,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 16:40:00,2014-02-17 16:43:00
7679,Alirio,Uribe Muñoz,1960-11-28,2,174,1,NA,NA,4,1,NA,NA,2014-01-14 16:40:00,2021-03-18 00:00:00
7680,Lucrecia,Murcia Lozada,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 16:41:00,2014-02-17 16:43:00
7681,Sergio David,Fernandez Granados,NA,4,196,1,NA,NA,16,1,NA,NA,2014-01-14 16:42:00,2018-02-28 21:35:00
7682,Pablo Andres,Alvarez Vega,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 16:42:00,2018-01-23 13:25:00
7683,Jorge Camilo,Abril Tarache,NA,50,217,1,NA,NA,4,1,NA,NA,2014-01-14 16:43:00,2021-03-09 02:09:00
7684,Bienvenido,Ruiz Murillo,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 16:44:00,2014-02-17 16:43:00
7685,Hugo Alejandro,Riaño Andrade,1973-12-25,4,219,1,NA,NA,5,1,NA,NA,2014-01-14 16:47:00,2018-02-09 18:35:00
7686,Rosa Amparo,Jaime Gallo,1936-06-26,199,218,2,NA,NA,1,1,NA,NA,2014-01-14 16:50:00,2014-07-18 10:03:00
7687,July Evelgin,Gonzalez Villadiego,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 16:54:00,2018-01-26 17:47:00
7688,Juan Luis,Castro Córdoba,1975-02-12,12,180,1,NA,NA,5,1,NA,NA,2014-01-14 16:55:00,2021-03-19 18:57:00
7689,Lida Angela,Vanegas Mora,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-14 16:59:00,2018-01-26 17:42:00
7690,Norma Gisela,Pinzon Barreto,1966-12-21,247,NA,2,NA,NA,13,1,NA,NA,2014-01-14 17:02:00,2018-02-06 13:23:00
7691,Armando Antonio,Diaz Peñaranda,NA,5,193,1,NA,NA,16,1,NA,NA,2014-01-14 17:03:00,2018-05-11 17:29:00
7692,Nelson Emiro,Linares Zarate,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 17:04:00,2018-02-05 20:43:00
7693,Ivan Dario,Ocampo Tamayo,1961-06-15,12,180,1,NA,NA,4,1,NA,NA,2014-01-14 17:05:00,2018-02-22 20:11:00
7694,Juan Carlos,Losada Vargas,1979-04-04,4,188,1,NA,NA,16,1,NA,NA,2014-01-14 17:59:00,2021-03-19 04:52:00
7695,Gale,Mallol Agudelo,1979-03-01,4,203,2,NA,NA,4,1,NA,NA,2014-01-14 18:01:00,2018-09-10 16:02:00
7696,Olga Lucia,Velasquez Nieto,NA,107,193,2,NA,NA,4,1,NA,NA,2014-01-14 19:38:00,2021-03-08 16:10:00
7697,Manuel Enrique,Albarracin,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 19:38:00,2018-02-09 15:21:00
7698,Maria Del Pilar,Hernandez Cuellar,NA,4,180,2,NA,NA,5,1,NA,NA,2014-01-14 20:00:00,2014-07-18 10:03:00
7699,Abelardo,Leon Arias,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 20:05:00,2014-07-18 10:03:00
7700,Jorge Enrique,Guerrero Rincon,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 20:09:00,2014-07-18 10:03:00
7701,Hector Javier,Galindo Moreno,1956-12-22,4,193,1,NA,NA,17,1,NA,NA,2014-01-14 20:12:00,2018-02-09 15:34:00
7702,Jorge Eduardo,Duran Galindo,1964-11-02,117,201,1,NA,NA,4,1,NA,NA,2014-01-14 20:18:00,2018-01-30 15:14:00
7703,Beatriz Lorena,Rios Cuellar,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 20:19:00,2014-02-17 16:43:00
7704,Marta Liliana,Ruiz Orduz,1964-07-17,2,209,2,NA,NA,13,1,NA,NA,2014-01-14 20:21:00,2014-02-17 16:43:00
7705,Camilo Humberto,Olano,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 20:23:00,2014-02-20 18:56:00
7706,Juan De Dios,Arias Lopez,1965-04-30,4,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 20:26:00,2014-07-22 12:21:00
7707,Olga Janeth,Suba Chivata,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-14 20:41:00,2014-02-17 16:43:00
7708,Victor Libardo,Ramirez Fajardo,NA,8,174,1,NA,NA,16,1,NA,NA,2014-01-14 20:49:00,2014-02-25 16:58:00
7709,Hermogenes,Obando Hoyos,NA,8,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 20:51:00,2014-03-05 17:16:00
7710,Jeanne Carolina,Bonilla Dornaletche,NA,1,209,2,NA,NA,13,1,NA,NA,2014-01-14 20:52:00,2014-07-22 12:21:00
7711,Jader,Fonseca Jalkh,NA,NA,174,1,NA,NA,16,1,NA,NA,2014-01-14 20:55:00,2014-07-18 10:03:00
7712,Basilio,Padilla Vasquez,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 20:58:00,2014-02-17 16:43:00
7713,Daniel,Quintero Calle,NA,NA,193,1,NA,NA,5,1,NA,NA,2014-01-14 20:59:00,2014-02-17 16:43:00
7714,Gloria Elena,Revelo Castillo,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-14 21:00:00,2018-02-14 18:37:00
7716,Armando,Cardenas,NA,NA,182,1,NA,NA,16,1,NA,NA,2014-01-14 21:06:00,2014-07-18 10:03:00
7717,Ivonne,Gonzalez Rodriguez,1980-06-29,4,203,2,NA,NA,16,1,NA,NA,2014-01-14 21:07:00,2018-01-24 14:54:00
7718,Jorge Enrique,Gutierrez Tobar,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 21:08:00,2018-01-29 16:17:00
7719,Raul,Cardona Grisales,NA,NA,182,1,NA,NA,4,1,NA,NA,2014-01-14 21:13:00,2018-02-21 14:51:00
7720,Alberto  Manuel,Gascon  Giraldo,1964-11-07,299,193,1,NA,NA,13,1,NA,NA,2014-01-14 21:14:00,2018-03-02 16:25:00
7721,Miguel Enrique,Aguilera Hernandez,1976-04-04,83,175,1,NA,NA,4,1,NA,NA,2014-01-14 21:21:00,2018-02-28 17:02:00
7722,Wendy,Arenas Wightman,1962-12-13,4,196,2,NA,NA,4,1,NA,NA,2014-01-14 21:28:00,2014-07-22 12:21:00
7723,German Rodrigo,Guzman Acosta,1954-08-08,12,227,1,NA,NA,7,1,NA,NA,2014-01-14 21:31:00,2018-02-23 16:00:00
7724,Yolanda,Salgado Blanco,1967-01-05,1,174,2,NA,NA,4,1,NA,NA,2014-01-14 21:35:00,2014-02-17 16:43:00
7725,Plubio Gudberto,Niño Niño,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 21:36:00,2014-02-25 20:22:00
7726,Eduardo,Garzon Torres,1980-07-15,4,196,1,NA,NA,4,1,NA,NA,2014-01-14 21:36:00,2018-01-19 20:38:00
7728,Judith Del Carmen,Pinedo Florez,NA,NA,174,2,NA,NA,4,1,NA,NA,2014-01-14 21:40:00,2018-01-26 16:33:00
7729,Maria Pubenza,Arbelaez Sua,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-14 21:41:00,2018-01-29 16:21:00
7730,Renny,Rueda Castañeda,NA,NA,185,1,NA,NA,5,1,NA,NA,2014-01-14 21:44:00,2014-02-17 16:43:00
7731,Omar,Rodriguez Preciado,1959-05-04,146,182,1,NA,NA,16,1,NA,NA,2014-01-14 21:44:00,2017-01-19 17:53:00
7732,Jhon Jairo,Acuña Perez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-14 21:46:00,2018-02-09 15:18:00
7733,Jaime Enrique,Bedoya Montoya,NA,12,209,1,NA,NA,16,1,NA,NA,2014-01-14 21:48:00,2018-02-22 20:19:00
7734,Nancy Del Rosario,Guerrero Rodriguez,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-14 21:52:00,2018-02-21 19:48:00
7735,Hernan,Trujillo Tovar,NA,NA,174,1,NA,NA,5,1,NA,NA,2014-01-14 21:56:00,2018-01-26 16:39:00
7736,Luis Francisco,Castañeda Ravelo,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 21:58:00,2014-07-18 10:03:00
7737,Juan Ricardo Alerta,Lozano Amaya,NA,4,NA,1,NA,NA,16,1,NA,NA,2014-01-14 22:01:00,2014-02-17 18:14:00
7738,Rube Aurora,Garcia Sanchez,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-14 22:03:00,2014-07-18 10:03:00
7739,Inti Raúl,Asprilla Reyes,1981-10-09,4,174,1,NA,NA,5,1,NA,NA,2014-01-14 22:05:00,2021-03-17 09:56:00
7740,Lombardo,Rodriguez Lopez,NA,4,189,1,NA,NA,5,1,NA,NA,2014-01-14 22:08:00,2021-03-09 21:34:00
7741,Herman,Martinez Gomez,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 22:09:00,2014-04-07 13:56:00
7742,Antonio,Angulo Ricardo,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-14 22:16:00,2014-07-22 12:21:00
7743,Inocencio Eliecer,Hurtado Ruiz,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-15 14:30:00,2014-07-18 10:03:00
7744,Hugo,Velez Valencia,NA,11,209,1,NA,NA,7,1,NA,NA,2014-01-15 14:33:00,2014-02-17 18:56:00
7745,Sonia Marina,Moscote Aroca,NA,NA,174,2,NA,NA,5,1,NA,NA,2014-01-15 14:35:00,2014-07-24 21:05:00
7746,Anlet Jaqueline,Bent Archbold,NA,91,181,2,NA,NA,16,1,NA,NA,2014-01-15 14:39:00,2018-02-22 20:32:00
7747,Cristina Del Rosario,Cabrera Mendez,NA,391,NA,2,NA,NA,NA,1,NA,NA,2014-01-15 14:40:00,2018-02-22 20:46:00
7748,Jose Luis,Mayorca Castilla,NA,NA,180,1,NA,NA,4,1,NA,NA,2014-01-15 14:42:00,2018-02-09 17:42:00
7749,Armando,Villegas Centeno,NA,101,185,1,NA,NA,5,1,NA,NA,2014-01-15 14:44:00,2018-03-03 21:35:00
7750,Carlos Alejandro,Maya Aguirre,1949-01-09,154,174,1,NA,NA,5,1,NA,NA,2014-01-15 14:46:00,2017-01-20 14:02:00
7751,Luz Marina,Romero Motta,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-15 14:49:00,2018-01-30 16:13:00
7752,Kent Francis,James,NA,91,174,1,NA,NA,4,1,NA,NA,2014-01-15 14:58:00,2014-07-18 10:03:00
7753,Jack,Garcia Morales,1971-05-30,147,181,1,NA,NA,4,1,NA,NA,2014-01-15 15:02:00,2017-01-20 15:53:00
7754,Angela Tayira,Mateus Gomez,1977-11-18,4,198,2,NA,NA,16,1,NA,NA,2014-01-15 15:03:00,2014-02-17 19:35:00
7755,Aris Manuel,Torres Diaz,NA,68,201,1,NA,NA,16,1,NA,NA,2014-01-15 15:05:00,2018-01-31 23:33:00
7756,Mercedes,Cardenas Blanco,NA,4,197,2,NA,NA,4,1,NA,NA,2014-01-15 15:06:00,2014-07-18 10:03:00
7757,Elizabeth,Castillo Vargas,1970-11-30,48,174,2,NA,NA,16,1,NA,NA,2014-01-15 15:09:00,2014-07-18 10:03:00
7758,Carmen Nuvis,Nova Miranda,NA,393,174,2,NA,NA,4,1,NA,NA,2014-01-15 15:11:00,2014-02-17 20:17:00
7759,Leon Jose,Jaramillo Zuleta,1957-07-17,4,174,1,NA,NA,NA,1,NA,NA,2014-01-15 15:13:00,2014-07-18 10:03:00
7760,Elkin Enrique,Garcia Bernal,NA,NA,174,1,NA,NA,16,1,NA,NA,2014-01-15 15:13:00,2014-07-18 10:03:00
7761,Ana Rosa,Velasquez Rico,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 15:16:00,2014-02-17 21:37:00
7762,Alejandro,Tiquidimas Fernandez,1967-10-31,115,178,1,NA,NA,13,1,NA,NA,2014-01-15 15:18:00,2014-02-17 21:43:00
7763,Sandra Milena,Olivares Homez,1982-05-19,4,196,2,NA,NA,16,1,NA,NA,2014-01-15 15:19:00,2014-02-22 23:17:00
7764,Sonia Elvira,Veloza Mogollon,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-15 15:21:00,2018-01-29 17:35:00
7765,Fanny,Peralta Fonseca,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-15 15:22:00,2018-02-21 17:46:00
7766,Maria De Jesus,Mosquera Renteria,NA,188,184,2,NA,NA,16,1,NA,NA,2014-01-15 15:31:00,2018-01-31 15:12:00
7767,Nilton,Córdoba Manyoma,1965-10-15,212,174,1,NA,NA,4,1,NA,NA,2014-01-15 15:32:00,2021-03-17 12:42:00
7768,Jesus Alberto,Mosquera Perea,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 15:33:00,2014-02-17 16:43:00
7769,Luis Saniel,Peñaranda Rolon,1971-11-07,387,204,1,NA,NA,4,1,NA,NA,2014-01-15 15:34:00,2018-01-26 15:24:00
7770,Stella Maris,Urango Martinez,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-15 15:44:00,2014-02-21 15:59:00
7771,Ferney Adel,Bertel Rojas,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 15:45:00,2014-07-22 12:21:00
7772,Mario,Atencio Doria,1965-01-18,406,180,1,NA,NA,5,1,NA,NA,2014-01-15 15:46:00,2014-07-22 12:21:00
7773,Alba Luz,Posada Lerech,1966-01-25,116,174,2,NA,NA,4,1,NA,NA,2014-01-15 15:47:00,2014-05-23 14:10:00
7774,Hilda,Gutierrez,1962-12-25,454,182,2,NA,NA,5,1,NA,NA,2014-01-15 16:26:00,2018-03-01 20:29:00
7775,Luis Carlos,Aparicio Concha,1948-03-08,4,177,1,NA,NA,4,1,NA,NA,2014-01-15 16:36:00,2014-07-22 12:21:00
7776,Gonzalo,Guzman Naranjo,1961-12-01,NA,175,1,NA,NA,5,1,NA,NA,2014-01-15 16:38:00,2018-01-23 17:47:00
7777,Katerine,Castellanos Forigua,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 16:39:00,2014-07-18 10:03:00
7778,Marlen,Bernal Escobar,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 16:40:00,2014-07-22 12:21:00
7779,Luz Marina,Velasquez Gomez,NA,408,NA,2,NA,NA,NA,1,NA,NA,2014-01-15 16:45:00,2018-01-26 18:31:00
7780,Guillermo Enrique,Brito Garrido,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-15 16:46:00,2014-07-18 10:03:00
7781,Julio,Arciniegas Cifuentes,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-15 16:50:00,2014-07-22 12:21:00
7782,Juan Nevardo,Riveros Pardo,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 16:53:00,2014-02-17 16:43:00
7783,Leopoldo,Suarez Melo,NA,416,184,1,NA,NA,4,1,NA,NA,2014-01-15 16:54:00,2021-03-18 19:33:00
7784,Enaime Enrique,Rodriguez Ojeda,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 16:59:00,2014-02-17 16:43:00
7785,Martha Elena,Perez Gaviria,1960-11-19,4,197,2,NA,NA,5,1,NA,NA,2014-01-15 17:04:00,2018-01-23 18:11:00
7786,Efrain,Lozano Medina,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 17:05:00,2018-01-23 15:28:00
7787,Francisco Jose,Porto Infante,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-15 17:06:00,2018-01-26 14:57:00
7788,Angelo Antonio,Villamil Benavides,1972-04-07,434,174,1,NA,NA,4,1,NA,NA,2014-01-15 17:22:00,2021-02-19 22:05:00
7789,Tania,Jaramillo Garcia,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 17:23:00,2014-07-18 10:03:00
7790,Guillermo Jorge,Diaz Hidalgo,1956-06-09,419,NA,1,NA,NA,16,1,NA,NA,2014-01-15 20:01:00,2014-07-18 10:03:00
7791,Sandra Patricia,Reinel Piedrahita,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2014-01-15 20:20:00,2014-02-20 20:40:00
7792,Carlos Fernando,Galan Pachon,1977-06-04,4,203,1,NA,NA,4,1,NA,NA,2014-01-15 20:27:00,2021-03-13 00:26:00
7793,Hernán Gustavo,Estupiñán Calvache,1976-04-26,308,175,1,NA,NA,7,1,NA,NA,2014-01-15 20:30:00,2021-03-19 00:53:00
7794,Neftali,Correa Diaz,1975-07-16,280,175,1,NA,NA,5,1,NA,NA,2014-01-15 20:37:00,2021-02-16 12:05:00
7795,Dusan Albin,Velez Trujillo,1968-06-01,101,175,1,NA,NA,16,1,NA,NA,2014-01-15 20:45:00,2018-07-20 01:07:00
7796,Sory Anyull,Martinez Parra,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 20:46:00,2014-02-17 16:43:00
7797,Humberto,Pelaez Gutierrez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-15 20:48:00,2018-01-26 18:43:00
7798,Jose Neftali,Santos Ramirez,1954-11-28,6,174,1,NA,NA,4,1,NA,NA,2014-01-15 20:53:00,2021-03-19 18:25:00
7799,Argenis,Velasquez Ramirez,1982-01-05,298,175,2,NA,NA,16,1,NA,NA,2014-01-15 21:02:00,2021-03-16 02:07:00
7800,Miguel Alirio,Rosero Cisneros,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 21:04:00,2014-02-17 16:43:00
7801,Franco Armando,Guerrero Alban,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 21:10:00,2018-01-22 18:38:00
7802,Harold,Mosquera Rengifo,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 21:20:00,2014-02-17 16:43:00
7803,Javier Fernando,Amador Palomino,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 21:23:00,2014-07-22 12:21:00
7804,Luis Enrique,Ponte Guerra,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-15 21:25:00,2018-02-01 15:37:00
7805,Maria,Ardila Montes,1972-12-22,198,180,2,NA,NA,4,1,NA,NA,2014-01-15 21:26:00,2014-07-22 12:21:00
7806,Edgar Solier,Millares Escamilla,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 21:28:00,2014-02-17 16:43:00
7807,Alvaro Albino,Bastidas Moreano,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-15 21:29:00,2018-02-09 18:10:00
7808,Ingrid Yadira,Arenas Sanabria,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2014-01-15 21:31:00,2014-07-22 12:21:00
7809,Argemiro Jose,Agamez Palacio,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-15 21:32:00,2018-01-30 14:23:00
7810,Orlando,Beltran Quesada,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2014-01-15 21:32:00,2018-02-28 16:36:00
7811,Abel Antonio,Riveros Rojas,NA,NA,NA,1,NA,NA,16,1,NA,NA,2014-01-15 21:35:00,2014-02-25 16:16:00
7812,Juan Pablo,Poveda Medina,NA,NA,195,1,NA,NA,NA,1,NA,NA,2014-01-15 21:41:00,2014-02-17 16:43:00
