id,control_politico_id,activo,usercreated,usermodifed,created_at,updated_at,congresista_id
51202,423,NA,NA,NA,NA,NA,1457
51203,423,NA,NA,NA,NA,NA,72
51204,423,NA,NA,NA,NA,NA,734
51205,498,NA,NA,NA,NA,NA,2073
51206,503,NA,NA,NA,NA,NA,217
51207,503,NA,NA,NA,NA,NA,714
51208,503,NA,NA,NA,NA,NA,1679
51209,503,NA,NA,NA,NA,NA,623
51210,508,NA,NA,NA,NA,NA,1351
51211,509,NA,NA,NA,NA,NA,726
51212,509,NA,NA,NA,NA,NA,1718
51213,484,NA,NA,NA,NA,NA,1495
51214,500,NA,NA,NA,NA,NA,1495
51215,500,NA,NA,NA,NA,NA,1374
51218,78,NA,NA,NA,NA,NA,1367
51219,419,NA,NA,NA,NA,NA,1612
51220,419,NA,NA,NA,NA,NA,1352
51221,419,NA,NA,NA,NA,NA,876
51228,1027,NA,NA,NA,NA,NA,1070
51229,1026,NA,NA,NA,NA,NA,1415
51230,530,NA,NA,NA,NA,NA,1464
51231,530,NA,NA,NA,NA,NA,1762
51233,530,NA,NA,NA,NA,NA,1016
51234,530,NA,NA,NA,NA,NA,1388
51235,530,NA,NA,NA,NA,NA,1126
51236,531,NA,NA,NA,NA,NA,1464
51237,531,NA,NA,NA,NA,NA,1762
51239,531,NA,NA,NA,NA,NA,1016
51240,531,NA,NA,NA,NA,NA,1388
51241,531,NA,NA,NA,NA,NA,1126
51246,533,NA,NA,NA,NA,NA,1464
51247,533,NA,NA,NA,NA,NA,1762
51249,533,NA,NA,NA,NA,NA,1016
51250,533,NA,NA,NA,NA,NA,1388
51251,533,NA,NA,NA,NA,NA,1126
54972,501,NA,NA,NA,NA,NA,1104
54973,529,NA,NA,NA,NA,NA,1206
54974,502,NA,NA,NA,NA,NA,1469
54984,494,NA,NA,NA,NA,NA,1185
54985,495,NA,NA,NA,NA,NA,726
54986,496,NA,NA,NA,NA,NA,1452
54988,492,NA,NA,NA,NA,NA,1822
54989,492,NA,NA,NA,NA,NA,992
54990,492,NA,NA,NA,NA,NA,962
54991,490,NA,NA,NA,NA,NA,1813
54993,504,NA,NA,NA,NA,NA,1219
54994,497,NA,NA,NA,NA,NA,623
54995,497,NA,NA,NA,NA,NA,1468
54996,497,NA,NA,NA,NA,NA,1469
54997,497,NA,NA,NA,NA,NA,217
54998,497,NA,NA,NA,NA,NA,590
54999,497,NA,NA,NA,NA,NA,1238
55000,493,NA,NA,NA,NA,NA,1469
55001,493,NA,NA,NA,NA,NA,1426
55010,489,NA,NA,NA,NA,NA,1493
55011,488,NA,NA,NA,NA,NA,1563
55012,513,NA,NA,NA,NA,NA,1452
55013,513,NA,NA,NA,NA,NA,1514
55014,513,NA,NA,NA,NA,NA,615
55015,446,NA,NA,NA,NA,NA,2073
55016,447,NA,NA,NA,NA,NA,1341
55017,486,NA,NA,NA,NA,NA,1563
55018,486,NA,NA,NA,NA,NA,1694
55019,486,NA,NA,NA,NA,NA,1349
55020,486,NA,NA,NA,NA,NA,1427
55027,485,NA,NA,NA,NA,NA,623
55028,485,NA,NA,NA,NA,NA,1679
55029,485,NA,NA,NA,NA,NA,1351
55049,426,NA,NA,NA,NA,NA,548
55050,426,NA,NA,NA,NA,NA,155
55051,426,NA,NA,NA,NA,NA,1967
55052,426,NA,NA,NA,NA,NA,405
55053,510,NA,NA,NA,NA,NA,238
55054,510,NA,NA,NA,NA,NA,1679
55055,510,NA,NA,NA,NA,NA,1694
55056,510,NA,NA,NA,NA,NA,1452
55057,510,NA,NA,NA,NA,NA,429
55058,510,NA,NA,NA,NA,NA,765
55059,510,NA,NA,NA,NA,NA,602
55060,510,NA,NA,NA,NA,NA,405
55061,510,NA,NA,NA,NA,NA,615
55062,510,NA,NA,NA,NA,NA,1497
55063,510,NA,NA,NA,NA,NA,1687
55064,510,NA,NA,NA,NA,NA,1351
55065,510,NA,NA,NA,NA,NA,439
55066,510,NA,NA,NA,NA,NA,477
55067,510,NA,NA,NA,NA,NA,316
55068,510,NA,NA,NA,NA,NA,8
55071,1050,NA,NA,NA,NA,NA,1143
55072,1050,NA,NA,NA,NA,NA,1422
55073,1050,NA,NA,NA,NA,NA,755
55074,1050,NA,NA,NA,NA,NA,1676
55075,1050,NA,NA,NA,NA,NA,1179
55076,1050,NA,NA,NA,NA,NA,815
55077,1050,NA,NA,NA,NA,NA,1427
55078,1050,NA,NA,NA,NA,NA,1639
55079,1050,NA,NA,NA,NA,NA,1193
55080,1050,NA,NA,NA,NA,NA,235
55081,1050,NA,NA,NA,NA,NA,1237
55082,1050,NA,NA,NA,NA,NA,641
55083,1050,NA,NA,NA,NA,NA,744
55084,1050,NA,NA,NA,NA,NA,615
55085,1050,NA,NA,NA,NA,NA,802
55086,1050,NA,NA,NA,NA,NA,566
55087,1050,NA,NA,NA,NA,NA,1430
55088,369,NA,NA,NA,NA,NA,932
55089,369,NA,NA,NA,NA,NA,962
55090,512,NA,NA,NA,NA,NA,1452
55091,506,NA,NA,NA,NA,NA,439
55092,506,NA,NA,NA,NA,NA,238
55093,506,NA,NA,NA,NA,NA,1185
55094,506,NA,NA,NA,NA,NA,1469
55095,545,NA,NA,NA,NA,NA,1465
55098,549,NA,NA,NA,NA,NA,439
55099,549,NA,NA,NA,NA,NA,1185
55100,549,NA,NA,NA,NA,NA,1469
55101,550,NA,NA,NA,NA,NA,1711
55102,550,NA,NA,NA,NA,NA,1393
55103,487,NA,NA,NA,NA,NA,1370
55130,547,NA,NA,NA,NA,NA,1679
55201,546,NA,NA,NA,NA,NA,830
55205,465,NA,NA,NA,NA,NA,1395
55206,1042,NA,NA,NA,NA,NA,1636
55235,1047,NA,NA,NA,NA,NA,1143
55236,1047,NA,NA,NA,NA,NA,1309
55237,1047,NA,NA,NA,NA,NA,737
55238,1047,NA,NA,NA,NA,NA,494
55239,1047,NA,NA,NA,NA,NA,830
55240,1047,NA,NA,NA,NA,NA,744
55241,1047,NA,NA,NA,NA,NA,420
55242,1047,NA,NA,NA,NA,NA,1468
55243,1047,NA,NA,NA,NA,NA,608
55244,1047,NA,NA,NA,NA,NA,1465
55245,1047,NA,NA,NA,NA,NA,405
55246,1047,NA,NA,NA,NA,NA,1563
55247,1047,NA,NA,NA,NA,NA,615
55248,1047,NA,NA,NA,NA,NA,1430
55249,542,NA,NA,NA,NA,NA,1563
55251,543,NA,NA,NA,NA,NA,1452
55252,1048,NA,NA,NA,NA,NA,1679
55253,1049,NA,NA,NA,NA,NA,1465
56672,541,NA,NA,NA,NA,NA,1468
56675,555,NA,NA,NA,NA,NA,1684
56676,555,NA,NA,NA,NA,NA,616
56677,555,NA,NA,NA,NA,NA,266
56689,634,NA,NA,NA,NA,NA,1129
56690,634,NA,NA,NA,NA,NA,746
56691,635,NA,NA,NA,NA,NA,1129
56692,635,NA,NA,NA,NA,NA,772
56693,635,NA,NA,NA,NA,NA,1942
56694,635,NA,NA,NA,NA,NA,1064
56695,635,NA,NA,NA,NA,NA,266
56773,633,NA,NA,NA,NA,NA,266
56788,293,NA,NA,NA,NA,NA,732
56789,293,NA,NA,NA,NA,NA,1467
56816,581,NA,NA,NA,NA,NA,1637
56817,581,NA,NA,NA,NA,NA,1395
56818,585,NA,NA,NA,NA,NA,1637
56819,585,NA,NA,NA,NA,NA,1395
56831,587,NA,NA,NA,NA,NA,419
56833,590,NA,NA,NA,NA,NA,1489
56834,590,NA,NA,NA,NA,NA,963
