id,cuatrienio_id,comision_id,congresista_id,cargo_legislativo_id_comision,fecha_inicio,fecha_fin,activo,usercreated,usermodifed,created_at,updated_at
227,1,11,748,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
228,1,5,725,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
229,1,3,785,NA,01/02/01,30/04/01,T,,,17/01/10 17:29,01/09/11 21:25
230,1,6,850,NA,20/07/98,20/06/02,T,,,17/01/10 17:29,17/03/10 21:00
231,1,6,58,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
232,1,7,192,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
233,1,5,62,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
234,1,1,686,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
235,1,7,690,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
236,1,2,695,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
237,1,12,706,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
238,1,8,709,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
239,1,14,710,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
240,1,14,718,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
241,1,9,723,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
242,1,7,724,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
243,1,12,726,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
244,1,4,732,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
245,1,4,739,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
246,1,3,738,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
247,2,10,250,NA,22/02/07,19/07/10,T,,,30/01/10 22:24,07/04/10 18:53
248,1,14,750,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
249,1,7,753,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
250,4,14,2049,NA,06/10/05,19/07/06,T,,,10/02/10 15:22,17/03/10 21:00
251,4,7,1333,NA,25/05/05,19/07/06,T,,,09/02/10 16:59,17/03/10 21:00
252,1,14,819,NA,01/09/99,29/02/00,T,,,17/01/10 17:29,01/09/11 21:56
