id,link
78,http://www.caracol.com.co/noticias/judicial/quienes-son-los-congresistas-antioquenos-que-serian--investigados-por-la-corte-suprema/20110203/nota/1421048.aspx
79,http://www.eltiempo.com/justicia/llaman-a-juicio-a-scar-arboleda_13950956-4 Tomado:  mayo 07/14
80,http://www.elespectador.com/noticias/judicial/procuraduria-archivo-investigacion-contra-oscar-arboled-articulo-456624
81,http://www.elespectador.com/noticias/judicial/capturan-al-excongresista-oscar-arboleda-parapolitica-articulo-445773 Tomado: septiembre 12/13 http://www.elespectador.com/noticias/judicial/el-tuso-clave-del-caso-arboleda-articulo-447276
82,http://www.elespectador.com/noticias/judicial/articulo-256943-parapolitica-abren-indagacion-parlamentario-andino-oscar-arboled
83,http://www.elcolombiano.com/antioquia/muerte-de-oscar-alberto-arboleda-palacio-politico-antioqueno-MF7153248
84,http://www.elespectador.com/noticias/judicial/excongresista-zulema-jattin-llamada-juicio-por-parapolitica-articulo-710990
85,http://www.elespectador.com/noticias/judicial/corte-investiga-27-senadores-articulo-446311
86,http://www.elespectador.com/noticias/judicial/corte-suprema-archivo-investigacion-al-senador-musa-bes-articulo-462130
87,http://www.eluniversal.com.co/monteria/sucesos/alias-%E2%80%9Cvisaje%E2%80%9D-salpica-al-senador-electo-musa-besaile
88,http://www.elespectador.com/noticias/judicial/excongresista-rodrigo-roncallo-fue-detenido-en-el-aeropuerto-el-dorado-articulo-713975
89,http://www.elespectador.com/noticias/judicial/articulo-281039-ordenan-salida-de-prision-de-excongresista-rodrigo-roncallo
90,http://www.vanguardia.com/politica/410077-consejo-de-estado-decreta-perdida-de-investidura-de-holger-diaz
91,http://www.elespectador.com/noticias/politica/suspendida-la-curul-de-bernardo-nono-elias-articulo-714307
92,http://www.eltiempo.com/justicia/investigacion/ordenan-captura-contra-musa-besaile-134926
93,http://www.elpais.com.co/colombia/zulema-jattin-excongresista-investigada-por-corrupcion-recibe-absolucion-de-la-corte.html
94,https://www.elespectador.com/noticias/judicial/los-enredos-del-senador-alvaro-ashton-articulo-727652?utm_source=Icommarketing&utm_medium=Email&utm_content=Web%20Service%20-%2012.12.2017%2009.58&utm_campaign=Icommarketing%20-%20Newsletter_diario%20-%2012-12-2017_Newsletter_EE_35
95,https://www.elespectador.com/noticias/judicial/corte-suprema-ordena-medida-de-aseguramiento-contra-excongresista-david-char-articulo-722259
96,http://www.rcnradio.com/nacional/exsenador-david-char-sera-investigado-trafico-armas-concierto-delinquir/
97,https://www.elespectador.com/noticias/politica/musa-besaile-pierde-su-curul-en-el-senado-articulo-724447
98,http://www.vanguardia.com/colombia/427346-senador-hernan-andrade-exonerado-por-el-caso-dne
99,http://www.eltiempo.com/justicia/investigacion/ordenan-captura-de-la-representante-a-la-camara-aida-merlano-201948
100,https://www.elespectador.com/noticias/politica/muere-senador-conservador-fernando-tamayo-articulo-749841
101,http://www.elpais.com.co/colombia/corte-suprema-ratifica-investigacion-contra-alvaro-uribe.html
102,https://www.rcnradio.com/judicial/corte-suprema-adelanta-28-procesos-contra-alvaro-uribe
103,http://www.eltiempo.com/archivo/documento/CMS-12731508
104,http://www.elespectador.com/noticias/judicial/corte-archivo-investigacion-contra-14-congresistas-carr-articulo-437204
105,https://www.elespectador.com/noticias/judicial/capturado-exsenador-conservador-investigado-por-parapolitica-articulo-754190
106,https://twitter.com/CorteSupremaJ/status/993163416469757952
107,http://www.eluniversal.com.co/cartagena/politica/%E2%80%9Cno-tuve-contacto-con-paras%E2%80%9D-puello-chamie-18804
108,http://www.eltiempo.com/justicia/cortes/corte-condena-al-nono-elias-a-6-anos-por-odebrecht-188176
109,https://www.semana.com/nacion/articulo/exsenador-nono-elias-es-acusado-en-la-corte-suprema/566757
110,http://caracol.com.co/radio/2018/05/25/judicial/1527200378_646040.html
111,http://elnuevosiglo.com.co/articulos/06-2018-juicio-alvaro-ashton-por-parapolitica
112,http://www.wradio.com.co/noticias/actualidad/anulan-eleccion-del-presidente-de-la-comision-de-acusacion-de-camara-de-representantes/20190201/nota/3858351.aspx
113,http://www.wradio.com.co/noticias/actualidad/corte-suprema-de-justicia-pone-la-lupa-a-la-mermelada/20180213/nota/3710260.aspx
114,https://www.elpais.com.co/colombia/varios-congresistas-del-valle-entre-los-230-investigados-por-mermelada.html
115,https://www.semana.com/nacion/articulo/las-grabaciones-de-la-dea/543155
116,https://www.elespectador.com/noticias/judicial/la-ultima-confesion-de-gustavo-moreno-articulo-789434
117,https://www.elespectador.com/noticias/judicial/los-senalamientos-contra-el-senador-armando-benedetti-por-el-caso-de-chuzadas-ilegales-articulo-811921
118,https://www.elespectador.com/noticias/judicial/fiscalia-pide-la-corte-suprema-y-la-procuraduria-investigar-armando-benedetti-articulo-813565
119,https://www.elcolombiano.com/colombia/fiscalia-pide-investigar-a-senador-benedetti-YA9367450
120,http://www.elcolombiano.com/colombia/corte-suprema-de-justicia-abre-investigacion-contra-el-senador-armando-benedetti-por-caso-odebrecht-MK7862860
121,https://www.elespectador.com/noticias/judicial/corte-suprema-abre-indagacion-preliminar-contra-armando-benedetti-por-odebrecht-articulo-728510
122,https://noticias.canalrcn.com/nacional-justicia/corte-suprema-abre-investigacion-preliminar-contra-armando-benedetti-caso
123,https://www.fiscalia.gov.co/colombia/noticias/fiscalia-compulsa-copias-ante-la-corte-suprema-de-justicia-para-que-investigue-al-senador-armando-benedetti/
124,https://www.semana.com/nacion/articulo/acusan-a-armando-benedetti-de-recibir-coimas-en-cordoba/506408
