id,persona_id,partido_id,fecha,fecha_final,activo,usercreated,usermodified,created_at,updated_at
84,130,5,2006-07-20,2006-07-19,,,,,
29,295,2,2003-06-01,2005-06-30,,,,,
20,11,5,2006-07-20,2010-07-20,,,,,
9,8,1,2003-01-01,2006-10-13,,,,,
10,8,1,2000-01-01,2003-12-31,,,,,
11,8,2,1997-01-01,2000-12-31,,,,,
860,811,46,1991-12-12,1994-07-20,,,,,
861,811,46,1998-07-20,2002-07-19,,,,,
65,7,2,2002-07-20,2006-07-20,,,,,
1408,525,NA,1996-12-05,1998-02-06,,,,,
69,387,75,1998-07-20,2002-07-19,,,,,
70,387,29,2002-07-20,2006-07-19,,,,,
71,387,75,1995-01-01,1997-12-31,,,,,
78,429,66,1998-01-01,2006-12-31,,,,,
79,429,66,1994-07-20,1998-07-19,,,,,
39,309,2,1988-01-01,1990-06-01,,,,,
40,309,2,1990-06-01,1992-06-30,,,,,
1407,524,NA,1995-01-01,1997-12-31,,,,,
855,207,2,1998-07-20,2002-07-20,,,,,
856,207,2,2002-07-20,2006-07-19,,,,,
110,484,4,2007-05-31,2008-05-31,,,,,
66,357,2,2002-07-20,2006-07-19,,,,,
113,494,75,1970-01-01,1980-12-31,,,,,
114,494,75,1982-01-01,1986-12-31,,,,,
115,494,75,1970-01-01,1980-12-31,,,,,
116,494,75,1970-01-01,1980-12-31,,,,,
112,485,53,2002-07-20,2006-07-19,,,,,
87,451,66,1983-01-01,1984-12-31,,,,,
88,451,66,1986-01-01,1988-12-31,,,,,
82,441,5,2002-07-20,2006-07-19,,,,,
1406,462,NA,1992-06-01,1994-12-31,,,,,
863,2126,NA,2001-01-01,2001-12-31,,,,,
184,650,75,1990-01-01,1992-12-31,,,,,
185,650,75,1998-01-01,2000-12-31,,,,,
187,650,75,1992-06-01,1994-12-31,,,,,
188,650,75,1995-01-01,1997-12-31,,,,,
174,641,2,1991-07-20,1994-07-20,,,,,
175,641,2,2002-07-20,2006-07-20,,,,,
176,641,2,1990-01-01,1991-12-31,,,,,
177,641,2,1994-07-20,1998-07-20,,,,,
238,814,2,1995-01-01,1997-12-31,,,,,
122,507,2,2007-07-20,2008-07-19,,,,,
123,507,2,2006-07-20,2010-07-19,,,,,
138,519,67,2002-07-20,2006-07-19,,,,,
139,547,68,2002-07-20,2006-07-19,,,,,
140,547,17,1994-07-20,1998-07-19,,,,,
1409,2463,NA,1997-01-01,2001-12-31,,,,,
1410,2463,NA,2003-01-01,2007-12-31,,,,,
217,792,2,1995-01-01,1997-12-31,,,,,
218,792,2,1998-01-01,2000-12-31,,,,,
239,836,75,1988-01-01,1994-12-31,,,,,
240,836,66,1995-01-01,1997-12-31,,,,,
1412,2812,NA,2002-10-01,2007-01-03,,,,,
169,171,93,1982-01-01,1983-12-31,,,,,
170,171,93,1986-10-01,1987-11-30,,,,,
171,171,93,1988-06-01,1990-05-31,,,,,
172,171,93,1992-06-03,1993-10-30,,,,,
173,171,93,1977-06-12,1983-10-30,,,,,
212,763,95,2002-07-20,2006-07-19,,,,,
213,763,95,1998-07-20,2002-07-19,,,,,
137,512,113,2002-07-20,2006-07-19,,,,,
186,650,53,2002-07-20,2006-07-19,,,,,
864,210,NA,1988-06-01,1990-05-31,,,,,
865,210,NA,1990-06-01,1991-07-31,,,,,
866,210,NA,1991-07-01,1992-05-31,,,,,
205,706,4,1986-09-01,1988-08-30,,,,,
206,706,79,1998-07-20,2002-07-19,,,,,
207,706,4,1988-09-01,1990-08-30,,,,,
208,721,2,2003-03-10,2004-03-08,,,,,
209,721,2,2002-01-01,2006-12-31,,,,,
211,756,2,1998-01-02,2000-12-31,,,,,
150,601,2,1995-01-01,1997-12-31,,,,,
151,601,2,1998-01-01,2000-12-31,,,,,
152,601,2,2001-01-01,2002-01-01,,,,,
153,601,2,2002-07-20,2006-07-19,,,,,
146,591,2,1998-01-01,2000-12-31,,,,,
165,289,66,1980-01-01,1982-12-31,,,,,
166,289,66,1995-01-01,1997-12-31,,,,,
168,289,17,1991-01-01,1994-12-31,,,,,
154,612,5,2002-07-20,2006-07-20,,,,,
179,643,2,2002-07-20,2006-07-19,,,,,
180,643,2,1998-07-20,2002-07-19,,,,,
181,643,2,1994-07-20,1998-07-19,,,,,
182,643,2,1992-06-01,1994-12-31,,,,,
183,643,2,1990-01-01,1992-12-31,,,,,
159,623,75,1974-01-01,1976-12-31,,,,,
160,623,75,2002-01-01,2006-12-31,,,,,
