id|congresista_id|tipo_investigacion_id|descripcion|activo|usercreated|usermodifed|created_at|updated_at
47|565|19|"Estuvo DETENIDO y siendo investigado en el proceso de la PARAPOLÍTICA, acusado de enriquecimiento ilicito y constreñimiento al elector (07ABR08). ABSUELTO por falta de pruebas (16MAR08). Renunció a su curul (19AGO08).

http://www.caracol.com.co/nota.aspx?id=779192
Visto: enero 31/13"|TRUE|NA|NA|2010-02-16 21:39:27|2013-01-31 19:50:56
46|368|1|"Estuvo en INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA (24JUL08). Falleció el 18 de enero de 2009.
http://www.semana.com/on-line/articulo/corte-suprema-abre-investigacion-senador-victor-renan-barco/94105-3
Visto: enero 31/13"|TRUE|NA|NA|2010-02-16 21:37:45|2013-01-31 19:52:39
39|612|24|"La Corte Suprema de Justicia archivó el proceso al no encontrar pruebas contundentes para relacionar a la exsenadora con grupos paramilitares. Se encontraba en INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA en abril de 2007. Renunció a su curul (30ENE09).

http://www.elespectador.com/noticias/judicial/articulo-292390-archivan-proceso-parapolitica-contra-adriana-gutierrez
Visto: enero 31/13"|TRUE|NA|NA|2010-02-16 21:22:49|2013-01-31 20:01:43
66|1196|3|"CONDENADO a seis años de prisión y 2 mil SLMM en el proceso de la PARAPOLÍTICA (Diciembre 2007).

http://www.semana.com/wf_InfoArticulo.aspx?IdArt=108464
Visto: enero 31/12

Deberá pedir perdón a la sociedad, por orden de un juez (01FEB13).
http://www.elespectador.com/noticias/nacional/articulo-402307-dos-excongresistas-condenados-parapolitica-le-deberan-pedir-perd
Visto: febrero 01/13"|TRUE|NA|NA|2010-02-17 21:12:28|2013-02-01 16:09:06
111|197|1|"La Corte Suprema de Justicia le abrió investigación preliminar por posibles nexos con grupos armados ilegales el 03 de julio de 2009.

http://www.verdadabierta.com/nunca-mas/asesinatos/union-patriotica/1398-corte-suprema-abre-investigacion-contra-congresista-hector-javier-osorio-botello-por-parapolitica
Visto: enero 28/13"|TRUE|NA|NA|2010-04-23 14:38:45|2013-01-28 21:23:49
115|752|13|"El Consejo de Estado despojó de la credencial al representante a la Cámara por el Valle Eiber Gustavo Navarro, del Movimiento Popular Unido, pues en su providencia, el máximo tribunal anuló 90 mesas de doce municipios del departamento del Valle, luego de comprobar fraude y adulteración de los resultados. En reemplazo de Navarro, el Consejo de Estado entregó la curul a Luis Antonio Cuéllar, segundo reglón de la lista que encabezó el ex comandante de la Tercera División del Ejército Jaime Ernesto Canal. 

http://www.elcolombiano.com/BancoConocimiento/O/olac_consejo_estado_quita_credencial_congresista_colprensa_ana_04112004/olac_consejo_estado_quita_credencial_congresista_colprensa_ana_04112004.asp

Visto: Enero 28/13"|TRUE|NA|NA|2010-04-29 20:07:10|2013-01-28 20:58:56
10|399|3|"Condenado a 90 meses de prisión (18AGO10). El ex parlamentario también deberá pagar una sanción pecuniaria de más de 3.300 millones de pesos, equivalentes a 6.500 salarios mínimos mensuales  vigentes y estará inhabilitado para el ejercicio de funciones públicas durante el mismo lapso que dure la pena. Estuvo DETENIDO y siendo investigado en el proceso de la PARAPOLÍTICA Bloque Elmer Arenas (08ABR08). 

De igual forma, la Procuraduría General formuló pliego de cargos contra el excongresista por sus presuntos vínculos con grupos paramilitares para lograr un beneficio político y electoral (01NOV12).

http://www.elespectador.com/noticias/judicial/articulo-384560-procuraduria-abrio-proceso-contra-excongresista-humberto-builes
Visto: enero 28/13"|TRUE|NA|NA|2010-02-15 21:17:15|2013-02-01 14:24:44
4|100|24|"Estuvo en INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA. La Corte Suprema de Justicia decidió CERRAR su expediente (23JUN08).
http://www.eltiempo.com/archivo/documento/CMS-4343629
Visto: enero 28/13"|TRUE|NA|NA|2010-02-15 21:01:19|2013-02-01 15:36:27
95|853|3|"INVESTIGADO por parte de la Corte Suprema de Justicia dentro del proceso de la PARAPOLITICA.  Fue DETENIDO (23ENE09). Renunció a la curul (01ABR09). Fue CONDENADO por la Corte Suprema de Justicia  a 7 años y 5 meses de prisión por sus nexos con el Bloque Central Bolívar de las Auc. (16SEPT10).

http://www.eltiempo.com/colombia/justicia/condena-al-ex-congresista-miguel-ngel-rangel-por-parapolitica_7909685-1

Visto: enero 30/13"|TRUE|NA|NA|2010-02-22 21:10:16|2013-01-30 21:19:24
164|9|58|"La Procuraduría General de la Nación le inició investigación disciplinaria (11MAR11). La investigación se origina a partir de la compulsa de copias que hiciera la Corte Suprema de Justicia para investigar los supuestos indebidos manejos en la Dirección Nacional de Estupefacientes. Llamado a versión libre (18ENE12).

http://www.elespectador.com/noticias/judicial/articulo-256299-escandalo-de-dne-procuraduria-abre-indagacion-13-
dirigentes
Visto: enero 24/13

La Corte Suprema abrió investigación preliminar en contra por el supuesto tráfico de influencias que ejercieron dentro de la Dirección Nacional de Estupefacientes, DNE (06ABR11).
http://www.elespectador.com/noticias/judicial/articulo-261299-caso-dne-corte-abre-indagacion-14-dirigentes
Visto: enero 24/13
"|TRUE|NA|NA|2011-03-14 15:47:44|2013-01-24 20:49:43
27|1007|3|"Ante el Consejo de Estado el exsenador Luis Eduardo Vives Lacouture solicitó que se anule la sanción disciplinaria interpuesta por la Procuraduría General en su contra por vínculos con grupos paramilitares (12ABR13). CONDENADO a siete años de prisión y $923 millones en el proceso de la PARAPOLÍTICA (01AGO08). Se le dio casa por cárcel alegando ser padre cabeza de familia (9ENE09) pero se rebocó la medida al no demostrar la situación de cabeza de hogar (10MAR09). Renunció a la curul (27NOV07).

http://www.elespectador.com/noticias/judicial/articulo-415526-exsenador-luis-eduardo-vives-lacouture-pide-se-anule-fallo-disci
Tomado: abril 12/13

http://www.elespectador.com/parapolitica/articulo-luis-eduardo-vives-condenado-siete-anos-parapolitica
Visto: enero 30/13"|TRUE|NA|NA|2010-02-15 22:24:46|2013-04-12 16:56:58
114|256|85|"Tiene investigación preliminar por posibles nexos con grupos armados ilegales. Se abrió investigación penal y disciplinaria pues el senador habría hecho gestiones irregulares para que le fueran entregados nueve establecimientos de comercio, denominados Mercacentro y Mercafácil, a la Caja de Compensación del Tolima, representada por Nélson Norbey Quintero.

http://www.kienyke.com/2011/11/30/los-pecados-de-catorce-congresistas/

Visto: enero 28/13"|TRUE|NA|NA|2010-04-27 22:30:51|2013-01-28 20:59:50
108|2485|1|"Tiene una investigación preliminar por presuntos nexos con grupos armados ilegales.
http://www.eje21.com.co/index.php?option=com_content&task=view&id=13170&Itemid=1
Visto: enero 30/13"|TRUE|NA|NA|2010-04-20 15:46:53|2013-01-30 15:19:03
106|970|31|"Investigan origen de más de $130 millones de pesos transportados en avioneta vinculados a campaña política (13MAR10).

http://www.caracol.com.co/noticias/judicial/investigan-origen-de-mas-de-130-millones-de-pesos-transportados-en-avioneta-vinculados-a-campana-politica/20100313/nota/968458.aspx
Visto: enero 30/13"|TRUE|NA|NA|2010-04-13 16:04:22|2013-01-30 15:30:18
25|1309|6|"Renunció por inhabilidad para ocupar el cargo (18AGO09). LLAMADO A JUICIO (09DIC09).
www.procuraduria.gov.co/.../file/.../161-02600.do... - 
Visto: enero 28/13"|TRUE|NA|NA|2010-02-15 22:18:50|2013-02-01 14:06:52
120|868|12|"Fue condenado a 18 meses de prisión domiciliaria por la Sala Penal del Tribunal Superior de Tunja, por el delito de receptación, quedando inhabilitado para el ejercicio de funciones públicas por igual tiempo que la pena principal.

http://www.terra.com.co/elecciones_2002/congreso_2002_2006/22-07-2002/nota63342.html

Visto: enero 28/13"|TRUE|NA|NA|2010-05-04 16:01:27|2013-01-28 20:51:08
168|2486|3|"El congresista Conde Romero fue condenado (06ABR11) a 60 meses de prisión luego de que la Sala penal de la Corte Suprema de Justicia lo declarara culpable del cargo de concierto para delinquir agravado, derivado de su vinculación al escándalo de la parapolítica. Fue detenido (08JUN10) por sus presuntos vínculos con paramilitares. Conde Romero es investigado luego de que Edward Cobos Téllez, alias ‘Diego Vecino’, sostuviera durante una audiencia pública que los paramilitares sí tuvieron varios vínculos con él. 

http://www.elespectador.com/noticias/judicial/articulo-261335-parapolitica-condenan-jose-maria-conde-romero
Visto: enero 24/13"|TRUE|NA|NA|2011-04-07 16:13:10|2013-01-24 20:46:15
154|574|25|"La Fiscalía precluyó la investigación que se adelantaba en contra del ex senador Gnecco, por su presunta relación con miembros de las AUC (08NOV09). En marzo de 2008 tenía investigación  como presunto responsable del delito de concierto para delinquir agravado, según determinó un fiscal de la Unidad Nacional Antiterrorismo.

http://www.elespectador.com/articulo155466-cierran-investigacion-parapolitica-contra-pepe-gnecco
Visto: enero 24/13"|TRUE|NA|NA|2010-12-09 21:49:19|2013-01-24 21:01:20
