id,created_at,updated_at,tipo_investigacion_id,descripcion,congresista_id,activo,usercreated,usermodifed
126,40:05.6,59:55.6,40,"CAPTURADO (01oct09) por corrupción al sufragante. Condenado a seis años de prisión por corrupción al sufragante. (08JUL10). CAPTURADO (01OCT09).

http://www.elespectador.com/noticias/judicial/articulo-212351-condenado-seis-anos-de-carcel-congresista-fabio-arango-torres
Visto: enero 28/13",108,NA,NA,NA
135,54:22.6,16:48.0,2,"Por orden de detención de la Corte Suprema de Justicia fue detenido el día 17 de septiembre de 2010, por su presunta responsabilidad en el escándalo de la parapolítica. Nader fue mencionado por Freddy Rendón Herrera, alias ‘El Alemán' entre los políticos apoyados por las Auc. 

http://www.elespectador.com/noticias/judicial/articulo-224812-parapolitica-capturado-ex-senador-mario-salomon-nader
Visto: enero 24/13",2644,NA,NA,NA
62,03:44.5,37:27.3,3,"Condenado por concierto para delinquir agravado (14ABR11) a 7 años y seis meses de cárcel, por la Corte Suprema de Justicia. Capturado ese mismo día.  Estuvo detenido (18JUL07). RENUNCIO A LA CURUL para hacerle frente al proceso judicial de la parapolitica abierto por la Corte Suprema de Justicia (22ENE08).

http://www.caracol.com.co/noticias/judicial/se-entrego-el-representante-por-casanare-oscar-wilches/20070719/nota/455848.aspx
Visto: enero 31/13

http://m.elespectador.com/noticias/judicial/articulo-263184-capturado-excongresista-oscar-leonidas-wilches
Visto: enero 31/13",1011,NA,NA,NA
144,54:11.3,10:21.9,3,"Condenado a 4 años y 5 meses de cárcel (01SEPT11). Detenido (28SEPT10) Investigado por el supuesto delito de concierto para delinquir con el Bloque Élmer Cárdenas de las Autodefensas Campesinas de Córdoba y Urabá (ACCU) comandado por Freddy Rincón Herrera, alias El Alemán.

http://www.elnuevosiglo.com.co/articulos/9-2011-condenados-tres-ex-congresistas.html?utm_source=twitterfeed&utm_medium=twitter
Visto: enero 24/13
",2224,NA,NA,NA
89,02:51.2,33:43.4,3,"Condenado a 7 años de prisión (12OCT11) por concierto para delinquir. Fue DETENIDO (31AGO09) por el proceso de la parapolítica, es decir, concierto para delinquir agravado. Investigado desde 4 meses antes por nexos con el bloque cacique pipintá de las autodefensas. SE SUSPENDE CONDICIÓN CONGRESIONAL.

http://elespectador.com/noticias/judicial/articulo-305138-condenado-siete-anos-de-prision-excongresista-juan-pablo-sanchez
Visto: enero 31/13",1315,NA,NA,NA
78,43:06.1,38:44.1,3,"CONDENADO a seis años de prisión y multa de 1.600 millones en el proceso de la PARAPOLÍTICA (Diciembre 2007) De acuerdo a información de prensa. Salió en libertad al cumplir las tres cuartas partes de la pena impuesta. (03FEB09)

http://www.verdadabierta.com/parapolitica/842-firmante-del-pacto-de-ralito-en-libertad
Visto: enero 31/13
http://www.noticiasabc.com/2009/02/03/alfonso-campo-escobar-recupero-su-libertad-2/
Visto: enero 31/13",409,NA,NA,NA
143,51:23.6,51:51.7,3,"La Sala Penal de la Corte Suprema de Justicia lo condenó a ocho años de prisión en el proceso que se le adelanta por sus nexos con grupos paramilitares (06MAR13). Detenido (28SEP10) Investigado por el supuesto delito de concierto para delinquir con el Bloque Elmer Cárdenas de las Autodefensas Campesinas de Córdoba y Urabá (ACCU), comandado por Fredy Rendón Herrera, alias ‘el Alemán’.

http://www.elespectador.com/noticias/judicial/articulo-408735-parapolitica-condenan-ocho-anos-de-prision-excongresita-estanisl
Tomado: marzo 07/13

http://www.verdadabierta.com/index.php?option=com_content&id=2754
Visto: enero 24/13",1152,NA,NA,NA
147,29:14.8,05:35.1,1,"Investigado preliminarmente por la Corte Suprema de Justicia sindicado de tener supuestos nexos con grupos al margen de la Ley.

http://www.caracol.com.co/nota.aspx?id=811570 
Visto: enero 24/13",26,NA,NA,NA
140,52:28.1,13:07.9,3,"Condenado a siete años y seis meses (13MAY10), luego de que la Sala Penal de la Corte Suprema de Justicia comprobara los nexos que éste mantenía con el Bloque Norte de las Autodefensas Unidas de Colombia, AUC. Detenido (15MAY08)

http://www.elespectador.com/noticias/judicial/articulo-202919-condenan-ex-congresista-jorge-ivan-castro-parapolitica
Visto: enero 24/13",1290,NA,NA,NA
28,25:50.6,34:24.8,24,"Estuvo en INDAGACIÓN PRELIMINAR dentro del proceso de la PARAPOLITICA. La Sala Penal de la Corte Suprema de Justicia se abstuvo de abrir investigación por falta de pruebas contra el senador conservador, Juan Manuel Corzo, investigado de manera preliminar por supuestos nexos con las autodefensas. (03SEP08)

http://www.caracol.com.co/nota.aspx?id=664008
Visto: enero 31/13",27,NA,NA,NA
178,31:32.7,38:04.1,2,"El CTI de la Fiscalía capturó al político tolimense, Emilio Martínez, dentro de un proceso que lleva el Fiscal Sexto Especializado de Ibagué, por sus presuntos nexos con los paramilitares. (20MAY08)


Visto: enero 24/13",690,NA,NA,NA
153,37:59.2,05:36.8,55,"Perdió su investidura por haber cedido y autorizado el uso de un tiquete aéreo a favor de un particular. Sentencia del Consejo de Estado (13NOV01).

Visto: enero 24/13",2114,NA,NA,NA
