id,nombre,departamento_id,activo,usercreated,usermodifed,created_at,updated_at
285,Sucre,29,NA,NA,NA,NA,NA
286,Guaduas,15,NA,NA,NA,NA,NA
287,Fómeque,15,NA,NA,NA,NA,NA
291,San José de Albán,23,NA,NA,NA,NA,NA
292,Cajamarca,31,NA,NA,NA,NA,NA
293,Guapotá,29,NA,NA,NA,NA,NA
294,San José de la Montaña,3,NA,NA,NA,NA,NA
295,Garzón,18,NA,NA,NA,NA,NA
296,Luruaco,5,NA,NA,NA,NA,NA
297,Zulia,24,NA,NA,NA,NA,NA
298,Puerto Leguízamo,25,NA,NA,NA,NA,NA
299,Maicao,19,NA,NA,NA,NA,NA
300,Mogotes,29,NA,NA,NA,NA,NA
301,San Agustín,18,NA,NA,NA,NA,NA
302,Condoto,13,NA,NA,NA,NA,NA
303,Baraya,18,NA,NA,NA,NA,NA
305,Carmen de Carupa,15,NA,NA,NA,NA,NA
306,Caldono,11,NA,NA,NA,NA,NA
307,Puerto Rondón,4,NA,NA,NA,NA,NA
308,Ipiales,23,NA,NA,NA,NA,NA
309,Bet-jalá Palestina,36,NA,NA,NA,NA,NA
310,Arenal,6,NA,NA,NA,NA,NA
311,Plato,20,NA,NA,NA,NA,NA
312,Riosucio,8,NA,NA,NA,NA,NA
227,Fonseca,19,NA,NA,NA,NA,NA
207,Villanueva,19,NA,NA,NA,NA,NA
340,Palocabildo,31,NA,NA,NA,NA,NA
30,Riohacha,19,NA,NA,NA,NA,NA
318,Caicedonia,32,NA,NA,NA,NA,NA
319,Guacamayas,7,NA,NA,NA,NA,NA
320,Jamundí,32,NA,NA,NA,NA,NA
313,San Andrés de Sotavento,14,NA,NA,NA,NA,NA
341,Paz de Ariporo,10,NA,NA,NA,NA,NA
315,Soplaviento,6,NA,NA,NA,NA,NA
316,Sandoná,23,NA,NA,NA,NA,NA
317,Neira,8,NA,NA,NA,NA,NA
321,Achí,6,NA,NA,NA,NA,NA
323,San Diego,12,NA,NA,NA,NA,NA
324,Yolombó,3,NA,NA,NA,NA,NA
325,San Vicente Ferrer,3,NA,NA,NA,NA,NA
326,Pauna,7,NA,NA,NA,NA,NA
327,Fredonia,3,NA,NA,NA,NA,NA
328,Gamarra,12,NA,NA,NA,NA,NA
329,La Paz,12,NA,NA,NA,NA,NA
330,Juan de la Costa,19,NA,NA,NA,NA,NA
331,Sampuez,30,NA,NA,NA,NA,NA
332,San Marcos,30,NA,NA,NA,NA,NA
336,Mitú,33,NA,NA,NA,NA,NA
343,Bogotá,1,NA,NA,NA,NA,NA
348,Cali,32,NA,NA,NA,NA,NA
366,Santa Bárbara,3,NA,NA,NA,NA,NA
367,Puerto Boyacá,7,NA,NA,NA,NA,NA
352,Yaguará,18,NA,NA,NA,NA,NA
353,Pivijay,20,NA,NA,NA,NA,NA
354,Pitalito,18,NA,NA,NA,NA,NA
357,Robles,32,NA,NA,NA,NA,NA
358,Ciudad Bolívar,3,NA,NA,NA,NA,NA
360,Bajo Baudó,13,NA,NA,NA,NA,NA
361,Santa Rita de Ituango,3,NA,NA,NA,NA,NA
362,Cunday,31,NA,NA,NA,NA,NA
363,Mallama,23,NA,NA,NA,NA,NA
364,Chima,29,NA,NA,NA,NA,NA
368,Betania,3,NA,NA,NA,NA,NA
369,Sabanalarga,5,NA,NA,NA,NA,NA
370,Viterbo,8,NA,NA,NA,NA,NA
371,Sutamarchán,7,NA,NA,NA,NA,NA
372,Une,15,NA,NA,NA,NA,NA
373,Calamar,6,NA,NA,NA,NA,NA
374,Nunchía,10,NA,NA,NA,NA,NA
375,Guatapé,3,NA,NA,NA,NA,NA
376,Cáceres,3,NA,NA,NA,NA,NA
377,Chinú,14,NA,NA,NA,NA,NA
378,Cocorná,3,NA,NA,NA,NA,NA
379,Argelia,11,NA,NA,NA,NA,NA
380,Aldana,23,NA,NA,NA,NA,NA
381,San Francisco,25,NA,NA,NA,NA,NA
382,Rovira,31,NA,NA,NA,NA,NA
383,Zona Bananera,20,NA,NA,NA,NA,NA
384,Salgar,3,NA,NA,NA,NA,NA
385,Samacá,7,NA,NA,NA,NA,NA
386,Aranzazu,8,NA,NA,NA,NA,NA
387,Sardinata,24,NA,NA,NA,NA,NA
388,Vélez,29,NA,NA,NA,NA,NA
389,Riosucio,13,NA,NA,NA,NA,NA
390,Convención,24,NA,NA,NA,NA,NA
