id,nombre,activo,usercreated,usermodifed,created_at,updated_at
108,CNE - Consejo Nacional Electoral,NA,NA,NA,15/03/10 6:13,25/08/10 16:12
109,Registraduría Nacional del Estado Civil,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
110,Plan Colombia,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
112,Agencia de Conectividad,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
114,Federación Nacional de Gobernadores,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
115,USO - Unión Sindical Obrera,NA,NA,NA,15/03/10 6:13,06/09/10 13:48
1760,Consejería de Seguridad de la Vicepresidencia de la Repùblica,NA,NA,NA,09/08/17 14:15,09/08/17 14:15
119,FINAGRO - Fondo para el Financiamiento del Sector Agropecuario,NA,NA,NA,15/03/10 6:13,01/09/10 14:39
120,Agencia de Cooperación Internacional,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
121,Universidad Nacional de Colombia,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
122,INPEC - Instituto Nacional Penitenciario y Carcelario,NA,NA,NA,15/03/10 6:13,01/09/10 16:03
123,Alcaldía de Cartagena de Indias,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
124,CAJANAL - Caja Nacional de Previsión Social,NA,NA,NA,15/03/10 6:13,25/08/10 14:45
125,Contaduría General de la Nación,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
126,Gobernación de Atlántico,NA,NA,NA,15/03/10 6:13,06/09/10 14:55
127,Gobernación de Sucre,NA,NA,NA,15/03/10 6:13,06/09/10 14:58
128,Gobernación de Cesar,NA,NA,NA,15/03/10 6:13,06/09/10 14:56
129,Gobernación de Bolívar,NA,NA,NA,15/03/10 6:13,06/09/10 14:55
130,Gobernación de Magdalena,NA,NA,NA,15/03/10 6:13,06/09/10 14:57
131,Gobernación de Córdoba,NA,NA,NA,15/03/10 6:13,06/09/10 14:56
