id,created_at,updated_at,nombre,activo,usermodifed,usercreated
110,2011/01/25 19:03:31,2011/01/25 19:03:31,"Ministra de Comunicaciones, Claudia de Francisco",NA,NA,NA
111,2011/01/26 18:21:50,2011/01/26 18:21:50,"Ministro de Justicia y del Derecho, Parmenio Cuéllar Bastidas",NA,NA,NA
107,2011/01/25 18:25:11,2012/06/22 06:01:09,"Director del Departamento Nacional de Planeación, Jaime Ruiz Llano",NA,NA,NA
76,2010/10/11 20:33:24,2011/03/10 16:59:13,"Procurador General de la Nación (E), Carlos Darío Gómez Pavajeau.",NA,NA,NA
142,2011/05/03 21:53:28,2011/05/03 21:53:28,"Ministro de Minas y Energía, Ramiro Valencia Cossio",NA,NA,NA
143,2011/05/04 18:51:54,2011/05/04 18:51:54,"Ministro de Desarrollo Económico, Eduardo Pizano de Narváez",NA,NA,NA
155,2011/08/16 20:42:35,2011/08/16 20:42:35,"Presidente del Consejo de Estado, Mauricio Fajardo Gómez",NA,NA,NA
114,2011/01/31 22:24:46,2011/01/31 22:24:46,"Presidente del Consejo Superior de la Judicatura, Rómulo González Trujillo",NA,NA,NA
115,2011/02/01 16:49:11,2011/02/01 16:49:11,"Ministro de Agricultura y Desarrollo Rural, Carlos Roberto Murgas Guerrero",NA,NA,NA
116,2011/02/01 19:46:44,2011/02/01 19:46:44,"Ministro de Transporte, Mauricio Cárdenas Santamaría",NA,NA,NA
117,2011/02/02 20:26:48,2011/02/02 20:26:48,"Ministro de Defensa (E), Fernando Tapias Stahelin",NA,NA,NA
118,2011/02/07 18:13:14,2011/02/07 18:13:14,"Contralor General de la Nación, Carlos Ossa Escobar",NA,NA,NA
119,2011/02/07 22:06:53,2011/02/07 22:06:53,"Ministro de Salud, Virgilio Galvis Ramírez",NA,NA,NA
120,2011/02/14 19:21:49,2011/02/15 16:24:05,"Ministro de Justicia, Rómulo González Trujillo",NA,NA,NA
121,2011/02/14 19:39:55,2011/02/15 16:26:42,"Ministro de Educación, Germán Bula Escobar",NA,NA,NA
144,2011/05/09 21:48:21,2011/05/09 21:48:46,"Viceministra de Medio Ambiente, Claudia Martínez Zuleta",NA,NA,NA
145,2011/05/10 20:05:42,2011/05/10 20:05:42,"Ministro de Defensa Nacional, Gustavo Bell Lemus",NA,NA,NA
122,2011/02/15 18:25:23,2011/02/15 18:25:23,"Ministro de Desarrollo Económico, Jaime Alberto Cabal",NA,NA,NA
156,2011/08/19 20:05:52,2011/08/19 20:05:52,"Ministro de Justicia, Juan Carlos Esguerra Portocarrero",NA,NA,NA
124,2011/02/16 15:28:42,2011/02/16 15:28:42,"Ministra de Trabajo y Seguridad Social, Gina Magnolia Riaño Barón",NA,NA,NA
125,2011/02/16 19:31:09,2011/02/16 19:31:09,"Ministro de Minas y Energía, Luis Carlos Valenzuela Delgado",NA,NA,NA
126,2011/02/17 16:56:06,2011/02/17 16:56:06,"Viceministra de Relaciones Exteriores, Clemencia Forero Ucrós",NA,NA,NA
146,2011/05/11 17:02:44,2011/05/11 17:02:44,"Presidente Consejo Nacional Electoral, Luis Felipe Vergara Cabal",NA,NA,NA
127,2011/02/17 16:57:09,2011/02/17 16:59:22,"Viceministro de Desarrollo Empresarial, Ricardo Duarte Duarte",NA,NA,NA
128,2011/02/17 18:56:16,2011/02/17 18:56:16,"Viceministra de Relaciones Exteriores, María Fernanda Campo",NA,NA,NA
129,2011/02/17 19:59:49,2011/02/17 19:59:49,"Ministro de Agricultura y Desarrollo Rural, Rodrigo Villalba Mosquera",NA,NA,NA
130,2011/02/25 20:39:43,2011/02/25 20:39:43,"Ministro de Defensa Nacional, Luis Fernando Ramírez Acuña",NA,NA,NA
131,2011/02/28 20:26:28,2011/02/28 20:26:28,"Ministro de Transporte, Gustavo Adolfo Canal Mora",NA,NA,NA
132,2011/03/10 15:11:05,2011/03/10 16:43:04,"Ministro del Interior, Armando Estrada Villa",NA,NA,NA
147,2011/05/11 21:31:50,2011/05/11 21:31:50,"Ministro de Educación, Francisco José Lloreda",NA,NA,NA
81,2010/11/04 19:31:27,2011/03/10 16:55:12,"Viceministro de Minas y Energía, Manuel F. Maiguashca Olano",NA,NA,NA
133,2011/03/11 15:22:34,2011/03/11 15:22:34,"Contralora General de la República, Sandra Morelli Rico",NA,NA,NA
134,2011/03/14 21:38:39,2011/03/14 22:02:34,"Ministro de Hacienda y Crédito Público, Juan Manuel Santos",NA,NA,NA
148,2011/05/27 20:28:16,2011/05/27 20:28:16,"Ministra de Ambiente Vivienda y Desarrollo Territorial, Beatriz Uribe",NA,NA,NA
135,2011/03/15 19:36:10,2011/03/15 19:36:10,"Viceministra de Comercio Exterior, Angela María Orozco Gómez",NA,NA,NA
136,2011/03/18 21:16:06,2011/03/18 21:16:06,"Ministro del Interior, Humberto de la Calle Lombana",NA,NA,NA
137,2011/03/18 21:18:09,2011/03/18 21:18:09,"Director Departamento Administrativo de la Función Pública, Mauricio Zuluaga Ruiz",NA,NA,NA
138,2011/03/24 22:13:40,2011/03/24 22:13:40,"Ministra de Comunicaciones, María del Rosario Sintes Ulloa",NA,NA,NA
139,2011/04/05 21:26:21,2011/04/05 21:26:21,"Ministro de Desarrollo Económico, Augusto Ramírez Ocampo",NA,NA,NA
140,2011/04/06 14:31:48,2011/04/06 14:31:48,"Ministro de Tecnologías de la Información, Diego Ernesto Molano Vega",NA,NA,NA
65,2010/09/01 22:11:15,2011/04/06 14:50:20,"Ministra de Cultura, Mariana Garcés Córdoba",NA,NA,NA
141,2011/04/18 20:44:21,2011/04/18 20:44:21,"Ministro de Trabajo y Seguridad Social, Angelino Garzón",NA,NA,NA
149,2011/05/30 19:44:23,2011/05/30 19:44:23,"Ministro de Transporte, (e) Federmán Quiroga Ríos",NA,NA,NA
150,2011/06/01 19:33:15,2011/06/01 19:33:15,"Ministra de Comunicaciones, Angela Montoya Holguín",NA,NA,NA
151,2011/06/02 21:22:58,2011/06/02 21:22:58,"Ministra de Cultura, Araceli Morales López",NA,NA,NA
152,2011/06/02 21:51:47,2011/06/02 21:51:47,"Viceministro de Hacienda, Federico Renjifo Vélez",NA,NA,NA
123,2011/02/15 18:28:50,2011/06/07 20:39:48,"Ministro de Medio Ambiente, Juan Mayr Maldonado",NA,NA,NA
153,2011/06/07 21:07:37,2011/06/07 21:07:37,"Ministra de Salud, Sara Ordónez Noriega",NA,NA,NA
154,2011/06/07 21:10:20,2011/06/07 21:10:20,"Ministro de Minas y Energía, Carlos Caballero Argáez",NA,NA,NA
157,2011/08/19 20:11:07,2011/08/19 20:11:07,"Ministro del Interior, Germán Vargas Lleras",NA,NA,NA
158,2011/08/25 14:51:09,2011/08/25 14:51:09,"Registrador Nacional del Estado Civil, Iván Duque Escobar",NA,NA,NA
159,2011/08/25 21:30:40,2011/08/25 21:30:40,"Ministro de Hacienda y Crédito Público, Roberto Junguito Bonett",NA,NA,NA
160,2011/09/08 21:16:40,2011/09/08 21:16:40,"Ministra de Comunicaciones, Martha Elena Pinto de De Hart",NA,NA,NA
161,2011/09/09 19:09:23,2011/09/09 19:09:23,"Presidente de la Corte Suprema de Justicia,  Francisco Escobar Henríquez",NA,NA,NA
162,2011/09/09 19:28:10,2011/09/09 19:28:10,"Ministro de Defensa Nacional, Gilberto Echeverry Mejía",NA,NA,NA
163,2011/09/12 15:12:14,2011/09/12 15:12:14,"Ministra de Educación Nacional, María Fernanda Campo Saavedra",NA,NA,NA
164,2011/09/12 17:09:24,2011/09/12 17:09:24,"Ministro de Transporte, Germán Cardona",NA,NA,NA
165,2011/09/12 18:41:53,2011/09/12 18:41:53,"Presidente Consejo Nacional Electoral, Guillermo Francisco Reyes González",NA,NA,NA
166,2011/09/12 22:06:31,2011/09/12 22:06:31,"Presidente Consejo Superior de la Judicatura, Carlos Enrique Marín Vélez",NA,NA,NA
167,2011/09/12 22:20:10,2011/09/12 22:20:10,"Director Departamento Administrativo de la Función Pública, Fernando Grillo Rubiano",NA,NA,NA
168,2011/09/21 22:23:02,2011/09/21 22:23:02,"Fiscal General de la Nación, Viviane Morales Hoyos",NA,NA,NA
169,2011/10/03 19:45:10,2011/10/03 19:45:10,"Presidente del Consejo Nacional Electoral, José Joaquín Vives Pérez",NA,NA,NA
170,2011/10/19 18:59:44,2011/10/19 18:59:44,"Viceministro de Cultura, Oscar Rueda García",NA,NA,NA
171,2011/10/31 15:44:21,2011/10/31 15:44:21,"Ministro de Minas y Energía, Mauricio Cárdenas Santamaría",NA,NA,NA
173,2011/11/08 20:11:33,2011/11/08 20:11:33,"Director del Departamento Nacional de Planeación, Hernando José Gómez Restrepo",NA,NA,NA
174,2011/11/28 15:25:41,2011/11/28 15:25:41,"Ministro de Defensa Nacional, Juan Carlos Pinzón",NA,NA,NA
175,2012/03/20 16:39:18,2012/03/20 16:39:18,"Viceministro de Justicia, Pablo Felipe Robledo",NA,NA,NA
177,2012/03/20 18:53:04,2012/03/20 18:53:04,"Viceministro de Comercio Exterior, Gabriel Duque Mildenberg",NA,NA,NA
178,2012/04/25 15:11:47,2012/04/25 15:11:47,"Presidente del Consejo de Estado, Gustavo Gómez Aranguren",NA,NA,NA
179,2012/04/27 15:10:19,2012/04/27 15:10:19,"Ministro Encargado de Vivienda, Ciudad y Territorio, Luis Felipe Henao Cardona",NA,NA,NA
180,2012/04/30 20:40:05,2012/04/30 20:40:05,"Ministro de Trabajo, Rafael Pardo",NA,NA,NA
176,2012/03/20 16:56:23,2012/06/05 20:26:37,"Presidente del Consejo Nacional Electoral, José Joaquín Plata",NA,NA,NA
1,2010/06/08 20:45:17,2010/06/08 20:45:17,"Ministro de Relaciones Exteriores, Jaime Bermúdez Merizalde",NA,NA,NA
9,2010/06/23 21:49:45,2010/07/01 19:10:36,"Ministro de Minas y Energía, Hernán Martínez Torres",NA,NA,NA
58,2010/08/25 16:54:03,2010/08/25 16:55:27,"Director del Departamento Administrativo de Seguridad D.A.S., Felipe Muñoz Gómez",NA,NA,NA
172,2011/10/31 15:47:01,2011/10/31 15:47:01,"Viceministro de Hacienda y Crédito Público, Bruce Mac Master Rojas",NA,NA,NA
181,2012/08/02 22:54:52,2012/08/02 22:54:52,"Vicepresidente del Consejo Nacional Electoral, Pablo Guillermo Gil de la Hoz",NA,NA,NA
