id,fecha,fecha_realizada,comentarios,cuatrienio_id,realizado,activo,usercreated,usermodifed,created_at,updated_at
11119,2019/03/20 20:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11094,2019/03/19 16:00:00,2019-03-19,Acta 13 Gac 425/19,8,NA,NA,NA,NA,NA,NA
11116,2019/03/26 15:00:00,2019-03-26,Acta 24 Gac 345/29,8,NA,NA,NA,NA,NA,NA
11184,2019/04/22 19:00:00,2019-04-22,Gaceta 640/19,8,NA,NA,NA,NA,NA,NA
11125,2019/03/27 16:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11170,2019/04/10 14:00:00,2019-04-10,Acta 42 Gac 520/19,8,NA,NA,NA,NA,NA,NA
11089,2019/03/19 15:00:00,2019-03-19,Acta 35 Gac 229/19,8,NA,NA,NA,NA,NA,NA
11130,2019/04/02 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11161,2019/04/09 14:00:00,2019-04-09,Acta 28 Gac 868/19,8,NA,NA,NA,NA,NA,NA
10674,2018/09/04 15:00:00,2018-09-04,Acta 5 Gac 141/19,8,NA,NA,NA,NA,NA,NA
11072,2018/10/02 15:00:00,2018-10-02,Acta 8 Gac 143/19,8,NA,NA,NA,NA,NA,NA
10845,2018/10/30 15:00:00,2018-10-30,Acta 9 Gac 144/19,8,NA,NA,NA,NA,NA,NA
10918,2018/11/14 15:00:00,2018-11-14,Acta 10 Gac 144/19,8,NA,NA,NA,NA,NA,NA
11133,2019/04/02 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11183,2019/04/10 19:30:00,2019-04-10,Acta 46 Gac 751/19,8,NA,NA,NA,NA,NA,NA
11169,2019/04/10 14:00:00,2019-04-10,Acta 26 Gac 346/19,8,NA,NA,NA,NA,NA,NA
11147,2019/04/02 20:00:00,2019-04-02,Acta 44 Gac 1064/19,8,NA,NA,NA,NA,NA,NA
11104,2019/03/20 15:00:00,2019-03-20,Acta 14 Gac 425/19,8,NA,NA,NA,NA,NA,NA
10936,2018/11/27 13:00:00,2018-11-27,Acta 12 Gac 145/19,8,NA,NA,NA,NA,NA,NA
10959,2018/12/04 15:00:00,2018-12-04,Acta 13 Gac 145/19 elección comisión asesora,8,NA,NA,NA,NA,NA,NA
11168,2019/04/10 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
11102,2019/03/19 15:00:00,2019-03-19,Acta 24 Gac 609/19,8,NA,NA,NA,NA,NA,NA
11186,2019/04/23 14:00:00,2019-04-23,Acta 43 Gac 521/19,8,NA,NA,NA,NA,NA,NA
11153,2019/04/03 15:00:00,2019-04-03,Acta 16 Gac 429/19,8,NA,NA,NA,NA,NA,NA
