id,created_at,updated_at,nombre,imagen,proyecto_ley_id,activo,usermodifed,usercreated
57,2010/08/24 21:45:44,2010/08/24 21:45:44,"Directora del Departamento Administrativo de la Función Pública,  Elizabeth  Rodríguez  Taylor.",uploads/otros_autores/Elizabeth_rodriguez_taylor.jpg,NA,NA,NA,NA
112,2011/01/26 18:23:36,2011/01/26 18:23:36,"Fiscal General de la Nación, Jaime Córdoba triviño",uploads/otros_autores/Jaime_Cordoba_Triviño.jpg,NA,NA,NA,NA
83,2010/11/10 19:05:27,2010/11/10 19:05:27,"Ministro del Interior y de Justicia, Fernando Londoño Hoyos",uploads/otros_autores/Fernando_Londoño_Hoyos.jpg,NA,NA,NA,NA
84,2010/11/10 21:50:59,2010/11/10 21:50:59,"Defensor del Pueblo, Eduardo Cifuentes Muñoz",uploads/otros_autores/Eduardo_Cifuentes.bmp,NA,NA,NA,NA
85,2010/11/12 14:50:17,2010/11/12 14:50:17,"Viceministro de Hacienda y Crédito Público,  Juan Ricardo Ortega López",uploads/otros_autores/Juan_Ricardo_Ortega.jpg,NA,NA,NA,NA
86,2010/11/12 15:23:10,2010/11/12 15:23:10,"Ministro (E)  de Relaciones Exteriores, Jaime Girón Duarte",uploads/otros_autores/Jaime_Giron_Duarte.jpg,NA,NA,NA,NA
59,2010/08/25 17:06:10,2010/08/25 17:07:26,"Procurador General de la Nación, Alejandro Ordoñez Maldonado",uploads/otros_autores/Alejandro_Ordoñez.gif,NA,NA,NA,NA
64,2010/09/01 19:26:58,2010/09/01 19:26:58,"Presidente Consejo Electoral, Oscar Giraldo Jiménez",uploads/otros_autores/Oscar_Giraldo_Jimenez.jpg,NA,NA,NA,NA
63,2010/08/30 20:57:41,2010/08/30 20:58:52,"Presidente del Consejo Nacional Electoral, Ciro Muñoz Oñate",uploads/otros_autores/Ciro_Muñoz_Oñate.jpg,NA,NA,NA,NA
66,2010/09/02 16:28:17,2010/09/02 16:28:17,"Ministro de Minas y Energía, Carlos Rodado Noriega",uploads/otros_autores/Carlos_Rodado_Noriega.jpg,NA,NA,NA,NA
67,2010/09/02 19:56:41,2010/09/02 19:56:41,"Contralor Encargado, Roberto Pablo Hoyos Botero",uploads/otros_autores/Roberto_Pablo_Hoyos.gif,NA,NA,NA,NA
69,2010/09/08 16:41:31,2010/09/08 16:41:31,"Ministro de Agricultura y Desarrollo Rural, Juan Camilo Restrepo",uploads/otros_autores/Juan_Camilo_Restrepo.jpg,NA,NA,NA,NA
70,2010/09/09 20:38:21,2010/09/09 20:38:21,"Viceministro de Desarrollo Económico, Juan Alfredo Pinto Saavedra",uploads/otros_autores/Juan_Alfredo_Pinto.jpg,NA,NA,NA,NA
71,2010/09/09 21:13:21,2010/09/09 21:13:21,"Procurador General de la Nación, Jaime Bernal Cuellar",uploads/otros_autores/jaime_bernal_cuellar.jpg,NA,NA,NA,NA
72,2010/09/28 22:14:24,2010/09/28 22:14:24,"Fiscal General de la Nación, Luis Camilo Osorio Isaza",uploads/otros_autores/Luis_Camilo_Osorio.jpg,NA,NA,NA,NA
