id,control_politico_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
63308,24789,2233,NA,NA,NA,NA,NA
63309,24789,763,NA,NA,NA,NA,NA
63310,24789,668,NA,NA,NA,NA,NA
63311,24789,2462,NA,NA,NA,NA,NA
63312,24789,1055,NA,NA,NA,NA,NA
87899,56522,9193,NA,NA,NA,NA,NA
87900,56522,9427,NA,NA,NA,NA,NA
87901,56522,8598,NA,NA,NA,NA,NA
87902,56522,9593,NA,NA,NA,NA,NA
68614,27511,2233,NA,NA,NA,NA,NA
68615,27511,66,NA,NA,NA,NA,NA
68616,27511,763,NA,NA,NA,NA,NA
68617,27511,2231,NA,NA,NA,NA,NA
74334,40260,259,NA,NA,NA,NA,NA
63361,24827,512,NA,NA,NA,NA,NA
63362,24827,212,NA,NA,NA,NA,NA
63363,24827,988,NA,NA,NA,NA,NA
63364,24827,134,NA,NA,NA,NA,NA
63365,24841,248,NA,NA,NA,NA,NA
63366,24841,121,NA,NA,NA,NA,NA
63367,24841,258,NA,NA,NA,NA,NA
63368,24841,212,NA,NA,NA,NA,NA
63369,24845,248,NA,NA,NA,NA,NA
63370,24845,121,NA,NA,NA,NA,NA
63371,24845,258,NA,NA,NA,NA,NA
63372,24845,212,NA,NA,NA,NA,NA
63373,24851,134,NA,NA,NA,NA,NA
63374,24853,128,NA,NA,NA,NA,NA
63377,24859,122,NA,NA,NA,NA,NA
63378,24859,1219,NA,NA,NA,NA,NA
63379,24859,244,NA,NA,NA,NA,NA
63380,24863,104,NA,NA,NA,NA,NA
63382,24873,914,NA,NA,NA,NA,NA
63383,24874,1248,NA,NA,NA,NA,NA
63384,24874,100,NA,NA,NA,NA,NA
63385,24874,809,NA,NA,NA,NA,NA
63386,24874,93,NA,NA,NA,NA,NA
63387,24874,505,NA,NA,NA,NA,NA
63388,24874,1277,NA,NA,NA,NA,NA
74741,41746,29,NA,NA,NA,NA,NA
74918,41867,122,NA,NA,NA,NA,NA
56838,7487,186,NA,NA,NA,NA,NA
56839,7487,1266,NA,NA,NA,NA,NA
