id,numero_articulo,sentencia_id
364,29,95
365,93,95
366,150,95
367,13,96
368,25,96
369,40,96
370,150,97
371,8888,98
372,1,99
373,2,99
374,4,99
375,5,99
376,6,99
377,22,99
378,25,99
379,39,99
380,53,99
381,54,99
382,150,100
383,150,101
384,150,102
385,8888,103
386,8888,104
387,8888,105
388,8888,105
389,8888,105
390,8888,105
391,8888,105
392,8888,105
393,8888,105
394,8888,105
395,8888,105
396,8888,105
397,8888,106
398,8888,106
399,8888,106
400,8888,106
401,8888,106
402,8888,106
403,8888,106
404,8888,106
405,8888,106
406,8888,106
407,8888,107
408,8888,108
409,8888,109
410,150,110
411,113,110
412,189,110
413,33,111
414,28,111
415,29,111
416,2,112
417,3,112
418,4,112
419,5,112
420,13,112
421,16,112
422,23,112
423,25,112
424,26,112
425,29,112
426,341,113
427,379,113
428,13,114
429,11,114
430,29,114
431,38,114
432,39,114
433,53,114
434,102,114
435,103,114
436,14,114
437,42,115
438,29,115
439,125,115
440,44,115
441,174,115
442,53,115
443,8888,116
444,8888,116
445,8888,116
446,8888,116
447,8888,116
448,8888,116
449,8888,116
450,8888,116
451,8888,116
452,8888,116
453,13,117
454,95,117
455,363,117
456,230,118
457,242,119
458,55,120
459,150,120
460,53,121
461,4,121
462,15,122
463,25,122
464,93,123
465,95,123
466,100,123
467,363,123
468,1,124
469,29,124
470,150,125
471,287,125
472,294,125
473,298,125
474,300,125
475,336,125
476,339,125
477,241,126
478,40,127
479,6,128
480,113,128
481,114,128
482,121,128
483,150,128
484,150,129
485,158,129
486,150,130
487,8888,131
488,93,132
489,235,132
490,272,133
491,16,133
492,338,134
493,150,134
494,113,134
495,114,134
496,241,135
497,150,135
498,29,136
499,113,136
500,116,136
501,228,136
502,234,136
503,257,136
504,3,136
505,13,136
506,28,136
507,33,136
508,196,137
509,136,137
510,189,137
511,278,138
512,8888,139
513,8888,139
514,8888,139
515,8888,139
516,8888,139
517,8888,139
518,8888,139
519,8888,139
520,8888,139
521,8888,139
522,150,140
523,189,140
524,213,140
525,150,141
526,5,142
527,25,142
528,86,142
529,2,143
530,4,143
531,13,143
532,23,143
533,25,143
534,28,143
535,29,143
536,230,143
537,150,144
538,154,144
539,158,144
540,53,144
541,161,145
542,150,145
543,242,146
544,5,146
545,8888,147
546,359,148
547,8888,149
548,8888,149
549,8888,149
550,8888,149
551,8888,149
552,8888,149
553,8888,149
554,8888,149
555,8888,149
556,8888,149
557,8888,150
558,8888,150
559,8888,150
560,8888,150
561,8888,150
562,8888,150
563,4,151
564,28,151
565,29,151
566,34,151
567,10,152
568,20,152
569,40,152
570,50,152
571,25,152
572,26,152
573,38,152
574,133,152
575,333,152
576,334,152
577,158,153
578,4,154
579,13,154
580,29,154
581,150,155
582,150,156
583,8888,157
584,241,157
585,150,158
586,158,158
587,8888,159
588,8888,160
589,8888,160
590,8888,160
591,8888,160
592,8888,160
593,8888,160
594,8888,160
595,8888,160
596,8888,160
597,8888,160
598,4,161
599,9,161
600,29,161
601,35,161
602,85,161
603,89,161
604,93,161
605,121,161
606,122,161
607,150,161
608,443,162
609,150,163
610,5,164
611,58,165
612,63,165
613,82,165
614,101,165
615,4,166
616,95,166
617,230,166
618,241,166
619,229,167
620,13,167
621,5,167
622,2,167
623,116,168
624,123,168
625,150,169
626,189,169
627,241,169
628,4,170
629,6,170
630,150,170
631,189,170
632,338,170
633,29,171
634,31,171
635,34,171
636,58,171
637,83,171
638,228,171
639,8888,172
640,8888,172
641,8888,172
642,8888,172
643,8888,172
644,8888,172
645,8888,172
646,8888,172
647,8888,172
648,8888,172
649,242,173
650,136,173
651,150,174
652,254,175
653,256,175
654,257,175
655,150,176
656,150,177
657,150,178
658,8888,179
659,8888,180
660,8888,181
661,8888,182
662,8888,182
663,8888,182
664,8888,182
665,8888,182
666,8888,182
667,8888,182
668,8888,182
669,8888,182
670,8888,182
671,8888,183
672,8888,183
673,8888,183
674,8888,183
675,8888,183
676,8888,183
677,8888,183
678,8888,183
679,8888,183
680,8888,183
681,93,184
682,5,185
683,13,185
684,29,185
685,30,185
686,28,185
687,13,186
688,29,186
689,34,186
690,8888,187
691,8888,188
692,131,189
693,363,189
694,114,189
695,150,189
696,157,189
697,161,189
698,338,189
699,8888,190
700,158,191
701,150,191
702,211,191
703,287,191
704,288,191
705,339,191
706,340,191
707,341,191
708,342,191
709,346,191
710,16,192
711,42,192
712,2,193
713,13,193
714,31,193
715,85,193
716,93,193
717,131,194
718,363,194
719,34,195
720,58,195
721,25,196
722,28,196
723,29,196
724,83,196
725,248,196
726,338,196
727,8888,197
728,8888,198
729,1,199
730,2,199
731,6,199
732,13,199
733,29,199
734,31,199
735,83,199
736,228,199
737,268,200
738,130,200
739,158,200
740,29,201
741,74,201
742,13,201
743,228,201
744,1,202
745,2,202
746,4,202
747,5,202
748,28,202
749,29,202
750,34,202
751,83,202
752,8888,203
753,8888,204
754,8888,204
755,8888,204
756,8888,204
757,8888,204
758,8888,204
759,8888,204
760,8888,204
761,8888,204
762,8888,204
763,13,205
764,29,205
765,150,206
766,150,207
767,141,208
768,205,208
769,114,208
770,173,208
771,149,208
772,1,208
773,113,208
774,29,209
775,127,210
776,150,211
777,371,211
778,371,211
779,13,212
780,113,212
781,230,212
782,8888,213
783,8888,214
784,338,215
785,26,216
786,61,216
787,74,216
788,58,217
789,25,217
790,16,217
791,64,217
792,95,217
793,363,217
794,209,217
795,34,217
796,228,218
797,189,219
798,380,220
799,59,220
800,150,220
801,230,220
802,228,220
803,2,221
804,13,221
805,40,221
806,1,222
807,2,222
808,3,222
809,20,222
810,8888,223
811,334,224
812,359,224
813,345,225
814,346,225
815,349,225
816,352,225
817,354,225
818,314,226
819,315,226
820,322,226
821,323,226
822,14,227
823,150,228
824,15,229
825,73,229
826,267,229
827,273,229
828,371,229
829,372,229
830,13,230
831,24,230
832,25,230
833,40,230
834,4,231
835,5,231
836,86,231
837,241,231
838,374,231
839,375,231
840,376,231
841,378,231
842,261,232
843,345,233
844,113,234
845,117,234
846,119,234
847,267,234
848,268,234
849,269,234
850,272,234
851,274,234
852,13,235
853,1,236
854,2,236
855,5,236
856,7,236
857,13,236
858,33,236
859,40,236
860,48,236
861,53,236
862,126,236
863,25,237
864,26,237
865,29,237
866,136,238
867,150,238
868,285,238
869,286,238
870,322,238
871,2,239
872,11,239
873,13,239
874,4,240
875,25,240
876,53,240
877,113,240
878,150,240
879,189,240
880,228,240
881,29,241
882,58,241
883,158,241
884,2,242
885,58,242
886,294,242
887,317,242
888,399,243
889,150,244
890,151,244
891,339,244
892,341,244
893,342,244
894,345,244
895,346,244
896,349,244
897,359,244
898,363,245
899,1,246
900,87,246
901,2,246
902,3,246
903,4,246
