id,created_at,updated_at,nombre
137,2011-03-18 21:18:09.827788,2011-03-18 21:18:09.827829,"Director Departamento Administrativo de la Función Pública, Mauricio Zuluaga Ruiz"
138,2011-03-24 22:13:40.169911,2011-03-24 22:13:40.169956,"Ministra de Comunicaciones, María del Rosario Sintes Ulloa"
139,2011-04-05 21:26:21.729694,2011-04-05 21:26:21.729755,"Ministro de Desarrollo Económico, Augusto Ramírez Ocampo"
140,2011-04-06 14:31:48.245328,2011-04-06 14:31:48.245391,"Ministro de Tecnologías de la Información, Diego Ernesto Molano Vega"
65,2010-09-01 22:11:15.978106,2011-04-06 14:50:20.587297,"Ministra de Cultura, Mariana Garcés Córdoba"
141,2011-04-18 20:44:21.575516,2011-04-18 20:44:21.575577,"Ministro de Trabajo y Seguridad Social, Angelino Garzón"
149,2011-05-30 19:44:23.528954,2011-05-30 19:44:23.529014,"Ministro de Transporte, (e) Federmán Quiroga Ríos"
150,2011-06-01 19:33:15.099795,2011-06-01 19:33:15.099860,"Ministra de Comunicaciones, Angela Montoya Holguín"
151,2011-06-02 21:22:58.337793,2011-06-02 21:22:58.337837,"Ministra de Cultura, Araceli Morales López"
152,2011-06-02 21:51:47.742805,2011-06-02 21:51:47.742855,"Viceministro de Hacienda, Federico Renjifo Vélez"
123,2011-02-15 18:28:50.114160,2011-06-07 20:39:48.824705,"Ministro de Medio Ambiente, Juan Mayr Maldonado"
153,2011-06-07 21:07:37.155163,2011-06-07 21:07:37.155208,"Ministra de Salud, Sara Ordónez Noriega"
154,2011-06-07 21:10:20.034877,2011-06-07 21:10:20.034949,"Ministro de Minas y Energía, Carlos Caballero Argáez"
157,2011-08-19 20:11:07.093268,2011-08-19 20:11:07.093313,"Ministro del Interior, Germán Vargas Lleras"
158,2011-08-25 14:51:09.375376,2011-08-25 14:51:09.375418,"Registrador Nacional del Estado Civil, Iván Duque Escobar"
159,2011-08-25 21:30:40.041753,2011-08-25 21:30:40.041807,"Ministro de Hacienda y Crédito Público, Roberto Junguito Bonett"
160,2011-09-08 21:16:40.877690,2011-09-08 21:16:40.877725,"Ministra de Comunicaciones, Martha Elena Pinto de De Hart"
161,2011-09-09 19:09:23.192505,2011-09-09 19:09:23.192545,"Presidente de la Corte Suprema de Justicia,  Francisco Escobar Henríquez"
162,2011-09-09 19:28:10.507819,2011-09-09 19:28:10.507875,"Ministro de Defensa Nacional, Gilberto Echeverry Mejía"
163,2011-09-12 15:12:14.780984,2011-09-12 15:12:14.781042,"Ministra de Educación Nacional, María Fernanda Campo Saavedra"
164,2011-09-12 17:09:24.346795,2011-09-12 17:09:24.346846,"Ministro de Transporte, Germán Cardona"
165,2011-09-12 18:41:53.429667,2011-09-12 18:41:53.429719,"Presidente Consejo Nacional Electoral, Guillermo Francisco Reyes González"
166,2011-09-12 22:06:31.035357,2011-09-12 22:06:31.035402,"Presidente Consejo Superior de la Judicatura, Carlos Enrique Marín Vélez"
167,2011-09-12 22:20:10.898059,2011-09-12 22:20:10.898100,"Director Departamento Administrativo de la Función Pública, Fernando Grillo Rubiano"
