id,numero_expediente,sentencia_id
674,D811,584
675,OP 006,585
676,D804,586
677,D816,587
678,D822,588
679,D781,589
680,D805,589
681,D807,589
682,D-742,590
683,D-755,590
684,D-777,590
685,D828,591
686,D832,592
687,D894,593
688,D899,593
689,D901,593
690,LAT046,594
691,D847,595
692,D835,596
693,D756,597
694,D761,598
695,D794,599
696,D740,600
697,OP-005,601
698,D715,602
699,D800,603
700,LAT038,604
701,D840,605
702,D865,606
703,D838,607
704,D856,608
705,LAT045,609
706,LAT042,610
707,D803,611
708,D-815,612
709,OP007,613
710,LAT043,614
711,D784,615
712,D795,616
713,D821,617
714,D854,618
715,D855,618
716,D862,619
717,D874,620
718,D818,621
719,D807,622
720,D-880,623
721,D869,624
722,D872,625
723,D867,626
724,D829,627
725,D892,628
726,D877,629
727,D849,630
728,D889,631
729,D883,632
730,D841,633
731,D-834,634
732,D864,635
733,RE065,636
734,OP007,637
735,D824,638
736,D842,638
737,D825,639
738,D814,640
739,D868,641
740,D873,642
741,D907,643
742,D913,644
743,D-905,645
744,D912,646
745,D916,647
746,D924,648
747,RE066,649
748,D878,650
749,D925,651
750,D884,652
751,D906,653
752,D917,654
753,RE067,655
754,D-933,656
755,D921,657
756,D839,658
757,D929,659
758,D831,660
759,D843,661
760,RE068,662
761,RE069,663
762,D902,664
763,D857,665
764,D953,666
765,D-920,667
766,D942,668
767,D827,669
768,RE070,670
769,RE071,671
770,D950,672
771,D951,673
772,D955,674
773,D813,675
774,D943,676
775,D945,677
776,D-946,678
777,RE073,679
778,D875,680
779,D952,681
780,D954,682
781,D957,683
782,D948,684
783,D823,685
784,D850,686
785,D938,687
786,D830,688
787,D-958,689
788,RE072,690
789,D879,691
790,D888,692
791,D961,693
792,D966,694
793,D976,695
794,D939,696
795,D962,697
796,D970,698
797,D937,699
798,D-971,700
799,D967,701
800,D953,702
801,D971,703
802,D908,704
803,D837,705
804,LAT004,706
805,D845,707
806,D863,708
807,D896,709
808,D983,710
809,D-977,711
810,D979,712
811,D968,713
812,D991,714
813,D984,715
814,D985,716
815,D836,717
816,D876,718
817,D987,719
818,D993,720
819,D999,721
820,D-1003,722
821,D1008,723
822,D909,724
823,RE074,725
824,D990,726
825,D1000,726
826,D1001,727
827,D1009,728
828,D1011,729
829,D1012,730
830,PE008,731
831,D980,732
832,D981,732
833,D982,732
834,D986,732
835,RE-076,733
836,D1018,734
837,D1028,735
838,D1015,736
839,D1019,737
840,D1029,737
841,D1002,738
842,D1004,738
843,D1005,738
844,D1006,738
845,D1017,739
846,D1020,740
847,D1031,741
848,D1032,742
849,D1039,743
850,D-1037,744
851,D808,745
852,RE075,746
853,D1034,747
854,D963,748
855,D1021,749
856,D1052,750
857,D1044,751
858,D1045,751
859,D1046,751
860,D1049,752
861,D1040,753
862,D1051,754
863,D-1054,755
864,D1155,756
865,D1157,756
866,D1056,757
867,D1030,758
868,RE077,759
869,D1026,760
870,D1027,760
871,D848,761
872,D900,762
873,D903,763
874,D910,764
875,D911,765
876,D-914,766
877,D918,767
878,D922,768
879,D937,769
880,OP008,770
881,LAT048,771
882,LAT050,772
883,D926,773
884,D927,774
885,D931,775
886,D934,776
887,D-936,777
888,D1065,778
889,D1068,779
890,D1069,780
891,D1071,781
892,D1072,782
893,D1075,783
894,D1073,784
895,D1070,785
896,D1077,786
897,D1078,787
898,D-1081,788
899,RE078,789
900,RE079,790
901,LAT052,791
902,D1025,792
903,D1080,793
904,D1089,794
905,LAT051,795
906,RE080,796
907,D989,797
908,D1022,798
909,D-1097,799
910,LAT054,800
911,D1024,801
912,D1047,802
913,D1096,803
914,D1043,804
915,D1102,805
916,D974,806
917,LAT049,807
918,LAT053,808
919,D1042,809
920,D-1090,810
921,D1101,811
922,D1095,812
923,D1104,813
924,D1106,814
925,D1107,814
926,LAT059,815
927,LAT065,816
928,D1122,817
929,D1114,818
930,D1125,819
931,D1053,820
932,D-1063,821
933,D1221,822
934,D1126,823
935,D1110,824
936,D1121,825
937,D1136,826
938,D1146,827
939,D1160,828
940,D1058,829
941,D1144,830
942,D1275,831
943,D-1064,832
944,D1079,833
945,D1083,834
946,D1086,835
947,D1118,836
948,LAT047,837
949,LAT055,838
950,LAT066,839
951,LAT051,839
952,LAT068,840
953,D1059,841
954,D1139,842
955,D-1048,843
956,D1062,844
957,D1087,845
958,D1147,846
959,D1162,847
960,D1163,848
961,D002,849
962,D204,849
963,D817,849
964,D1067,850
965,D1076,850
966,LAT056,851
967,D1091,852
968,D1167,853
969,D-1116,854
970,OP009,855
971,RE081,856
972,D1084,857
973,D1093,858
974,D1094,858
975,D1099,859
976,D1103,860
977,D1158,861
978,D1129,862
979,D1098,863
980,D1112,864
981,D1113,864
982,D-1123,865
983,D1253,866
984,D1132,867
985,D1138,868
986,RE082,869
987,LAT057,870
988,LAT 060,871
989,D1111,872
990,D1117,873
991,D1120,874
992,D1127,875
993,D-1130,876
994,D1149,877
995,D1237,878
996,D1178,879
997,D1135,880
998,D1194,881
999,D1184,882
1000,RE083,883
1001,LAT062,884
1002,LAT071,885
1003,OP010,886
1004,D-1172,887
1005,D-1175,887
1006,D1176,888
1007,D1180,889
1008,D1179,890
1009,D1151,891
1010,D1263,892
1011,D1246,893
1012,D1208,894
1013,D1256,895
1014,D1198,896
1015,LAT070,897
1016,LAT-058,898
1017,LAT061,899
1018,LAT063,900
1019,LAT067,901
1020,LAT069,902
1021,LAT072,903
1022,D1188,904
1023,D1119,905
1024,D1131,906
1025,D1137,907
1026,D1145,908
1027,D-1148,909
1028,D1165,910
1029,D1190,911
1030,D1191,912
1031,D1201,913
1032,D1224,914
1033,D1225,915
1034,LAT064,916
1035,D1197,917
1036,D1203,918
1037,D1204,918
1038,D1205,918
1039,D1218,918
