id,nombre_id,intervencion,concepto,sentencia_id
134,8,99,99,10
135,9,99,99,10
136,10,99,99,10
137,11,99,99,10
138,12,99,99,10
139,13,99,99,10
140,14,99,99,10
141,1,99,99,11
142,2,99,99,11
143,3,99,99,11
144,4,99,99,11
145,5,99,99,11
146,6,99,99,11
147,7,99,99,11
148,8,1,4,11
149,9,1,4,11
150,10,99,99,11
151,11,99,99,11
152,12,99,99,11
153,13,99,99,11
154,14,99,99,11
155,1,99,99,12
156,2,99,99,12
157,3,99,99,12
158,4,99,99,12
159,5,99,99,12
160,6,99,99,12
161,7,99,99,12
162,8,99,99,12
163,9,99,99,12
164,10,99,99,12
165,11,99,99,12
166,12,99,99,12
167,13,99,99,12
168,14,99,99,12
169,1,99,99,13
170,2,99,99,13
171,3,99,99,13
172,4,99,99,13
173,5,99,99,13
174,6,99,99,13
175,7,99,99,13
176,8,99,99,13
177,9,99,99,13
178,10,99,99,13
179,11,99,99,13
180,12,99,99,13
181,13,99,99,13
182,14,99,99,13
183,1,99,99,14
184,2,99,99,14
185,3,99,99,14
186,4,99,99,14
187,5,99,99,14
188,6,99,99,14
189,7,99,99,14
190,8,99,99,14
191,9,99,99,14
192,10,99,99,14
193,11,99,99,14
194,12,99,99,14
195,13,99,99,14
196,14,99,99,14
197,1,99,99,15
198,2,99,99,15
199,3,99,99,15
200,4,99,99,15
201,5,99,99,15
202,6,99,99,15
203,7,99,99,15
204,8,99,99,15
205,9,99,99,15
206,10,99,99,15
207,11,99,99,15
208,12,99,99,15
209,13,99,99,15
210,14,99,99,15
211,1,99,99,16
212,2,99,99,16
213,3,99,99,16
214,4,99,99,16
215,5,99,99,16
216,6,99,99,16
217,7,99,99,16
218,8,99,99,16
219,9,99,99,16
220,10,99,99,16
221,11,99,99,16
222,12,99,99,16
223,13,99,99,16
224,14,99,99,16
225,1,99,99,17
226,2,99,99,17
227,3,99,99,17
228,4,99,99,17
229,5,99,99,17
230,6,99,99,17
231,7,99,99,17
232,8,99,99,17
233,9,99,99,17
234,10,99,99,17
235,11,99,99,17
236,12,99,99,17
237,13,99,99,17
238,14,99,99,17
239,1,99,99,18
240,2,99,99,18
241,3,99,99,18
242,4,99,99,18
243,5,99,99,18
244,6,99,99,18
245,7,99,99,18
246,8,99,99,18
247,9,99,99,18
248,10,99,99,18
249,11,99,99,18
250,12,99,99,18
251,13,99,99,18
252,14,99,99,18
253,1,1,1,19
254,2,99,99,19
255,3,99,99,19
256,4,99,99,19
257,5,99,99,19
258,6,99,99,19
259,7,99,99,19
260,8,99,99,19
261,9,99,99,19
262,10,99,99,19
263,11,99,99,19
264,12,99,99,19
265,13,99,99,19
266,14,99,99,19
267,1,99,99,20
268,2,99,99,20
269,3,99,99,20
270,4,99,99,20
271,5,99,99,20
272,6,99,99,20
273,7,99,99,20
274,8,99,99,20
275,9,99,99,20
276,10,99,99,20
277,11,99,99,20
278,12,99,99,20
279,13,99,99,20
280,14,99,99,20
281,1,99,99,21
282,2,99,99,21
283,3,99,99,21
284,4,99,99,21
285,5,99,99,21
286,6,99,99,21
287,7,99,99,21
288,8,99,99,21
289,9,99,99,21
290,10,99,99,21
291,11,99,99,21
292,12,99,99,21
293,13,99,99,21
294,14,99,99,21
295,1,99,99,22
296,2,99,99,22
297,3,99,99,22
298,4,99,99,22
299,5,99,99,22
300,6,99,99,22
301,7,99,99,22
302,8,99,99,22
303,9,99,99,22
304,10,99,99,22
305,11,99,99,22
306,12,99,99,22
307,13,99,99,22
308,14,99,99,22
309,1,99,99,23
310,2,99,99,23
311,3,99,99,23
312,4,99,99,23
313,5,99,99,23
314,6,99,99,23
315,7,99,99,23
316,8,99,99,23
317,9,99,99,23
318,10,99,99,23
319,11,99,99,23
320,12,99,99,23
321,13,99,99,23
322,14,99,99,23
323,1,99,99,24
324,2,99,99,24
325,3,99,99,24
326,4,99,99,24
327,5,99,99,24
328,6,99,99,24
329,7,99,99,24
330,8,99,99,24
331,9,99,99,24
332,10,99,99,24
333,11,99,99,24
334,12,99,99,24
335,13,99,99,24
336,14,99,99,24
337,1,99,99,25
338,2,99,99,25
339,3,99,99,25
340,4,99,99,25
341,5,99,99,25
342,6,99,99,25
343,7,99,99,25
344,8,99,99,25
345,9,99,99,25
346,10,99,99,25
347,11,99,99,25
348,12,99,99,25
349,13,99,99,25
350,14,99,99,25
351,1,99,99,26
352,2,99,99,26
353,3,99,99,26
354,4,99,99,26
355,5,99,99,26
356,6,99,99,26
357,7,99,99,26
358,8,1,4,26
359,9,99,99,26
360,10,99,99,26
361,11,99,99,26
362,12,99,99,26
363,13,99,99,26
364,14,99,99,26
365,1,99,99,27
366,2,99,99,27
367,3,99,99,27
368,4,99,99,27
369,5,99,99,27
370,6,99,99,27
371,7,99,99,27
372,8,99,99,27
373,9,99,99,27
374,10,99,99,27
375,11,99,99,27
376,12,99,99,27
377,13,99,99,27
378,14,99,99,27
379,1,99,99,28
380,2,99,99,28
381,3,99,99,28
382,4,99,99,28
383,5,99,99,28
384,6,99,99,28
385,7,99,99,28
386,8,99,99,28
387,9,99,99,28
388,10,99,99,28
389,11,99,99,28
390,12,99,99,28
391,13,99,99,28
392,14,99,99,28
393,1,99,99,29
394,2,99,99,29
395,3,99,99,29
396,4,99,99,29
397,5,99,99,29
398,6,99,99,29
399,7,99,99,29
400,8,99,99,29
401,9,99,99,29
402,10,99,99,29
403,11,99,99,29
404,12,99,99,29
405,13,99,99,29
406,14,99,99,29
407,1,99,99,30
408,2,99,99,30
409,3,99,99,30
410,4,99,99,30
411,5,99,99,30
412,6,99,99,30
413,7,99,99,30
414,8,99,99,30
415,9,99,99,30
416,10,99,99,30
417,11,99,99,30
418,12,99,99,30
419,13,99,99,30
420,14,99,99,30
421,1,99,99,31
422,2,99,99,31
423,3,99,99,31
424,4,99,99,31
425,5,99,99,31
426,6,99,99,31
427,7,99,99,31
428,8,99,99,31
429,9,99,99,31
430,10,99,99,31
431,11,99,99,31
432,12,99,99,31
433,13,99,99,31
434,14,99,99,31
435,1,99,99,32
436,2,99,99,32
437,3,99,99,32
438,4,99,99,32
439,5,99,99,32
440,6,99,99,32
441,7,99,99,32
442,8,99,99,32
443,9,99,99,32
444,10,99,99,32
445,11,99,99,32
446,12,99,99,32
447,13,99,99,32
448,14,99,99,32
449,1,99,99,33
450,2,99,99,33
451,3,99,99,33
452,4,99,99,33
453,5,99,99,33
454,6,99,99,33
455,7,99,99,33
456,8,99,99,33
457,9,99,99,33
458,10,99,99,33
459,11,99,99,33
