id,control_politico_id,persona_id
59935,7313,194
59936,7313,112
59937,7313,939
59938,7313,781
59939,7313,1200
59940,7313,209
59941,7313,180
62381,181,28
62382,181,38
62383,181,862
60605,19735,1234
60606,19735,519
60607,19735,874
60608,19735,93
62823,24170,155
60936,20449,9
62824,24170,543
62827,24195,242
62828,24195,318
62829,24195,142
62830,24204,1187
62831,24204,1181
62832,24204,142
62834,24181,104
62845,24219,680
62846,24219,1257
62847,24219,77
62848,24219,85
62849,24219,24
62850,24219,95
62853,24220,680
62854,24220,77
62861,24221,680
62862,24221,1257
62863,24221,77
62864,24221,85
62865,24221,24
62866,24221,95
62867,24229,2600
62868,24229,1257
62869,24229,77
62870,24229,24
62871,24229,59
62872,24229,95
62875,24234,77
62877,24240,1257
62879,24245,75
62881,24254,505
62882,24255,61
62883,24255,46
62892,24263,9
62893,24263,18
62894,24263,3
62895,24263,58
62896,24264,668
62897,24265,9
62898,24265,74
62899,24265,98
62900,24266,9
62901,24266,74
62902,24266,98
62903,24267,9
62904,24267,74
62905,24267,98
62906,24268,9
62907,24268,74
62908,24268,98
62912,24269,9
62913,24269,74
62914,24269,98
62915,24280,9
62916,24230,155
62917,24283,97
62918,24283,50
62919,24283,1277
62920,24283,906
62921,24283,39
62922,24284,97
62923,24284,50
62924,24284,1277
62925,24284,906
62926,24284,39
62927,24285,39
62928,24286,50
62929,24287,50
62930,24293,93
62931,18303,2246
62932,18303,2523
62933,18303,1894
62934,18303,2502
62935,18303,1992
62936,18303,206
62937,18303,978
62938,18303,1694
62939,18303,1561
62940,18303,2491
62941,18303,2812
62942,18303,862
62943,18308,2083
62944,18308,2491
62945,18308,2517
62947,19523,2506
62948,19523,2442
62949,19553,59
62950,19553,39
87904,56738,2395
87905,56739,9435
62959,24310,12
62960,24310,93
62961,24311,197
62962,24313,93
62963,24314,197
62972,24341,161
62973,24342,161
62987,24344,161
62988,24344,197
62989,24344,1217
62990,24344,201
62991,24344,398
62992,24344,1264
62993,24344,113
62994,24344,211
62995,24344,213
62996,24344,1178
62227,22846,10
62228,22847,55
68315,22071,2815
68351,21226,39
68437,19813,9
68520,18641,2535
68588,18210,2395
68589,18210,1260
87906,56741,297
62246,22844,3
62247,22844,22
62248,22844,1255
62249,22844,74
62250,22844,75
62251,22844,47
62252,22844,16
62253,22844,49
62254,22844,19
62255,22844,21
62256,22844,86
62257,22844,90
62258,22844,763
62259,22844,1276
62260,22844,53
62261,22844,95
62514,23686,5
62263,180,4
62264,12027,131
62265,12027,244
62266,12027,1219
62267,12027,543
62268,12109,23
62269,12038,163
62270,12038,164
62271,12038,873
62272,12038,178
62273,12038,1295
62274,12038,656
62275,12038,1202
62276,12038,1205
62277,12038,152
62278,12038,1182
62515,23686,519
62516,23686,12
62517,23686,93
62518,23686,91
62283,20466,9
62284,178,3
62285,178,22
62286,178,1255
74748,41722,1971
74749,41722,2491
74750,41722,862
74751,41722,2517
59401,18197,66
59402,18197,4
59403,18197,1803
59404,18197,1805
59405,18197,48
59406,18197,61
59574,9216,11
59575,9216,14
59621,18360,192
59622,18360,194
59623,18360,1214
59624,18360,862
59652,7580,208
59653,7580,121
59654,7580,843
59655,7580,484
59656,7580,175
59942,7323,160
59943,7323,865
59944,7323,1188
59945,7323,165
59946,7323,939
59947,7323,209
59948,7323,180
59949,7323,341
59950,7323,214
59951,7323,1177
59952,7323,252
59953,7323,157
59954,7323,181
74157,39157,656
74344,40318,2233
62287,178,74
62288,178,75
60609,19736,133
60610,19736,1186
60611,19736,1309
60612,19736,927
60844,20290,1280
60845,20290,914
60846,20290,131
60847,20290,117
60937,20464,99
60938,20464,136
60939,20464,107
60940,20464,19
60941,20464,244
60942,20464,62
61171,21138,111
62289,178,47
62290,178,16
62291,178,49
62292,178,19
62293,178,21
62294,178,86
62295,178,90
62296,178,763
62297,178,1276
62298,178,53
62299,178,95
62300,1475,161
62301,1475,198
62302,1475,201
62303,22679,896
62304,22679,643
62305,22679,5
62306,22679,9
62307,22679,906
62308,22679,12
62309,22679,23
62310,22679,25
62311,22679,27
62312,22679,28
62313,22679,285
62314,22679,38
62315,22679,41
62316,22679,811
62317,22679,49
62318,22679,55
62319,22679,75
62320,22679,85
62321,22679,91
62322,22679,93
62323,22679,357
62324,22679,1260
62325,22679,1277
62326,22679,1278
62327,19719,213
62519,23686,285
62520,23686,1278
62521,23687,5
62522,23687,519
62523,23687,12
62524,23687,23
62334,23030,28
62335,23030,38
62336,23030,862
62525,23687,91
62526,23687,285
62527,23687,1278
62531,18955,296
