id,nombre,departamento_id
496,Acevedo,18
497,Dabeiba,3
498,El Paujil,9
499,Cucunubá,15
500,Bojayá,13
501,El Difícil,20
502,Funes,23
503,La Virginia,27
504,Ayapel,14
505,San Pelayo,14
506,La Apartada,14
507,Planadas,31
508,Dolores,31
509,Natagaima,31
510,Pueblo Nuevo,14
511,El Roble,30
512,Morroa,30
513,Aguazul,10
514,Jerico,3
515,Don Matías,3
516,Malaga,29
517,Pisba,7
518,Gigante,18
