id,created_at,updated_at,persona_id,fecha
338,2010-01-17 17:35:01.520949,2010-04-08 21:13:12.222531,1214,1987-10-01
339,2010-01-17 17:35:01.531091,2010-04-08 21:13:12.226200,1214,1985-01-01
340,2010-01-17 17:35:01.547878,2010-04-08 21:13:12.229583,1214,1994-11-01
410,2010-01-17 17:35:02.287340,2010-02-01 20:56:36.630052,1277,1999-09-01
511,2010-02-02 15:09:22.599160,2010-02-02 16:00:02.034675,1402,1992-07-01
512,2010-02-02 15:09:22.600515,2010-02-02 16:00:02.038250,1402,1981-11-15
524,2010-02-03 15:37:38.691359,2010-02-03 15:37:38.691381,102,1982-01-01
525,2010-02-03 15:37:38.692492,2010-02-03 15:37:38.692513,102,1979-01-01
526,2010-02-03 15:37:38.693623,2010-02-03 15:37:38.693677,102,1982-01-01
514,2010-02-02 21:43:12.094106,2010-04-13 21:07:31.912926,122,1991-01-01
679,2010-04-20 17:21:34.427170,2010-04-20 17:21:34.427195,2487,1981-01-01
680,2010-04-20 17:21:34.459694,2010-04-20 17:21:34.459716,2487,1986-01-01
874,2011-03-09 12:47:32.559128,2011-03-09 12:47:32.559171,182,2001-02-01
527,2010-02-03 15:37:38.694664,2010-02-03 15:37:38.694686,102,1985-01-01
528,2010-02-03 15:37:38.695855,2010-02-03 15:37:38.695917,102,1985-01-01
529,2010-02-03 15:37:38.696996,2010-02-03 15:37:38.697017,102,1988-12-31
530,2010-02-03 15:37:38.697876,2010-02-03 15:37:38.697898,102,1990-01-01
427,2010-01-18 20:32:47.054359,2010-01-18 20:32:47.054386,101,NA
296,2010-01-17 17:35:01.096015,2010-01-18 23:28:39.100795,142,1987-03-01
428,2010-01-18 23:28:39.102639,2010-01-18 23:28:39.102660,142,1981-08-01
234,2010-01-17 17:35:00.469210,2010-01-19 13:30:08.016983,77,1992-12-31
429,2010-01-19 16:00:58.490276,2010-01-19 16:00:58.490311,11,NA
430,2010-01-19 16:09:57.725341,2010-01-19 16:09:57.725368,55,1994-08-07
431,2010-01-19 16:09:57.726701,2010-01-19 16:09:57.726722,55,1995-08-08
432,2010-01-19 16:09:57.727580,2010-01-19 16:09:57.727601,55,1997-04-01
480,2010-01-25 20:02:21.198040,2010-01-25 20:02:21.198062,157,1996-01-01
433,2010-01-19 22:05:11.068192,2010-01-19 22:05:11.068216,246,2002-08-09
434,2010-01-19 22:05:11.093017,2010-01-19 22:05:11.093039,246,2009-06-01
435,2010-01-21 19:18:20.857552,2010-05-25 19:29:53.893273,46,1997-01-01
436,2010-01-21 19:18:20.884263,2010-05-25 19:29:53.896752,46,1994-01-01
437,2010-01-21 19:18:20.885184,2010-01-21 19:18:20.885205,46,1993-01-01
396,2010-01-17 17:35:02.138250,2010-01-23 15:43:09.463680,1262,1995-05-04
397,2010-01-17 17:35:02.148360,2010-01-23 15:43:09.467430,1262,1991-02-01
398,2010-01-17 17:35:02.157602,2010-01-23 15:43:09.470881,1262,1994-04-03
386,2010-01-17 17:35:02.035952,2010-01-26 17:11:09.744464,36,1999-12-31
387,2010-01-17 17:35:02.046528,2010-01-27 20:18:05.318462,1255,1989-01-20
388,2010-01-17 17:35:02.056423,2010-01-27 20:18:05.322432,1255,1989-01-07
390,2010-01-17 17:35:02.075393,2010-01-28 19:18:25.370969,29,1999-01-01
391,2010-01-17 17:35:02.085549,2010-05-25 20:12:50.019463,29,1998-01-01
392,2010-01-17 17:35:02.094767,2010-05-25 20:12:50.022951,29,1970-01-01
411,2010-01-17 17:35:02.296817,2010-01-30 16:35:23.126944,255,1995-10-12
412,2010-01-17 17:35:02.306153,2010-01-30 16:35:23.130510,255,1996-12-13
399,2010-01-17 17:35:02.168197,2010-05-06 16:39:14.540731,1276,1979-01-01
413,2010-01-17 17:35:02.316729,2010-01-30 16:35:23.133841,255,1994-05-24
414,2010-01-17 17:35:02.326190,2010-01-30 16:35:23.137169,255,1988-01-01
415,2010-01-17 17:35:02.335674,2010-01-30 16:35:23.140488,255,1988-10-02
540,2010-02-04 16:14:57.797225,2010-02-04 16:14:57.797252,1419,2006-02-01
541,2010-02-04 16:14:57.811339,2010-02-04 16:14:57.811362,1419,2006-03-01
552,2010-02-04 22:35:53.615227,2010-02-04 22:35:53.615250,1349,2003-02-24
438,2010-01-21 19:18:20.886054,2010-01-21 19:18:20.886075,46,1996-01-01
681,2010-04-20 17:21:34.460572,2010-04-20 17:21:34.460594,2487,1990-01-01
440,2010-01-21 21:49:48.516367,2010-01-21 21:49:48.516388,41,1982-07-02
441,2010-01-21 21:49:48.517240,2010-01-21 21:49:48.517262,41,1994-01-01
442,2010-01-21 21:49:48.518108,2010-01-21 21:49:48.518129,41,1986-07-20
443,2010-01-21 21:49:48.518972,2010-01-21 21:49:48.518993,41,1980-02-02
444,2010-01-21 21:49:48.519851,2010-01-21 21:49:48.519994,41,2003-01-01
682,2010-04-20 17:21:34.461398,2010-04-20 17:21:34.461419,2487,1979-03-01
445,2010-01-21 21:49:48.520866,2010-01-21 21:53:45.819255,41,1973-01-25
875,2011-03-09 12:47:32.596223,2011-03-09 12:47:32.596247,182,2002-04-01
448,2010-01-21 21:49:48.523413,2010-01-21 21:53:45.827307,41,1973-02-25
449,2010-01-21 21:49:48.524215,2010-01-21 21:53:45.830752,41,1974-02-25
450,2010-01-21 21:49:48.525212,2010-01-21 21:53:45.834199,41,1987-01-01
683,2010-04-20 21:01:43.350420,2010-04-20 21:01:43.350443,2039,1999-08-01
452,2010-01-21 21:49:48.526822,2010-01-21 21:53:45.841101,41,1977-02-25
453,2010-01-22 04:09:39.458299,2010-01-22 04:09:39.458321,1334,1993-01-20
454,2010-01-22 04:09:39.459378,2010-01-22 04:09:39.459399,1334,2004-02-20
455,2010-01-22 04:09:39.460241,2010-01-22 04:09:39.460263,1334,2008-01-15
456,2010-01-22 17:28:41.582105,2010-01-22 17:28:41.582127,196,1995-02-01
457,2010-01-22 17:28:41.583218,2010-01-22 17:28:41.583241,196,1992-01-01
458,2010-01-22 17:28:41.584081,2010-01-22 17:28:41.584102,196,1990-06-01
459,2010-01-22 17:33:24.547372,2010-01-22 17:33:24.547402,38,1996-06-01
460,2010-01-22 17:33:24.548716,2010-01-22 17:33:24.548737,38,1997-07-01
461,2010-01-22 17:33:24.549620,2010-01-22 17:33:24.549641,38,1998-04-01
462,2010-01-22 17:33:24.550527,2010-01-22 17:33:24.550548,38,1998-08-01
463,2010-01-22 17:33:24.551423,2010-01-22 17:33:24.551444,38,2000-05-01
464,2010-01-22 17:33:24.552299,2010-01-22 17:33:24.552320,38,2001-08-01
465,2010-01-22 17:33:24.553191,2010-01-22 17:33:24.553211,38,2002-03-01
466,2010-01-22 17:33:24.554093,2010-01-22 17:33:24.554113,38,2003-01-01
467,2010-01-22 17:33:24.554968,2010-01-22 17:33:24.554989,38,2004-08-16
876,2011-03-09 12:47:32.597111,2011-03-09 12:47:32.597133,182,2004-02-01
468,2010-01-22 21:05:02.851033,2010-05-21 20:06:24.451172,4,1990-01-01
469,2010-01-22 21:05:02.852438,2010-01-22 21:05:02.852459,4,1983-01-01
471,2010-01-23 05:03:15.074396,2010-01-23 05:03:15.074421,180,1995-01-01
472,2010-01-23 05:03:15.075785,2010-01-23 05:03:15.075805,180,1996-01-01
473,2010-01-25 16:16:29.839234,2010-05-14 16:52:32.655674,58,1983-01-01
476,2010-01-25 19:41:46.536059,2010-01-25 19:41:46.536083,183,1994-01-01
477,2010-01-25 19:41:46.537195,2010-01-25 19:41:46.537217,183,1997-01-01
479,2010-01-25 20:02:21.197183,2010-01-25 20:02:21.197204,157,1992-01-01
98,2010-01-17 17:34:58.987421,2010-02-16 19:05:13.208258,482,1996-01-01
481,2010-01-25 20:02:21.199197,2010-01-25 20:02:21.199219,157,2001-01-01
478,2010-01-25 20:02:21.196056,2010-01-25 20:03:19.995434,157,1982-01-01
482,2010-01-25 20:05:52.091317,2010-01-25 20:05:52.091346,1345,1979-02-02
483,2010-01-25 20:05:52.092452,2010-01-25 20:05:52.092473,1345,1989-09-28
484,2010-01-25 20:05:52.093340,2010-01-25 20:05:52.093361,1345,1988-09-28
485,2010-01-25 20:05:52.094225,2010-01-25 20:05:52.094246,1345,1991-06-01
489,2010-01-26 13:48:26.195587,2010-01-26 13:48:26.195623,1355,NA
490,2010-01-26 13:48:26.196975,2010-01-26 13:48:26.196996,1355,NA
491,2010-01-26 13:48:26.197787,2010-01-26 13:48:26.197807,1355,NA
492,2010-01-26 13:48:26.198605,2010-01-26 13:48:26.198625,1355,NA
493,2010-01-26 13:48:26.199399,2010-01-26 13:48:26.199420,1355,NA
236,2010-01-17 17:35:00.488522,2010-01-26 19:06:08.234836,874,1989-01-01
237,2010-01-17 17:35:00.498040,2010-01-26 19:06:08.238339,874,1986-01-01
494,2010-01-26 19:35:56.786177,2010-01-26 19:35:56.786198,842,1980-02-28
176,2010-01-17 17:34:59.836112,2010-05-14 18:24:39.958851,686,1972-01-01
474,2010-01-25 16:55:30.589627,2010-05-25 20:39:39.703663,61,1997-03-18
475,2010-01-25 16:55:30.590733,2010-05-25 20:39:39.731953,61,1994-08-04
496,2010-01-26 20:37:19.805349,2010-01-26 20:37:19.805372,207,1987-01-01
497,2010-01-26 20:37:19.806337,2010-01-26 20:37:19.806358,207,1992-01-01
498,2010-01-26 21:21:16.463426,2010-09-15 19:08:22.413625,66,1999-08-01
217,2010-01-17 17:35:00.285600,2010-05-25 16:12:49.965019,814,2000-01-01
63,2010-01-17 17:34:58.630303,2010-01-27 19:47:07.894215,391,1975-05-19
64,2010-01-17 17:34:58.636490,2010-01-27 19:47:07.897828,391,2005-07-20
499,2010-01-28 14:32:18.819142,2010-01-28 14:32:18.819182,1332,2004-08-04
500,2010-01-28 14:32:18.820534,2010-01-28 14:32:18.820556,1332,2007-10-15
501,2010-01-28 14:32:18.821372,2010-01-28 14:32:18.821393,1332,2008-08-04
242,2010-01-17 17:35:00.555745,2010-01-29 19:13:03.853825,906,2003-07-01
513,2010-02-02 16:26:36.953747,2010-02-02 16:32:07.528833,282,2001-01-01
