id,entity_content_type_id,count,counted_content_type_id,counted_object_id
56128,98,32,21,2017
48538,98,1,21,1331
58718,98,2,21,134
55936,98,3,21,1804
49759,98,8,21,1330
65740,98,20,21,77
49616,98,7,21,1595
58609,98,20,21,38
58231,98,2,21,2812
69459,98,41,21,3100
69519,98,1,21,1178
69526,98,2,21,112
55900,98,2,21,1805
50085,98,1,21,2432
69385,98,1,21,2608
58143,98,4,21,2819
69425,98,2,21,101
55943,98,14,21,2517
69250,98,5,21,791
48745,98,16,21,2481
69260,98,3,21,2948
69277,98,9,21,2462
65351,98,1,21,1819
49795,98,6,21,1597
58214,98,4,21,2395
69130,98,2,21,2447
55549,98,1,21,2570
48675,98,3,21,2391
58059,98,3,21,1803
48844,98,1,21,2361
52694,98,1,21,2731
48478,98,6,21,1592
55481,98,25,21,2233
65123,98,2,21,180
69070,98,2,21,98
69078,98,2,21,519
48583,98,4,21,1594
68829,98,1,21,27
55239,98,12,21,2039
55340,98,1,21,2606
57722,98,6,21,2506
48505,98,6,21,2564
57627,98,28,21,1912
64978,98,3,21,2247
48829,98,3,21,2565
68939,98,3,21,283
48094,98,3,97,37
48095,98,3,97,38
48096,98,6,97,39
50299,98,5,97,62
50300,98,5,97,63
50301,98,11,97,64
50302,98,3,97,65
50303,98,2,97,66
50304,98,1,97,67
50305,98,1,97,68
52493,67,4,72,137
50306,98,8,97,69
50307,98,5,97,70
50308,98,5,97,71
47875,52,12,50,41
47876,52,650,50,40
47877,52,46,50,1
50309,98,1,97,72
50310,98,1,97,73
47883,52,2070,34,2
47884,52,1855,34,4
47885,52,1680,34,1
68670,98,4,21,896
47887,52,5113,70,1
47888,52,725,70,2
47889,52,64,70,3
47890,52,34,70,4
47891,52,10,70,5
68673,98,3,21,2600
47896,52,60,72,8
47897,52,70,72,124
47898,52,31,72,116
47899,52,420,72,47
50274,52,7,72,137
47900,52,117,72,64
47901,52,59,72,53
47902,52,43,72,119
47903,52,17,72,63
47904,52,121,72,28
47905,52,8,72,94
47906,52,17,72,111
47907,52,17,72,128
47908,52,138,72,41
47909,52,183,72,2
47910,52,76,72,4
47911,52,87,72,95
