id,user_id,provider,is_email_filled,is_profile_modified
124,3090,Twitter,FALSE,FALSE
125,3091,Google,FALSE,FALSE
126,3092,Google,FALSE,FALSE
127,3096,Google,FALSE,FALSE
128,3103,Twitter,TRUE,TRUE
129,3114,Google,FALSE,FALSE
130,3117,Google,FALSE,FALSE
131,3121,Google,TRUE,TRUE
150,3252,Google,TRUE,TRUE
132,3132,Google,FALSE,FALSE
133,3135,Twitter,FALSE,FALSE
134,3139,Twitter,FALSE,FALSE
135,3148,Twitter,TRUE,TRUE
136,3150,Twitter,FALSE,FALSE
151,3292,Twitter,TRUE,TRUE
152,3294,Google,FALSE,FALSE
153,3296,Twitter,FALSE,FALSE
155,3301,Google,FALSE,FALSE
156,3311,Twitter,FALSE,FALSE
157,3323,Twitter,TRUE,TRUE
158,3327,Google,FALSE,FALSE
159,3330,Twitter,FALSE,FALSE
160,3356,Twitter,FALSE,FALSE
161,3363,Google,FALSE,FALSE
162,3364,Google,FALSE,FALSE
163,3395,Google,FALSE,FALSE
164,3409,Twitter,FALSE,FALSE
166,3421,Google,FALSE,FALSE
167,3425,Google,TRUE,TRUE
169,3443,Twitter,FALSE,FALSE
168,3427,Twitter,FALSE,FALSE
170,3448,Google,FALSE,FALSE
297,4628,Google,FALSE,FALSE
298,4633,Google,TRUE,TRUE
333,4938,Twitter,FALSE,FALSE
318,4808,Twitter,FALSE,FALSE
319,4813,Google,FALSE,FALSE
179,3532,Google,FALSE,FALSE
180,3536,Google,FALSE,FALSE
182,3596,Twitter,FALSE,FALSE
189,3674,Google,FALSE,FALSE
190,3676,Google,FALSE,FALSE
320,4814,Twitter,TRUE,TRUE
184,3620,Google,FALSE,FALSE
185,3621,Google,FALSE,FALSE
187,3632,Twitter,FALSE,FALSE
188,3637,Google,FALSE,FALSE
191,3695,Google,TRUE,TRUE
258,4296,Twitter,TRUE,TRUE
192,3702,Google,TRUE,TRUE
334,4956,Google,TRUE,TRUE
193,3704,Google,FALSE,FALSE
194,3726,Google,FALSE,FALSE
195,3730,Google,FALSE,FALSE
259,4304,Twitter,TRUE,TRUE
321,4824,Google,TRUE,TRUE
196,3749,Twitter,FALSE,FALSE
197,3766,Twitter,FALSE,FALSE
199,3790,Twitter,FALSE,FALSE
200,3795,Google,TRUE,TRUE
201,3799,Twitter,FALSE,FALSE
202,3806,Twitter,FALSE,FALSE
203,3808,Twitter,FALSE,FALSE
204,3811,Google,FALSE,FALSE
205,3813,Google,FALSE,FALSE
206,3825,Google,TRUE,TRUE
260,4308,Google,TRUE,TRUE
207,3829,Twitter,FALSE,FALSE
208,3837,Google,TRUE,TRUE
261,4337,Google,TRUE,TRUE
209,3847,Google,FALSE,FALSE
210,3861,Google,FALSE,FALSE
211,3863,Google,TRUE,TRUE
326,4872,Google,TRUE,TRUE
212,3869,Twitter,FALSE,FALSE
213,3894,Google,TRUE,TRUE
262,4338,Google,TRUE,TRUE
214,3895,Twitter,TRUE,TRUE
215,3897,Google,FALSE,FALSE
300,4669,Google,FALSE,FALSE
263,4371,Google,FALSE,FALSE
216,3940,Google,TRUE,TRUE
264,4378,Google,TRUE,TRUE
217,3949,Google,FALSE,FALSE
218,3951,Twitter,FALSE,FALSE
219,3954,Google,FALSE,FALSE
220,3956,Twitter,FALSE,FALSE
221,3957,Twitter,FALSE,FALSE
222,3958,Twitter,TRUE,TRUE
301,4672,Google,TRUE,TRUE
335,4957,Google,FALSE,FALSE
302,4679,Google,FALSE,FALSE
336,4967,Google,FALSE,FALSE
224,3973,Google,FALSE,FALSE
225,3974,Google,FALSE,FALSE
226,3979,Google,FALSE,FALSE
227,3981,Twitter,FALSE,FALSE
228,3987,Google,FALSE,FALSE
229,3998,Twitter,FALSE,FALSE
230,4002,Twitter,TRUE,TRUE
303,4681,Google,TRUE,TRUE
337,4971,Twitter,FALSE,FALSE
231,4003,Google,FALSE,FALSE
232,4010,Google,TRUE,TRUE
304,4686,Twitter,FALSE,FALSE
233,4020,Twitter,FALSE,FALSE
305,4716,Google,TRUE,TRUE
234,4032,Twitter,FALSE,FALSE
235,4037,Twitter,FALSE,FALSE
236,4054,Twitter,TRUE,TRUE
265,4387,Twitter,FALSE,FALSE
237,4061,Google,FALSE,FALSE
238,4063,Twitter,FALSE,FALSE
239,4065,Twitter,FALSE,FALSE
240,4066,Twitter,FALSE,FALSE
241,4067,Twitter,TRUE,TRUE
266,4388,Twitter,FALSE,FALSE
242,4089,Google,FALSE,FALSE
243,4092,Google,FALSE,FALSE
244,4094,Twitter,FALSE,FALSE
245,4101,Twitter,FALSE,FALSE
246,4106,Google,FALSE,FALSE
247,4107,Google,TRUE,TRUE
267,4398,Twitter,FALSE,FALSE
248,4122,Twitter,FALSE,FALSE
249,4127,Twitter,TRUE,TRUE
268,4424,Google,FALSE,FALSE
250,4137,Google,TRUE,TRUE
269,4433,Twitter,FALSE,FALSE
251,4141,Twitter,FALSE,FALSE
252,4197,Google,FALSE,FALSE
253,4205,Google,TRUE,TRUE
270,4435,Twitter,TRUE,TRUE
254,4208,Twitter,FALSE,FALSE
306,4726,Google,TRUE,TRUE
271,4437,Twitter,FALSE,FALSE
272,4444,Twitter,FALSE,FALSE
274,4477,Twitter,TRUE,TRUE
322,4826,Google,FALSE,FALSE
339,4986,Google,FALSE,FALSE
275,4479,Google,FALSE,FALSE
276,4481,Twitter,FALSE,FALSE
278,4489,Twitter,FALSE,FALSE
279,4491,Google,FALSE,FALSE
280,4515,Google,FALSE,FALSE
281,4530,Google,TRUE,TRUE
323,4830,Google,TRUE,TRUE
338,4977,Google,TRUE,TRUE
308,4734,Google,FALSE,FALSE
282,4536,Google,FALSE,FALSE
283,4542,Google,FALSE,FALSE
284,4543,Twitter,FALSE,FALSE
285,4546,Google,FALSE,FALSE
309,4741,Twitter,FALSE,FALSE
286,4560,Twitter,FALSE,FALSE
287,4561,Google,TRUE,TRUE
310,4743,Twitter,FALSE,FALSE
288,4564,Google,FALSE,FALSE
289,4567,Twitter,FALSE,FALSE
290,4570,Google,TRUE,TRUE
311,4753,Google,FALSE,FALSE
291,4572,Twitter,FALSE,FALSE
292,4585,Google,FALSE,FALSE
293,4597,Google,FALSE,FALSE
294,4600,Google,FALSE,FALSE
295,4606,Twitter,TRUE,TRUE
312,4754,Google,FALSE,FALSE
296,4618,Google,TRUE,TRUE
314,4780,Twitter,FALSE,FALSE
315,4786,Google,TRUE,TRUE
340,4989,Google,FALSE,FALSE
316,4788,Twitter,FALSE,FALSE
317,4790,Twitter,FALSE,FALSE
341,4993,Google,FALSE,FALSE
342,4996,Google,FALSE,FALSE
327,4875,Twitter,FALSE,FALSE
328,4880,Google,FALSE,FALSE
198,3787,Twitter,TRUE,TRUE
324,4835,Google,TRUE,TRUE
343,5033,Google,FALSE,FALSE
325,4857,Google,TRUE,TRUE
329,4894,Google,FALSE,FALSE
