persona_id,partido_id,cuatrienio_id
1090,45,883
846,4,2030
775,4,334
741,2,716
1023,4,503
1046,72,849
503,85,1856
1308,5,956
961,4,812
553,4,179
902,38,425
1938,12,NA
1028,2,508
279,5,NA
2030,2,NA
13486,199,NA
13488,199,NA
9434,144,NA
1351,10,NA
1940,12,NA
2070,11,NA
13490,199,NA
14230,176,NA
13487,199,NA
1791,5,NA
9433,144,NA
9432,144,NA
1946,2,NA
1948,6,NA
2034,2,NA
1050,58,853
13496,5,NA
9448,144,NA
1953,2,NA
12873,2,NA
12719,145,NA
732,4,302
1484,10,NA
494,2,609
2338,17,NA
13489,5,NA
2037,146,NA
13500,146,NA
544,54,174
396,4,71
778,2,337
603,59,2001
1099,4,892
699,2,698
421,4,91
642,28,237
959,3,1887
637,2,671
1100,2,893
757,2,321
891,4,417
626,4,225
402,2,2012
752,110,720
316,2,14
976,2,470
1073,2,872
1015,4,497
538,2,629
782,59,340
851,17,385
464,2,595
898,67,422
607,2,215
13501,5,NA
13491,199,NA
13493,199,NA
12718,10,NA
13495,199,NA
13497,199,NA
9511,199,NA
13494,145,NA
12679,2,NA
9439,144,NA
9440,144,NA
1801,3,NA
2038,2,NA
9443,144,NA
1794,5,NA
9441,144,NA
1941,12,NA
1403,10,NA
1744,10,NA
2041,2,NA
1802,3,NA
12681,200,NA
2040,11,NA
12686,200,NA
1437,4,NA
1797,3,NA
2248,5,NA
1568,10,NA
2243,5,NA
12712,145,NA
1793,5,NA
2249,5,NA
12702,3,NA
1939,12,NA
2241,3,1554
2036,4,NA
1954,2,NA
12689,200,NA
12685,4,NA
12687,4,NA
12682,4,NA
12688,3,NA
2232,129,1552
499,2,146
729,4,1980
334,2,28
613,2,219
1096,2,889
762,2,324
711,2,288
515,2,157
12691,145,NA
12694,145,NA
12699,3,NA
12692,3,NA
12697,11,NA
12703,3,NA
12709,146,NA
12713,146,NA
12716,10,NA
1496,10,NA
9447,193,NA
9445,144,NA
9446,144,NA
5274,138,NA
1963,2,NA
2045,2,NA
2046,2,NA
2057,11,NA
1813,3,NA
8269,3,NA
2047,2,NA
1806,12,NA
1808,12,NA
1811,12,NA
8130,6,NA
1822,3,NA
1961,2,NA
1987,2,NA
1490,10,NA
1964,2,NA
2059,11,NA
2058,11,NA
2254,5,NA
9457,144,NA
1965,2,NA
2056,11,NA
1480,10,NA
1816,12,NA
1812,3,NA
2055,11,NA
1815,3,NA
1654,6,NA
1966,2,NA
12721,3,NA
2253,5,NA
1820,3,NA
13503,145,NA
8245,146,NA
1807,3,NA
8254,146,NA
1824,12,NA
2252,5,NA
2062,11,NA
2064,11,NA
9197,145,NA
9461,144,NA
2342,17,NA
1985,2,NA
9468,144,NA
1982,2,NA
1986,2,NA
1809,12,NA
1825,3,NA
9472,144,NA
1828,12,NA
1832,3,NA
1836,12,NA
2063,11,NA
1838,3,NA
1980,2,NA
1363,10,NA
1974,2,NA
1972,2,NA
9471,144,NA
2066,2,NA
1823,3,NA
2065,6,NA
1837,146,NA
1977,2,NA
1978,2,NA
1969,2,NA
1400,10,NA
1990,2,NA
1975,2,NA
1830,12,NA
8260,146,NA
1989,2,NA
1983,2,NA
1834,3,NA
13515,199,NA
13521,199,NA
13504,199,NA
2067,11,NA
13529,199,NA
1829,3,NA
13533,203,NA
12725,3,NA
13506,5,NA
12724,3,NA
1988,2,NA
9474,144,NA
9465,144,NA
8298,146,NA
7070,113,NA
1853,3,NA
867,10,769
645,4,240
8246,5,NA
2081,2,NA
8295,146,NA
13508,199,NA
2077,11,NA
2078,2,NA
9476,144,NA
9248,145,NA
9477,144,NA
1994,2,NA
1995,2,NA
1839,3,NA
1840,12,NA
1841,12,NA
9478,144,NA
2007,11,NA
2001,2,NA
1991,2,NA
8299,5,NA
1999,2,NA
7479,4,NA
2003,11,NA
2002,2,NA
1979,2,NA
1843,12,NA
1375,10,NA
725,4,1136
13516,203,NA
1433,4,NA
1842,3,NA
2090,11,NA
8296,5,NA
1849,12,NA
8307,5,NA
2100,11,NA
1854,3,NA
14232,227,NA
2088,11,NA
1845,12,NA
8301,5,NA
2095,11,NA
8314,5,NA
2004,11,NA
8313,146,NA
8310,5,NA
8306,146,NA
9202,145,NA
12726,3,NA
8312,146,NA
2085,11,NA
1857,3,NA
1996,2,NA
2093,11,NA
8309,146,NA
8308,146,NA
8302,146,NA
2089,11,NA
1851,3,NA
8311,5,NA
8318,146,NA
1798,146,NA
8325,201,NA
2087,11,NA
2277,5,NA
1848,12,NA
2091,11,NA
8300,146,NA
13510,203,NA
13509,146,NA
1846,12,NA
8304,5,NA
8303,5,NA
2010,11,NA
12901,2,NA
2019,11,NA
9510,144,NA
1430,122,NA
1858,3,NA
1859,3,NA
1479,4,NA
2096,11,NA
2098,11,NA
9506,144,NA
1863,3,NA
2016,11,NA
2285,17,NA
2118,4,NA
1411,10,NA
14233,200,NA
2020,11,NA
8322,146,NA
1866,3,NA
1365,10,NA
2014,11,NA
1459,10,NA
1867,145,NA
2099,11,NA
1753,10,NA
2005,11,NA
8323,5,NA
2009,11,NA
8319,146,NA
1391,10,NA
1868,3,NA
2011,122,NA
2013,11,NA
2101,4,NA
8315,146,NA
12864,2,NA
12870,2,NA
1578,10,NA
1875,3,NA
1452,4,NA
9513,144,NA
14234,227,NA
1873,3,NA
9519,144,NA
8316,146,NA
8321,5,NA
1871,3,NA
9517,144,NA
8327,146,NA
9516,144,NA
1747,10,NA
13514,145,NA
1371,10,NA
2115,2,NA
1745,10,NA
8326,146,NA
1872,3,NA
1458,4,NA
1759,10,NA
12875,2,NA
1870,3,NA
2018,11,NA
1877,3,NA
8320,146,NA
2280,17,NA
13513,203,NA
1474,4,NA
2284,17,NA
12869,2,NA
12900,4,NA
1434,4,NA
12872,2,NA
12868,2,NA
13511,199,NA
12879,2,NA
12887,2,NA
1879,3,NA
2122,4,NA
7686,6,NA
1896,12,NA
1885,3,NA
9539,144,NA
2282,146,NA
1891,3,NA
1385,10,NA
1349,10,NA
1886,3,NA
2104,2,NA
2119,4,NA
1874,3,NA
1889,3,NA
9540,144,NA
12894,4,NA
1893,12,NA
12893,4,NA
1881,3,NA
2103,2,NA
2123,4,NA
2106,2,NA
2021,11,NA
1876,3,NA
12881,138,NA
13525,199,NA
12876,2,NA
12878,2,NA
12896,11,NA
12880,2,NA
1903,12,NA
1386,10,NA
1904,12,NA
9541,144,NA
1380,10,NA
1358,10,NA
1897,12,NA
1414,10,NA
1369,10,NA
9542,144,NA
1396,10,NA
9543,144,NA
2208,4,NA
1439,4,NA
1440,4,NA
1366,10,NA
1555,6,NA
1481,4,NA
14235,227,NA
1902,12,NA
1339,10,NA
1361,10,NA
2128,4,NA
1410,10,NA
1346,10,NA
1544,4,NA
1908,12,NA
1394,10,NA
1483,4,NA
1340,10,NA
1450,3,NA
1393,10,NA
12888,2,NA
1905,12,NA
1387,10,NA
12883,2,NA
7507,4,NA
2130,187,NA
13518,203,NA
1395,10,NA
12884,2,NA
12890,11,NA
14251,153,NA
12882,2,NA
12885,2,NA
12889,2,NA
12886,2,NA
13517,146,NA
1441,4,NA
1343,10,NA
1352,10,NA
1909,12,NA
1910,12,NA
1431,11,NA
1547,4,NA
1499,10,NA
1359,10,NA
1390,10,NA
1392,10,NA
1422,11,NA
13520,203,NA
1906,12,NA
1914,12,NA
1445,4,NA
1495,10,NA
1545,4,NA
9286,6,NA
1557,4,NA
1907,12,NA
1517,4,NA
1487,10,NA
1518,10,NA
1536,10,NA
1546,10,NA
1419,122,NA
1509,4,NA
12897,2,NA
1538,4,NA
1543,10,NA
1436,4,NA
1342,10,NA
1367,10,NA
1444,4,NA
1572,10,NA
1336,10,NA
9558,144,NA
1552,10,NA
1338,10,NA
1551,4,NA
1542,5,NA
1606,144,NA
1653,4,NA
1529,4,NA
1911,4,NA
1353,10,NA
13519,199,NA
13522,145,NA
13523,203,NA
9280,6,NA
1576,10,NA
1566,10,NA
9566,144,NA
1530,4,NA
8681,161,NA
1610,4,NA
9559,144,NA
9556,144,NA
1360,10,NA
1563,10,NA
1629,6,NA
1534,4,NA
8682,161,NA
9272,6,NA
1660,4,NA
9316,153,NA
1443,4,NA
1669,6,NA
8856,146,NA
9555,144,NA
1564,10,NA
1504,10,NA
1699,4,NA
1550,4,NA
1717,4,NA
1636,4,NA
1704,6,NA
1641,4,NA
1756,10,NA
1505,10,NA
1528,4,NA
1626,6,NA
1702,199,NA
1915,12,NA
1708,4,NA
1621,4,NA
1541,4,NA
1539,4,NA
1638,4,NA
1575,10,NA
1408,10,NA
1582,10,NA
1651,6,NA
1620,6,NA
9560,144,NA
1562,10,NA
1721,6,NA
1639,4,NA
1574,10,NA
1524,4,NA
1671,11,NA
1715,6,NA
1611,4,NA
1447,4,NA
1614,4,NA
1670,4,NA
1535,4,NA
7685,6,NA
12902,11,NA
1350,10,NA
1644,4,NA
12898,4,NA
1758,10,NA
9306,153,NA
1711,6,NA
1567,10,NA
1657,4,NA
1916,12,NA
1676,4,NA
2217,9,NA
1713,146,NA
1685,4,NA
1917,12,NA
1706,6,NA
7704,2,NA
8858,146,NA
9298,153,NA
9313,153,NA
9291,153,NA
1712,6,NA
9318,153,NA
1755,10,NA
1427,122,NA
1674,4,NA
1696,4,NA
1659,4,NA
14240,200,NA
2216,9,NA
1678,4,NA
1599,4,NA
1918,12,NA
14237,176,NA
14244,177,NA
8240,5,NA
1537,4,NA
9287,6,NA
1661,6,NA
1799,3,NA
1559,144,NA
14238,228,NA
13537,199,NA
14239,228,NA
14236,200,NA
14241,228,NA
14246,11,NA
13524,146,NA
1707,201,NA
14249,229,NA
1580,10,NA
1766,4,NA
2220,9,NA
7708,2,NA
7712,2,NA
1754,10,NA
1761,4,NA
1765,4,NA
7707,2,NA
2218,9,NA
7517,10,NA
2287,6,NA
2304,17,NA
7522,10,NA
8864,146,NA
2308,17,NA
9320,153,NA
2299,17,NA
2229,2,NA
8916,3,NA
7516,10,NA
7515,10,NA
8863,146,NA
2309,17,NA
8894,3,NA
2307,17,NA
7524,2,NA
2295,17,NA
2290,17,NA
1921,12,NA
2298,17,NA
2293,17,NA
1573,10,NA
2222,9,NA
2296,17,NA
7511,10,NA
2303,17,NA
1920,12,NA
2221,9,NA
1417,122,NA
2297,17,NA
2219,9,NA
12895,2,NA
7508,10,NA
8917,3,NA
1722,4,NA
13527,6,NA
2033,4,NA
12910,145,NA
12912,3,NA
1718,5,NA
7510,10,NA
2301,17,NA
9321,153,NA
7509,10,NA
2292,17,NA
9319,153,NA
8904,3,NA
12899,2,NA
8914,3,NA
2294,17,NA
8915,3,NA
8862,146,NA
2318,17,NA
1413,10,NA
7525,2,NA
2332,17,NA
2333,17,NA
2314,17,NA
8919,3,NA
2326,17,NA
2319,17,NA
9324,153,NA
2343,17,NA
8920,3,NA
2321,17,NA
1924,12,NA
1780,5,NA
2306,17,NA
2328,17,NA
2313,17,NA
2315,17,NA
2300,17,NA
1922,12,NA
2340,17,NA
2311,17,NA
1449,4,NA
2323,17,NA
9323,153,NA
2320,17,NA
8471,4,NA
7523,10,NA
2316,17,NA
2302,176,NA
2289,17,NA
2102,2,NA
2310,17,NA
2317,17,NA
2327,17,NA
13528,203,NA
2346,199,NA
2291,226,NA
2324,17,NA
404,102,77
9322,153,NA
2312,17,NA
2269,2,NA
8472,4,NA
8925,3,NA
899,2,423
857,74,390
8470,4,NA
1492,10,NA
7529,2,NA
9326,153,NA
8923,3,NA
7528,146,NA
9325,153,NA
13536,146,NA
7761,2,NA
8926,3,NA
8927,3,NA
2335,17,NA
13532,199,NA
7753,2,NA
4450,2,2000
13534,6,NA
13530,203,NA
2366,2,NA
2053,6,NA
13531,203,NA
9078,4,NA
9038,4,NA
9092,4,NA
13540,6,NA
13535,203,NA
13538,203,NA
13539,145,NA
1494,10,NA
7754,2,NA
9333,153,NA
13541,146,NA
7759,146,NA
1383,10,NA
7745,2,NA
8285,146,NA
7747,2,NA
9327,153,NA
7768,2,NA
8966,3,NA
9010,3,NA
2371,4,NA
2035,4,NA
7750,2,NA
8273,146,NA
7749,2,NA
9012,145,NA
8287,146,NA
8286,5,NA
8931,3,NA
1571,10,NA
7760,2,NA
1389,10,NA
8282,146,NA
7755,145,NA
7746,2,NA
8985,3,NA
9329,153,NA
9011,3,NA
7743,2,NA
7744,2,NA
9328,153,NA
2370,4,NA
9013,3,NA
9332,153,NA
9095,4,NA
9338,153,NA
9143,145,NA
7622,4,NA
9014,3,NA
1556,4,NA
7765,2,NA
8283,146,NA
1477,4,NA
9097,4,NA
7751,2,NA
2032,4,NA
8277,145,NA
8276,146,NA
1502,10,NA
8275,146,NA
1679,3,NA
9331,153,NA
9015,4,NA
13550,11,NA
9086,4,NA
14243,177,NA
7758,2,NA
9335,153,NA
9062,4,NA
9334,153,NA
7770,2,NA
1540,4,NA
7771,2,NA
9336,153,NA
2383,6,NA
7762,2,NA
9054,4,NA
8284,5,NA
1558,4,NA
8289,146,NA
8281,3,NA
13553,145,NA
13542,11,NA
13545,145,NA
12905,145,NA
13543,11,NA
12922,11,NA
13551,146,NA
667,2,255
7766,2,NA
13548,6,NA
13547,11,NA
13549,11,NA
13552,11,NA
13555,146,NA
13556,11,NA
1601,5,NA
12906,145,NA
12909,145,NA
1364,10,NA
13586,146,NA
7786,2,NA
1323,38,959
8161,4,NA
9337,153,NA
9104,2,NA
9105,2,NA
9100,4,NA
9101,4,NA
1405,10,NA
14245,11,NA
12929,5,NA
13567,6,NA
12931,144,NA
2052,11,NA
7781,2,NA
12919,10,NA
9340,153,NA
9341,153,NA
7782,2,NA
9147,145,NA
7784,2,NA
7780,2,NA
9146,145,NA
9119,2,NA
9108,2,NA
9145,145,NA
9144,145,NA
7777,2,NA
9106,2,NA
7778,2,NA
13558,11,NA
9402,144,NA
12926,2,NA
9407,144,NA
9404,144,NA
7776,2,NA
1675,6,NA
12930,2,NA
7774,144,NA
12907,145,NA
12932,5,NA
12908,145,NA
12913,3,NA
12914,3,NA
12916,10,NA
12917,10,NA
12920,10,NA
12924,11,NA
12923,10,NA
12927,5,NA
9343,153,NA
1421,122,NA
13571,11,NA
9344,153,NA
9403,193,NA
9401,144,NA
7791,2,NA
1643,6,NA
9412,144,NA
9410,144,NA
13559,146,NA
2125,4,NA
1418,122,NA
9409,144,NA
13561,6,NA
7789,2,NA
13577,146,NA
9408,144,NA
13564,6,NA
7787,5,NA
1570,10,NA
13565,11,NA
13576,6,NA
13566,11,NA
13562,145,NA
13560,11,NA
13580,6,NA
1821,146,NA
9411,144,NA
7790,2,NA
1478,10,NA
2207,2,NA
7532,6,NA
1783,5,NA
13563,11,NA
9413,144,NA
8512,145,NA
9425,144,NA
13602,6,NA
302,2,1
1079,4,877
13575,6,NA
13591,146,NA
12947,4,NA
923,38,440
13569,11,NA
13578,6,NA
13572,11,NA
13595,6,NA
12944,4,NA
13574,6,NA
12956,4,NA
13620,3,NA
13623,2,NA
13628,2,NA
13250,5,NA
13629,2,NA
13634,2,NA
9423,144,NA
802,27,740
332,2,26
9454,144,NA
376,2,56
9422,144,NA
9429,144,NA
9450,144,NA
9426,144,NA
9436,144,NA
9452,144,NA
9421,144,NA
9453,144,NA
9449,193,NA
9451,144,NA
13581,146,NA
9484,144,NA
13631,2,NA
9479,144,NA
12933,144,NA
1955,2,NA
9419,144,NA
13644,4,NA
987,1,826
13590,146,NA
13637,2,NA
13579,6,NA
13603,6,NA
12950,4,NA
3032,12,NA
9444,144,NA
12934,144,NA
12937,144,NA
12939,199,NA
12952,138,NA
12957,138,NA
13643,4,NA
12958,138,NA
13650,4,NA
13651,4,NA
9467,144,NA
1497,10,NA
9455,144,NA
9485,144,NA
9489,144,NA
9475,144,NA
840,74,377
767,3,1859
315,2,13
9480,144,NA
9487,144,NA
9483,144,NA
9498,144,NA
13582,146,NA
2351,17,NA
13596,3,NA
7800,2,NA
9497,144,NA
13659,138,NA
9496,144,NA
9493,144,NA
1762,11,NA
7796,2,NA
8244,5,NA
9524,144,NA
9490,144,NA
7441,145,NA
9492,144,NA
12936,144,NA
12942,144,NA
13584,199,NA
9456,144,NA
12938,144,NA
12960,138,NA
9491,144,NA
12965,5,NA
12940,199,NA
12943,199,NA
12945,199,NA
12946,199,NA
12948,199,NA
12949,138,NA
9499,144,NA
9500,144,NA
9512,144,NA
9501,144,NA
9523,144,NA
7797,3,NA
7815,146,NA
9527,144,NA
7803,146,NA
9532,144,NA
13597,3,NA
9528,144,NA
9530,144,NA
7808,146,NA
9529,144,NA
7813,3,NA
9525,144,NA
9526,144,NA
1356,10,NA
9520,144,NA
9503,144,NA
7801,6,NA
9502,144,NA
13604,6,NA
14248,229,NA
13583,6,NA
12953,144,NA
12951,138,NA
13646,4,NA
13648,4,NA
13598,6,NA
1056,4,860
7795,3,2385
12966,4,NA
9551,144,NA
12976,4,NA
1462,10,NA
9548,144,NA
9563,144,NA
9565,144,NA
9564,144,NA
9545,144,NA
9536,144,NA
9549,144,NA
14247,229,NA
8750,110,NA
8767,10,NA
1583,10,NA
8753,110,NA
8752,110,NA
12968,4,NA
14250,11,NA
9561,144,NA
12959,5,NA
12955,138,NA
13585,146,NA
9547,144,NA
12972,11,NA
13588,6,NA
456,37,591
672,4,1862
12967,138,NA
12962,5,NA
8693,168,NA
8814,11,NA
12969,11,NA
12975,199,NA
12981,5,NA
12954,4,NA
12973,10,NA
12964,4,NA
12971,4,NA
12974,4,NA
12977,4,NA
12978,5,NA
12979,4,NA
12980,10,NA
1467,10,NA
8763,10,NA
8761,10,NA
8762,10,NA
8755,110,NA
13599,3,NA
8754,110,NA
8766,10,NA
8738,9,NA
8692,167,NA
8664,157,NA
8740,9,NA
8744,9,NA
8739,9,NA
8685,163,NA
8751,110,NA
8741,9,NA
8759,68,NA
8671,136,NA
8748,152,NA
8778,149,NA
8786,149,NA
14252,5,NA
1465,10,NA
8789,147,NA
12998,2,NA
8676,160,NA
8758,68,NA
13011,145,NA
12983,146,NA
7520,6,NA
13587,199,NA
2281,17,NA
8691,237,NA
7810,9,NA
13665,145,NA
13671,145,NA
13640,4,NA
8765,10,NA
13664,138,NA
8790,205,NA
1344,10,NA
8770,10,NA
8773,10,NA
1967,2,NA
13479,5,NA
8780,149,NA
8776,149,NA
8792,186,NA
8771,10,NA
8791,186,NA
7809,4,NA
8783,149,NA
8787,147,NA
8794,187,NA
8774,10,NA
7806,146,NA
13608,6,NA
7805,146,NA
8801,11,NA
7807,3,NA
8807,11,NA
1569,10,NA
3361,2,1954
7811,3,NA
7802,3,NA
12984,146,NA
13601,3,NA
1282,4,1246
8772,10,NA
8799,145,NA
8784,145,NA
13621,3,NA
12985,146,NA
13619,3,NA
7804,199,NA
12993,145,NA
12997,2,NA
8821,146,NA
506,4,151
472,61,599
1553,10,NA
8800,11,NA
13007,4,NA
1749,10,NA
8812,11,NA
8811,11,NA
8809,11,NA
13006,4,NA
13008,4,NA
12986,3,NA
13000,4,NA
13001,4,NA
12988,10,NA
12991,10,NA
13108,145,NA
12987,3,NA
461,53,594
13606,3,NA
13600,145,NA
14253,10,NA
13617,3,NA
12990,145,NA
12992,145,NA
13002,4,NA
13004,4,NA
12995,2,NA
13618,3,NA
13593,6,NA
8813,11,NA
1498,10,NA
8824,146,NA
9420,144,NA
8818,11,NA
8817,11,NA
8823,146,NA
14254,230,NA
8822,146,NA
8819,11,NA
8825,146,NA
8826,146,NA
8847,146,NA
356,74,42
8881,146,NA
8851,146,NA
14257,2,NA
340,4,2028
14255,2,NA
13614,2,NA
8328,146,NA
14256,230,NA
13642,4,NA
13633,2,NA
13613,6,NA
14258,231,NA
13612,6,NA
14259,231,NA
14260,231,NA
14267,232,NA
14268,233,NA
14270,233,NA
14276,165,NA
14278,235,NA
1454,4,NA
8882,146,NA
8852,146,NA
8880,146,NA
8883,146,NA
8841,146,NA
8903,3,NA
8834,146,NA
8845,146,NA
8849,146,NA
8843,146,NA
8224,5,NA
8853,146,NA
8848,146,NA
8907,3,NA
8846,146,NA
8844,146,NA
8850,146,NA
13624,2,NA
7549,146,NA
7812,3,NA
2325,17,NA
1664,4,NA
2129,4,NA
1435,4,NA
8984,3,NA
13607,3,NA
9024,4,NA
13609,145,NA
13622,3,NA
1520,10,NA
1381,10,NA
2589,2,1901
1818,3,NA
1455,10,NA
13605,6,NA
13615,2,NA
1784,145,NA
393,70,69
1514,10,NA
306,4,522
9195,145,NA
9181,145,NA
1931,12,NA
9033,4,NA
1929,12,NA
13682,201,NA
9209,145,NA
1933,12,NA
9175,145,NA
7752,2,NA
13610,3,NA
9347,153,NA
9356,153,NA
9267,6,NA
9233,145,NA
9273,6,NA
9031,4,NA
9032,4,NA
12215,2,2372
501,70,148
872,2,400
1466,10,NA
9285,6,NA
9350,153,NA
9357,153,NA
9348,153,NA
9214,145,NA
9026,4,NA
9027,4,NA
9187,145,NA
837,2,375
13611,144,NA
13675,145,NA
13544,6,NA
9355,153,NA
8658,155,NA
9354,153,NA
8756,110,NA
9470,144,NA
9278,6,NA
9255,145,NA
9438,144,NA
9330,153,NA
8769,10,NA
9349,153,NA
8683,162,NA
9245,145,NA
9351,153,NA
9459,144,NA
8802,11,NA
2054,11,NA
7543,146,NA
3485,4,1961
13681,145,NA
12793,199,NA
8804,11,NA
7709,2,NA
8911,3,NA
8870,146,NA
9269,6,NA
9394,191,NA
7653,6,NA
1153,2,934
1134,2,919
7711,2,NA
7537,2,NA
7710,2,NA
7542,146,NA
13616,3,NA
13009,4,NA
1826,12,NA
9463,144,NA
8797,225,NA
13677,145,NA
8820,146,NA
8859,146,NA
8860,146,NA
7556,11,NA
8861,146,NA
8855,146,NA
8805,11,NA
8867,146,NA
8865,146,NA
8828,146,NA
7559,11,NA
7565,11,NA
7567,11,NA
8806,11,NA
7535,2,NA
7540,146,NA
13010,4,NA
8808,11,NA
7550,146,NA
7553,146,NA
8913,3,NA
7546,146,NA
7547,146,NA
7551,3,NA
8982,3,NA
13645,4,NA
7545,153,NA
14272,234,NA
7564,11,NA
13657,201,NA
8978,3,NA
8974,3,NA
8973,3,NA
13627,2,NA
7548,146,NA
2049,2,1483
9076,4,NA
7552,146,NA
8868,146,NA
8869,146,NA
7555,11,NA
8981,3,NA
8979,3,NA
7557,11,NA
7558,11,NA
8975,3,NA
7560,11,NA
7562,11,NA
7563,11,NA
7566,11,NA
8991,3,NA
9228,145,NA
9226,145,NA
9223,145,NA
9230,145,NA
9025,4,NA
9232,145,NA
8994,3,NA
9229,145,NA
9224,145,NA
8992,3,NA
9222,145,NA
8987,3,NA
8983,3,NA
9161,145,NA
9220,145,NA
9221,145,NA
1370,10,NA
9227,145,NA
7544,146,NA
14542,199,NA
7404,10,NA
7409,10,NA
8362,5,NA
7843,2,NA
8986,3,NA
7536,2,NA
13635,2,NA
8977,4,NA
1378,10,NA
8988,3,NA
9266,247,NA
9237,145,NA
1565,10,NA
9261,145,NA
9262,145,NA
9234,145,NA
9241,145,NA
9265,6,NA
9239,145,NA
9242,145,NA
9235,145,NA
9263,145,NA
9264,145,NA
9236,145,NA
9567,144,NA
9270,6,NA
8995,3,NA
8330,146,NA
13499,199,NA
13632,2,NA
638,4,232
14271,233,NA
14275,165,NA
13636,2,NA
13674,145,NA
13546,146,NA
7399,10,NA
13653,138,NA
13502,199,NA
9268,6,NA
7650,6,NA
8329,146,NA
9568,192,NA
2214,2,1543
491,2,141
424,2,2069
1225,17,1074
9515,144,NA
7661,2,NA
7538,2,NA
8348,146,NA
9397,144,NA
9271,6,NA
9396,191,NA
7651,2,NA
9395,191,NA
8331,146,NA
7660,2,NA
8341,5,NA
8335,146,NA
8345,146,NA
8290,5,NA
8338,146,NA
7748,2,NA
14261,138,NA
14262,138,NA
14265,232,NA
14263,138,NA
14269,138,NA
14274,234,NA
14281,138,NA
