id,control_politico_id,persona_id,asistencia_id,tipo_citado,activo,usercreated,usermodifed,created_at,updated_at
402,7314,18447,5,0,NA,NA,NA,NA,NA
403,7314,18569,5,0,NA,NA,NA,NA,NA
404,7314,18730,5,0,NA,NA,NA,NA,NA
405,7314,18731,5,0,NA,NA,NA,NA,NA
406,7314,18732,5,0,NA,NA,NA,NA,NA
407,7314,18733,5,0,NA,NA,NA,NA,NA
408,7314,18734,5,0,NA,NA,NA,NA,NA
409,7314,18487,5,0,NA,NA,NA,NA,NA
410,7314,18735,5,0,NA,NA,NA,NA,NA
411,7314,18736,5,0,NA,NA,NA,NA,NA
412,7317,18448,2,0,NA,NA,NA,NA,NA
413,7317,18742,5,0,NA,NA,NA,NA,NA
422,7320,18740,1,0,NA,NA,NA,NA,NA
423,7320,18737,5,0,NA,NA,NA,NA,NA
424,7323,18486,1,0,NA,NA,NA,NA,NA
427,7323,18725,5,0,NA,NA,NA,NA,NA
414,7317,18743,2,0,NA,NA,NA,NA,NA
415,7317,18739,2,0,NA,NA,NA,NA,NA
416,7317,18522,1,0,NA,NA,NA,NA,NA
417,7317,18744,2,0,NA,NA,NA,NA,NA
418,7317,18486,1,0,NA,NA,NA,NA,NA
419,7317,18519,2,0,NA,NA,NA,NA,NA
420,7317,18400,1,0,NA,NA,NA,NA,NA
421,7317,18416,1,0,NA,NA,NA,NA,NA
398,7313,18737,5,0,NA,NA,NA,NA,NA
399,7313,18738,1,0,NA,NA,NA,NA,NA
425,7323,18729,1,0,NA,NA,NA,NA,NA
426,7323,18409,2,0,NA,NA,NA,NA,NA
428,7332,18394,5,0,NA,NA,NA,NA,NA
429,7332,18728,5,0,NA,NA,NA,NA,NA
1912,20914,19496,5,0,NA,NA,NA,NA,NA
1913,20914,18482,5,0,NA,NA,NA,NA,NA
1914,20914,17379,5,0,NA,NA,NA,NA,NA
1928,12181,18599,5,0,NA,NA,NA,NA,NA
2097,23366,19633,5,0,NA,NA,NA,NA,NA
448,7487,18711,5,0,NA,NA,NA,NA,NA
449,7487,18720,5,0,NA,NA,NA,NA,NA
450,7487,18721,5,0,NA,NA,NA,NA,NA
451,7487,18722,5,0,NA,NA,NA,NA,NA
452,7487,18666,5,0,NA,NA,NA,NA,NA
453,7487,18758,5,0,NA,NA,NA,NA,NA
454,7487,18759,5,0,NA,NA,NA,NA,NA
455,7487,18760,5,0,NA,NA,NA,NA,NA
456,7487,18761,5,0,NA,NA,NA,NA,NA
457,7487,18762,5,0,NA,NA,NA,NA,NA
458,7507,18533,5,0,NA,NA,NA,NA,NA
459,7507,18490,5,0,NA,NA,NA,NA,NA
460,7545,18765,5,0,NA,NA,NA,NA,NA
461,7545,18766,5,0,NA,NA,NA,NA,NA
462,7567,18772,5,0,NA,NA,NA,NA,NA
463,7580,18400,5,0,NA,NA,NA,NA,NA
464,7580,18519,5,0,NA,NA,NA,NA,NA
466,7599,18773,5,0,NA,NA,NA,NA,NA
467,7629,18400,5,0,NA,NA,NA,NA,NA
468,7646,18777,5,0,NA,NA,NA,NA,NA
469,7646,18466,5,0,NA,NA,NA,NA,NA
470,7697,18778,5,0,NA,NA,NA,NA,NA
471,7697,18779,5,0,NA,NA,NA,NA,NA
472,7697,18780,5,0,NA,NA,NA,NA,NA
473,7697,18597,5,0,NA,NA,NA,NA,NA
474,7697,18781,5,0,NA,NA,NA,NA,NA
475,7697,18782,5,0,NA,NA,NA,NA,NA
476,7697,18783,5,0,NA,NA,NA,NA,NA
477,7697,18784,5,0,NA,NA,NA,NA,NA
478,7697,18785,5,0,NA,NA,NA,NA,NA
479,7697,18786,5,0,NA,NA,NA,NA,NA
480,7697,18787,5,0,NA,NA,NA,NA,NA
481,7697,18468,5,0,NA,NA,NA,NA,NA
485,7734,18793,5,0,NA,NA,NA,NA,NA
486,7734,18794,5,0,NA,NA,NA,NA,NA
487,7734,18795,5,0,NA,NA,NA,NA,NA
488,7734,18641,5,0,NA,NA,NA,NA,NA
489,7741,15523,5,0,NA,NA,NA,NA,NA
490,7741,18796,5,0,NA,NA,NA,NA,NA
491,7741,18400,5,0,NA,NA,NA,NA,NA
492,7741,18797,5,0,NA,NA,NA,NA,NA
493,7741,18798,5,0,NA,NA,NA,NA,NA
494,7741,18799,5,0,NA,NA,NA,NA,NA
495,7796,18706,5,0,NA,NA,NA,NA,NA
496,7796,18707,5,0,NA,NA,NA,NA,NA
497,7796,18708,5,0,NA,NA,NA,NA,NA
498,7809,18801,5,0,NA,NA,NA,NA,NA
499,7809,18497,5,0,NA,NA,NA,NA,NA
500,7809,18802,5,0,NA,NA,NA,NA,NA
501,7864,18399,5,0,NA,NA,NA,NA,NA
502,7864,18803,5,0,NA,NA,NA,NA,NA
503,7864,18400,5,0,NA,NA,NA,NA,NA
504,7864,18804,5,0,NA,NA,NA,NA,NA
505,7864,18805,5,0,NA,NA,NA,NA,NA
506,7864,18806,5,0,NA,NA,NA,NA,NA
507,7864,18807,5,0,NA,NA,NA,NA,NA
508,7864,18808,5,0,NA,NA,NA,NA,NA
509,7952,18809,5,0,NA,NA,NA,NA,NA
510,7976,18711,5,0,NA,NA,NA,NA,NA
511,7976,18720,5,0,NA,NA,NA,NA,NA
512,7976,18721,5,0,NA,NA,NA,NA,NA
513,7976,18722,5,0,NA,NA,NA,NA,NA
514,7976,18666,5,0,NA,NA,NA,NA,NA
515,7976,18758,5,0,NA,NA,NA,NA,NA
516,7976,18759,5,0,NA,NA,NA,NA,NA
517,7976,18760,5,0,NA,NA,NA,NA,NA
518,7976,18761,5,0,NA,NA,NA,NA,NA
519,7976,18762,5,0,NA,NA,NA,NA,NA
520,7979,18801,5,0,NA,NA,NA,NA,NA
521,7979,18497,5,0,NA,NA,NA,NA,NA
522,7979,18802,5,0,NA,NA,NA,NA,NA
523,7983,18801,5,0,NA,NA,NA,NA,NA
524,7983,18497,5,0,NA,NA,NA,NA,NA
525,7983,18802,5,0,NA,NA,NA,NA,NA
526,7987,18801,5,0,NA,NA,NA,NA,NA
527,7987,18497,5,0,NA,NA,NA,NA,NA
528,7987,18802,5,0,NA,NA,NA,NA,NA
529,7987,17146,5,0,NA,NA,NA,NA,NA
530,7987,18711,5,0,NA,NA,NA,NA,NA
531,7987,18511,5,0,NA,NA,NA,NA,NA
532,8018,18412,5,0,NA,NA,NA,NA,NA
533,8018,18653,5,0,NA,NA,NA,NA,NA
534,8018,18428,5,0,NA,NA,NA,NA,NA
535,8018,18490,5,0,NA,NA,NA,NA,NA
536,8018,18522,5,0,NA,NA,NA,NA,NA
537,8036,18400,5,0,NA,NA,NA,NA,NA
538,8091,18811,5,0,NA,NA,NA,NA,NA
539,8091,18812,5,0,NA,NA,NA,NA,NA
540,8091,18813,5,0,NA,NA,NA,NA,NA
541,8125,18416,5,0,NA,NA,NA,NA,NA
542,8138,18772,5,0,NA,NA,NA,NA,NA
543,8138,18412,5,0,NA,NA,NA,NA,NA
544,8138,18820,5,0,NA,NA,NA,NA,NA
545,8138,18821,5,0,NA,NA,NA,NA,NA
546,8138,18822,5,0,NA,NA,NA,NA,NA
547,8142,18416,5,0,NA,NA,NA,NA,NA
548,8162,18433,5,0,NA,NA,NA,NA,NA
549,8162,18447,5,0,NA,NA,NA,NA,NA
550,8162,16776,5,0,NA,NA,NA,NA,NA
551,8162,16333,5,0,NA,NA,NA,NA,NA
552,8162,17795,5,0,NA,NA,NA,NA,NA
553,8162,17707,5,0,NA,NA,NA,NA,NA
554,8162,16607,5,0,NA,NA,NA,NA,NA
555,8162,18824,5,0,NA,NA,NA,NA,NA
556,8162,16352,5,0,NA,NA,NA,NA,NA
557,8162,14935,5,0,NA,NA,NA,NA,NA
558,8162,18826,5,0,NA,NA,NA,NA,NA
559,8162,18829,5,0,NA,NA,NA,NA,NA
560,8162,18831,5,0,NA,NA,NA,NA,NA
566,8174,18400,5,0,NA,NA,NA,NA,NA
567,8174,18399,5,0,NA,NA,NA,NA,NA
568,8174,18416,5,0,NA,NA,NA,NA,NA
570,8214,18400,5,0,NA,NA,NA,NA,NA
571,8214,18522,5,0,NA,NA,NA,NA,NA
572,8214,18742,5,0,NA,NA,NA,NA,NA
573,8214,18816,5,0,NA,NA,NA,NA,NA
574,8214,18743,5,0,NA,NA,NA,NA,NA
575,8214,18744,5,0,NA,NA,NA,NA,NA
576,8230,18843,5,0,NA,NA,NA,NA,NA
577,8255,18400,5,0,NA,NA,NA,NA,NA
578,8284,18519,5,0,NA,NA,NA,NA,NA
579,8296,18522,5,0,NA,NA,NA,NA,NA
580,8296,18519,5,0,NA,NA,NA,NA,NA
581,8323,18400,5,0,NA,NA,NA,NA,NA
582,8343,18522,5,0,NA,NA,NA,NA,NA
583,8343,18547,5,0,NA,NA,NA,NA,NA
584,8365,18522,5,0,NA,NA,NA,NA,NA
585,4298,18479,5,0,NA,NA,NA,NA,NA
586,4298,18848,5,0,NA,NA,NA,NA,NA
587,4298,18849,5,0,NA,NA,NA,NA,NA
588,4298,18850,5,0,NA,NA,NA,NA,NA
589,4298,18854,5,0,NA,NA,NA,NA,NA
590,4298,18853,5,0,NA,NA,NA,NA,NA
591,4298,18852,5,0,NA,NA,NA,NA,NA
592,4298,18851,5,0,NA,NA,NA,NA,NA
593,8451,18855,5,0,NA,NA,NA,NA,NA
594,8451,18856,5,0,NA,NA,NA,NA,NA
1915,20957,18599,5,0,NA,NA,NA,NA,NA
1929,21316,18599,5,0,NA,NA,NA,NA,NA
2098,23483,19542,5,0,NA,NA,NA,NA,NA
599,8611,18801,5,0,NA,NA,NA,NA,NA
600,8611,18861,5,0,NA,NA,NA,NA,NA
601,8611,18862,5,0,NA,NA,NA,NA,NA
602,8611,18863,5,0,NA,NA,NA,NA,NA
603,8611,15534,5,0,NA,NA,NA,NA,NA
604,8611,18864,5,0,NA,NA,NA,NA,NA
605,8611,14935,5,0,NA,NA,NA,NA,NA
606,8611,16244,5,0,NA,NA,NA,NA,NA
607,8611,17711,5,0,NA,NA,NA,NA,NA
608,8611,18866,5,0,NA,NA,NA,NA,NA
609,8611,18868,5,0,NA,NA,NA,NA,NA
610,8611,18867,5,0,NA,NA,NA,NA,NA
611,8611,18865,5,0,NA,NA,NA,NA,NA
612,8611,18869,5,0,NA,NA,NA,NA,NA
613,8611,18871,5,0,NA,NA,NA,NA,NA
614,8611,18872,5,0,NA,NA,NA,NA,NA
615,8611,18873,5,0,NA,NA,NA,NA,NA
616,8611,18874,5,0,NA,NA,NA,NA,NA
617,8611,18875,5,0,NA,NA,NA,NA,NA
618,8611,18876,5,0,NA,NA,NA,NA,NA
619,8611,18870,5,0,NA,NA,NA,NA,NA
620,8611,18877,5,0,NA,NA,NA,NA,NA
621,8611,18879,5,0,NA,NA,NA,NA,NA
622,8611,18882,5,0,NA,NA,NA,NA,NA
