id,post_id,tag_id
6970,1075,164
6971,1075,391
6972,1075,15
31379,5086,1554
31380,5086,1548
31465,5098,1554
8410,1253,544
8411,1253,103
8412,1253,603
8413,1253,39
6973,1068,576
6974,1068,577
6975,1068,578
6976,1068,579
3924,579,216
3925,579,381
3926,579,382
6977,1068,247
5377,876,192
5378,876,315
6978,1083,392
3935,588,34
3936,590,216
3937,590,357
3938,590,382
3939,592,216
3940,592,250
3941,592,382
3942,585,83
6979,1083,511
5411,905,290
5412,905,243
5413,905,526
8474,1269,216
8475,1269,113
8476,1269,682
8477,1269,228
3951,597,216
3952,597,385
3953,597,382
3954,597,207
3955,595,16
3956,595,216
3957,595,188
3958,595,341
3959,601,216
3960,601,386
3961,601,374
3962,601,327
5448,923,323
5449,923,164
5450,923,103
5451,923,360
5452,923,16
5453,923,17
5454,923,163
5455,923,505
5456,923,104
7768,1129,598
5482,934,541
8478,1269,398
8506,1273,209
8507,1273,212
8508,1273,437
8509,1273,696
8510,1273,697
8511,1273,668
8553,1277,705
8554,1277,706
8555,1277,603
8556,1277,620
8557,1277,632
8558,1277,697
8559,1277,443
8598,1281,192
8599,1281,645
8600,1281,236
8601,1281,686
7980,1166,624
7981,1166,623
31466,5098,1859
31467,5098,228
31468,5098,70
31469,5098,1143
8602,1281,126
8603,1281,222
6980,1083,247
6983,1070,34
6984,1070,70
6985,1070,162
6986,1070,478
6987,1070,295
6988,1092,289
6989,1092,580
8680,1300,678
8681,1300,679
8682,1300,682
8683,1300,715
8684,1300,430
8685,1300,216
8686,1300,185
6990,1092,581
8248,1214,513
8249,1214,622
8250,1214,48
8251,1214,84
8252,1214,438
8253,1214,478
6991,1092,522
8285,1237,645
8286,1237,41
8287,1237,620
8288,1237,685
8289,1237,686
8290,1237,687
8291,1237,81
8292,1237,214
8293,1237,184
8294,1237,190
6992,1092,523
6993,1092,216
6994,1092,188
6995,1094,216
6996,1094,583
6997,1094,582
6998,1094,423
7794,1142,64
7795,1142,512
7796,1142,610
7797,1142,611
7798,1142,612
7799,1142,613
7800,1142,614
7801,1142,392
7802,1142,297
7803,1142,216
4098,606,216
4099,606,387
4100,606,388
4108,608,216
4109,608,389
4110,608,390
4111,608,391
4113,610,227
4114,610,236
4115,610,181
4121,614,64
4122,614,305
4123,614,216
4124,614,230
4125,614,63
4128,615,103
4129,616,392
4130,616,312
4131,616,216
4132,616,297
4133,616,159
4134,617,224
4135,617,216
4136,617,226
4137,618,192
4138,618,216
4139,618,334
5284,874,56
5285,874,55
5286,874,37
4240,607,34
4807,763,81
4808,763,122
4809,763,108
5287,874,103
5302,879,525
5303,879,21
7804,1142,159
4837,761,112
4838,761,34
4839,761,84
4840,761,390
7837,1157,616
7838,1157,305
7839,1157,267
6634,950,112
4269,634,324
4270,634,325
4271,634,326
4272,634,399
4273,634,400
4274,634,216
4275,634,63
6635,950,34
5355,885,96
5356,885,34
5357,885,69
5358,885,135
5359,885,157
5360,885,30
6636,950,10
6637,950,135
7589,1103,585
7590,1103,428
7591,1103,46
4212,621,96
4213,621,34
4214,621,39
4215,621,296
4216,621,19
4217,621,346
4218,621,95
4219,621,31
7592,1103,566
5401,901,153
5402,901,34
5403,901,477
5404,901,30
5414,892,243
5415,892,526
5429,894,185
4296,640,265
4297,640,401
4298,640,402
4299,640,403
4300,640,404
4301,640,279
4302,640,216
5430,894,247
5431,894,340
5432,894,527
7593,1103,216
7594,1103,571
7595,1103,383
5474,932,536
4311,645,216
4312,645,41
4313,645,210
4314,645,212
4315,645,215
5475,932,216
5476,932,538
5477,932,539
5478,932,535
5483,935,542
4330,641,64
4331,641,405
7732,1124,592
36826,6162,601
36827,6162,775
42888,6935,1642
42889,6935,653
42890,6935,158
7850,1158,184
7851,1158,192
7852,1158,236
7853,1158,565
7953,1183,640
7954,1183,641
7955,1183,642
7956,1183,643
7957,1183,644
7958,1183,216
8028,1196,16
4362,649,410
4363,647,407
8029,1196,164
8030,1196,15
4366,648,174
4367,648,304
4368,648,408
4369,648,216
4370,648,409
4371,648,90
4372,644,296
4373,644,159
4374,643,64
4375,643,396
4376,643,391
4382,651,246
4383,651,396
4384,651,184
4385,651,374
