id,created_at,edited_at,fecha_hora,persona_id,tipo_id,texto,content_type_id,object_id,periodo_id
67,2010-03-25 20:23:16.546948,2010-03-25 20:23:16.546969,2010-03-25 20:23:16.546984,107,3,NA,55,61236,NA
68,2010-03-25 20:23:16.568299,2010-03-25 20:23:16.568320,2010-03-25 20:23:16.568335,108,3,NA,55,61237,NA
69,2010-03-25 20:23:16.623162,2010-03-25 20:23:16.623183,2010-03-25 20:23:16.623198,341,3,NA,55,61238,NA
70,2010-03-25 20:23:16.722522,2010-03-25 20:23:16.722542,2010-03-25 20:23:16.722557,343,3,NA,55,61239,NA
71,2010-03-25 20:23:16.741831,2010-03-25 20:23:16.741851,2010-03-25 20:23:16.741866,1313,3,NA,55,61240,NA
72,2010-03-25 20:23:16.830390,2010-03-25 20:23:16.830410,2010-03-25 20:23:16.830425,360,3,NA,55,61241,NA
73,2010-03-25 20:23:16.852393,2010-03-25 20:23:16.852412,2010-03-25 20:23:16.852427,112,3,NA,55,61242,NA
74,2010-03-25 20:23:16.912361,2010-03-25 20:23:16.912381,2010-03-25 20:23:16.912396,113,3,NA,55,61243,NA
75,2010-03-25 20:23:16.943879,2010-03-25 20:23:16.943899,2010-03-25 20:23:16.943914,111,3,NA,55,61244,NA
76,2010-03-25 20:23:16.985123,2010-03-25 20:23:16.985143,2010-03-25 20:23:16.985157,114,3,NA,55,61245,NA
77,2010-03-25 20:23:17.118254,2010-03-25 20:23:17.118275,2010-03-25 20:23:17.118290,115,3,NA,55,61246,NA
78,2010-03-25 20:23:17.138307,2010-03-25 20:23:17.138349,2010-03-25 20:23:17.138364,116,3,NA,55,61247,NA
79,2010-03-25 20:23:17.219790,2010-03-25 20:23:17.219810,2010-03-25 20:23:17.219825,117,3,NA,55,61248,NA
80,2010-03-25 20:23:17.276250,2010-03-25 20:23:17.276270,2010-03-25 20:23:17.276285,118,3,NA,55,61249,NA
81,2010-03-25 20:23:17.316524,2010-03-25 20:23:17.316547,2010-03-25 20:23:17.316562,1316,3,NA,55,61250,NA
82,2010-03-25 20:23:17.365218,2010-03-25 20:23:17.365255,2010-03-25 20:23:17.365270,398,3,NA,55,61251,NA
83,2010-03-25 20:23:17.388421,2010-03-25 20:23:17.388461,2010-03-25 20:23:17.388477,120,3,NA,55,61252,NA
84,2010-03-25 20:23:17.443493,2010-03-25 20:23:17.443518,2010-03-25 20:23:17.443533,121,3,NA,55,61253,NA
85,2010-03-25 20:23:17.482708,2010-03-25 20:23:17.482729,2010-03-25 20:23:17.482744,1030,3,NA,55,61254,NA
86,2010-03-25 20:23:17.532506,2010-03-25 20:23:17.532527,2010-03-25 20:23:17.532542,122,3,NA,55,61255,NA
87,2010-03-25 20:23:17.571937,2010-03-25 20:23:17.571959,2010-03-25 20:23:17.571974,1300,3,NA,55,61256,NA
88,2010-03-25 20:23:17.636064,2010-03-25 20:23:17.636084,2010-03-25 20:23:17.636099,123,3,NA,55,61257,NA
89,2010-03-25 20:23:17.656342,2010-03-25 20:23:17.656362,2010-03-25 20:23:17.656378,409,3,NA,55,61258,NA
90,2010-03-25 20:23:17.675792,2010-03-25 20:23:17.675814,2010-03-25 20:23:17.675829,1167,3,NA,55,61259,NA
91,2010-03-25 20:23:17.749011,2010-03-25 20:23:17.749031,2010-03-25 20:23:17.749046,125,3,NA,55,61260,NA
92,2010-03-25 20:23:17.801876,2010-03-25 20:23:17.801900,2010-03-25 20:23:17.801915,126,3,NA,55,61261,NA
93,2010-03-25 20:23:17.846423,2010-03-25 20:23:17.846445,2010-03-25 20:23:17.846461,127,3,NA,55,61262,NA
94,2010-03-25 20:23:17.886465,2010-03-25 20:23:17.886485,2010-03-25 20:23:17.886500,1214,3,NA,55,61263,NA
95,2010-03-25 20:23:17.925591,2010-03-25 20:23:17.925622,2010-03-25 20:23:17.925638,128,3,NA,55,61264,NA
96,2010-03-25 20:23:17.986405,2010-03-25 20:23:17.986427,2010-03-25 20:23:17.986442,441,3,NA,55,61265,NA
97,2010-03-25 20:23:18.059583,2010-03-25 20:23:18.059618,2010-03-25 20:23:18.059633,129,3,NA,55,61266,NA
98,2010-03-25 20:23:18.134664,2010-03-25 20:23:18.134704,2010-03-25 20:23:18.134719,130,3,NA,55,61267,NA
99,2010-03-25 20:23:18.158652,2010-03-25 20:23:18.158695,2010-03-25 20:23:18.158710,1058,3,NA,55,61268,NA
100,2010-03-25 20:23:18.189608,2010-03-25 20:23:18.189629,2010-03-25 20:23:18.189645,131,3,NA,55,61269,NA
