id,titulo,texto,img,activo,orden,link
109,Audiencia pública sobre el marco legal para la paz,"Se llevará a cabo este jueves a las 9:00 a.m., convocada por la Comisión I de Senado, socializar el proyecto de acto legislativo No. 94/11 con el que se pretende reformar los diferentes instrumentos jurídicos de justicia transicional.",uploads/imgs/personas/Grupos_armados_ilegales.jpg,FALSE,128,http://bit.ly/rExzYU
13,¡ El nuevo CV está de cumpleaños !,"En enero de 2010 la página web de Congreso Visible renovó su imagen para ofrecerle a sus usuarios más información, de una manera más sencilla y moderna. ¡Un año de buenos cambios y grandes resultados!",uploads/imgs/personas/Banner_cumple2_.jpg,FALSE,247,NA
50,"¿Cómo está Colombia en ciencia, tecnología e innovación?","La Ministra de Educación Nacional y el Director de Colciencias fueron citados para este martes, a las 10:00 a.m., a la Comisión VI de Senado para debatir sobre los avances en el tema luego de la aplicación de la Ley 1286 de 2009.",uploads/imgs/personas/CyT.jpg,FALSE,225,http://bit.ly/kDTn4D
282,"Minería, un debate aplazado","Esta tarde se discutirá sobre política minera, procesos de consulta previa e impacto ambiental",uploads/imgs/personas/Debate_minería.jpg,FALSE,22,http://bit.ly/139v1Bn
277,"Esta semana la Procuraduría absolvió a dos excongresistas conservadores, en proceso por parapolítica",Se trata de los exsenadores Luis Humberto Gómez Gallo y Ciro Ramírez quienes fueron condenados por la Corte Suprema de Justicia,uploads/imgs/personas/banner_parapolíticos.jpg,FALSE,27,http://www.congresovisible.org/
270,“La experiencia le da a uno más cancha”,"En Colombia mucho se ha debatido sobre la reelección presidencial, pero poco se ha dicho sobre la pertinencia de la reelección de los congresistas.",uploads/imgs/personas/Banner_Artículo_Seniority_.jpg,FALSE,10,http://bit.ly/12rdkSy
291,En vivo:  debate sobre apropiación de baldíos y crisis del agro,"Se trata la problemática del sector agropecuario, acaparamiento de baldíos y acceso a la tierra para indígenas y campesinos",uploads/imgs/personas/Debate_baldios.jpg,FALSE,12,http://bit.ly/18bkCbc
297,En vivo: Debate sobre funciones y actuaciones del Ministro de Agricultura Ruben Darío Lizarralde,Por segunda vez el senador Jorge Robledo cita al Ministro Lizarralde para que rinda cuentas sobre irregularidades en tema de los baldíos entre otros aspectos.,uploads/imgs/personas/debate_lizarralde.jpg,FALSE,7,http://bit.ly/mz85R0
298,En el Congreso avanza proyecto para regular salarios de los servidores públicos,Ningún servidor público podría recibir un salario superior al de los congresistas,uploads/imgs/personas/salarios_servidores.jpg,FALSE,6,http://goo.gl/OahyiY
110,¿Cómo va el TCL con Corea del Sur?,"La Comisión II del Senado convocó  al Ministro de Comercio, Industria y Turismo y al jefe negociador de los acuerdos comerciales para conocer el estado actual del tratado con Corea del Sur.",uploads/imgs/personas/TLC_Col-Corea.jpg,FALSE,162,http://bit.ly/qOTv2M
218,Violencia sexual en el conflicto armado: ¡nunca más!,Este miércoles se presentará el proyecto de ley que pretende tipificar la violencia sexual como crimen de lesa humanidad,uploads/imgs/personas/Violencia_sexual_en_el_conflicto_Nunca_más_.jpg,FALSE,78,http://bit.ly/QrIlzc
91,Comienza estudio de escisión de ministerios,"Con la participación del ministro Mauricio Santamaría, el Vicepresidente de la República, exministros y expertos, la Comisión VII de la Cámara de Representantes discutirá este jueves los pormenores de la escisión de esta cartera.",uploads/imgs/personas/MinProteccion.jpg,FALSE,183,http://bit.ly/nZAX8Q
61,A debate medidas para restringir comercio de celulares robados,"Se realizará hoy en la Comisión VI de Senado con el ministro de Tecnologías de la Información y Comunicaciones, el Superintendente de Industria y Comercio y el Director de la Comisión de Comunicaciones.",uploads/imgs/personas/Celulares_.jpg,FALSE,193,http://bit.ly/kXsG1a
273,Matrimonio igualitario: posturas y perspectivas para un debate inconcluso,"Las parejas del mismo sexo acudirían nuevamente a la Corte Constitucional para pedir que sus ""uniones solemnes"" sean ratificadas como matrimonio.",uploads/imgs/personas/Banner_Artículo_Matrimonio.jpg,FALSE,33,http://bit.ly/18imGzE
