id,proyecto_ley_estado_id,comision_id
551,28133,3
552,28136,3
553,28137,3
555,28003,1
556,27978,1
6873,37900,12
560,28188,12
567,28181,12
568,28194,12
570,27886,2
574,27865,7
575,27863,13
576,27864,13
577,27885,2
578,27888,2
582,28490,2
586,27975,6
587,27880,2
588,27872,11
589,27875,2
590,27878,2
591,27948,4
594,27891,12
596,27879,2
599,27881,2
602,27862,11
604,27890,2
13620,44654,2
13676,41442,3
13738,44727,1
13794,44782,7
13831,43550,11
6874,37906,1
13890,42467,11
13931,44105,8
621,27781,1
13982,43760,4
14083,45256,5
634,27744,11
644,27651,7
646,27659,4
6876,25914,1
650,27608,1
6305,36926,1
656,27812,12
666,27627,2
667,27601,10
668,27593,11
670,27688,7
671,27592,11
673,27598,7
674,28201,10
675,29330,11
678,27636,12
679,27583,8
682,27602,12
686,27586,8
689,27588,8
690,27564,11
692,27563,11
693,28515,9
694,28550,9
698,27515,7
699,27516,12
702,27620,4
705,27520,7
707,27525,6
709,27530,2
711,27500,11
713,27514,1
715,27522,7
716,27531,13
718,27529,2
719,27527,2
6877,25902,1
6306,3716,1
726,27420,1
728,29028,6
729,27399,6
732,27393,4
736,27658,4
6878,37911,9
738,27473,12
739,27389,1
742,27385,13
754,27148,1
755,25703,11
756,25702,11
757,25704,11
759,28034,6
761,25679,7
762,25678,7
763,27319,2
764,27321,2
769,25601,3
770,27472,2
777,25628,11
779,25574,1
783,25564,4
789,25540,14
796,25533,11
798,25519,11
803,25508,12
811,25423,6
812,25560,7
816,25419,3
13677,41425,3
13739,44728,1
820,25352,10
821,25356,9
13795,44783,7
13832,43578,11
13891,44947,11
13932,44458,8
13983,43759,4
833,25331,11
834,25364,1
835,25330,11
837,25323,11
838,25309,4
839,25324,11
841,25314,6
845,25639,12
848,25251,14
852,25240,11
853,25303,6
854,25279,7
858,25201,1
859,25193,12
868,27312,2
869,25271,2
870,27313,2
6879,37914,4
873,25707,2
874,25062,3
878,25063,3
879,25064,7
880,25109,9
881,25065,7
883,24765,12
884,24765,13
885,24765,10
886,24765,8
887,29169,2
888,25039,3
889,25042,4
890,24948,11
891,25058,2
892,25055,7
893,25056,2
894,25057,2
897,24976,7
902,28080,14
904,24691,2
907,24778,10
908,24672,11
912,29422,4
939,23422,1
951,23760,1
952,23903,5
966,23447,1
993,23157,14
1000,23103,1
1006,23162,4
