id,created_at,updated_at,nombre,fecha_fundacion,direccion,direccion,estatutos
127,2010-02-16 14:24:03.699871,2011-05-09 16:29:20.961350,Nuevo Liberalismo,NA,NA,NA,NA
63,2010-01-17 17:19:23.502369,2011-05-17 16:04:14.821094,Compromiso Cívico Cristiano - C4,NA,Calle 102 N? 67 - 21,Calle 102 N? 67 - 21,NA
133,2010-04-15 22:59:32.310619,2010-09-03 21:03:29.829512,Movimiento Social e Indígena,NA,NA,NA,NA
134,2010-04-23 14:51:00.802669,2010-09-03 21:04:39.533408,Unidad Liberal,NA,NA,NA,NA
1,2009-11-25 09:17:53.000000,2011-05-09 16:38:07.605218,Convergencia Ciudadana,NA,NA,NA,NA
115,2010-01-17 17:19:23.754474,2011-04-14 15:00:44.020549,Afrounincca,2007-07-25,Calle 24 A N? 13 - 72,Calle 24 A N? 13 - 72,NA
162,2014-02-10 15:13:02.329579,2014-07-22 11:13:19.002715,Cabildo del Resguardo de Calderas,NA,NA,NA,NA
161,2014-02-10 15:05:10.030414,2018-02-02 15:32:34.326999,Aimac - Autoridades Indígenas de Medicina Ancestral de Colombia,NA,NA,NA,NA
132,2010-03-11 18:12:33.741054,2018-02-02 15:33:43.920890,FISA - Fundación Integración Social Afrocolombiana,NA,NA,NA,NA
177,2014-02-10 16:17:53.107998,2018-02-02 18:43:55.386972,Esafro Fundación Esperanza Afro,NA,NA,NA,NA
29,2010-01-17 17:19:23.320676,2011-05-17 15:45:05.554729,Colombia Siempre,1993-08-17,NA,NA,NA
130,2010-03-03 17:44:59.545092,2010-09-03 20:59:55.795506,ASNEA,NA,NA,NA,NA
35,2010-01-17 17:19:23.361129,2012-06-08 19:21:35.777932,Salvación Nacional,NA,Edificio nuevo del congreso Of 207 B,Edificio nuevo del congreso Of 207 B,NA
44,2010-01-17 17:19:23.397910,2011-05-17 15:41:34.035333,Somos Colombia,NA,NA,NA,NA
30,2010-01-17 17:19:23.323241,2011-05-09 16:17:20.439669,Colombia Viva,NA,Cll 12 No. 5 - 32 of 303,Cll 12 No. 5 - 32 of 303,NA
114,2010-01-17 17:19:23.746274,2010-03-26 02:58:04.806078,Alianza Social Afrocolombiana,NA,Ed. nuevo del congreso. Of  534B y 536B,Ed. nuevo del congreso. Of  534B y 536B,NA
42,2010-01-17 17:19:23.392594,2011-05-17 15:47:51.518901,Movimiento Reconstrucción Democrática Nacional,1998-01-28,NA,NA,NA
186,2014-02-10 17:41:43.015330,2014-07-22 11:20:40.589624,Multietnia Colombia,NA,NA,NA,NA
163,2014-02-10 15:16:00.953210,2014-07-22 11:13:22.302538,Cabildo Indigena de San Sebastián de los Lagos,NA,NA,NA,NA
152,2014-01-24 20:01:26.879380,2014-02-10 20:30:24.577437,Movimiento Blanco por la Paz,NA,NA,NA,NA
135,2010-05-25 21:00:58.986173,2018-02-02 15:37:20.028694,MOIR - Movimiento Obrero Independiente Revolucionario,NA,NA,NA,NA
187,2014-02-10 17:44:58.573265,2018-02-02 15:38:01.264698,OPIAC - Organización de los Pueblos Indígenas de la Amazonia Colombiana,NA,NA,NA,NA
188,2014-02-10 17:50:01.260657,2018-02-02 15:38:30.106554,Oeca - Organización Étnica comunitaria Afro Colombia,NA,NA,NA,NA
171,2014-02-10 15:54:02.498513,2014-07-22 11:15:23.672227,Corporación Vides y sus Niches,NA,NA,NA,NA
172,2014-02-10 15:58:20.294601,2014-07-22 11:15:29.204442,Dignidades Agropecuarias Indígenas,NA,NA,NA,NA
174,2014-02-10 16:04:27.460366,2014-07-22 11:17:01.035409,Fundación Afrocolombianos en Acción,NA,NA,NA,NA
175,2014-02-10 16:07:26.581290,2014-07-22 11:17:05.750651,Fundación Cultural Costa Caribe Funculcosta,NA,NA,NA,NA
173,2014-02-10 16:01:07.510554,2014-07-22 11:16:51.421344,E.A.T. Botica Comunitaria del Valle del Cauca,NA,NA,NA,NA
178,2014-02-10 16:21:46.919463,2014-07-22 11:17:15.917089,Fundación Forfuturo,NA,NA,NA,NA
179,2014-02-10 16:26:19.664080,2014-07-22 11:17:20.824933,Fundación Intensidad,NA,NA,NA,NA
180,2014-02-10 16:32:55.682249,2014-07-22 11:17:26.368639,Fundación para el Desarrollo de la Cuenca del Pacífico Colombiano,NA,NA,NA,NA
184,2014-02-10 17:29:55.817250,2014-07-22 11:19:54.196294,Movimiento Afrocolombiano Socioambientalista Macoas,NA,NA,NA,NA
138,2012-04-11 20:31:23.443833,2012-04-11 20:51:43.296786,Sin información,NA,NA,NA,NA
8,2009-11-25 09:17:54.000000,2012-07-18 14:44:22.265467,Colombia Democrática,NA,NA,NA,NA
192,2014-02-10 19:49:25.420319,2014-07-22 11:22:00.851059,Vía Nueva,NA,NA,NA,NA
4,2009-11-25 09:17:53.000000,2014-07-22 12:50:27.435284,Conservador Colombiano,1849-10-04,NA,NA,http://bit.ly/ejSSDO
157,2014-02-07 21:33:12.401502,2014-07-22 11:12:11.530704,Asociación de Autoridades Tradicionales y Cabildos Indígenas de Colombia,NA,NA,NA,NA
5,2009-11-25 09:17:53.000000,2018-02-02 15:43:26.722887,Partido de la U - Partido Social de Unidad Nacional,2005-12-18,NA,NA,http://bit.ly/qZFDjf
176,2014-02-10 16:09:35.826018,2018-02-01 20:01:12.103253,Todos Somos Colombia (Antes Fundación Ébano de Colombia Funeco),NA,NA,NA,NA
191,2014-02-10 19:43:12.411573,2018-02-02 14:19:13.778493,Asociación Afrocolombiana Sí se Puede,NA,NA,NA,NA
170,2014-02-10 15:49:53.479827,2018-02-02 15:33:29.793894,Corposinpac - Corporación Social e Integral del Pacífico,NA,NA,NA,NA
182,2014-02-10 16:40:47.830718,2018-02-02 15:33:56.705520,Fundiafro - Fundación para el Desarrollo Integral del Afrodescendiente,NA,NA,NA,NA
183,2014-02-10 17:23:57.501553,2018-02-05 18:08:02.389524,Los Palenkes,NA,NA,NA,NA
3,2009-11-25 09:17:53.000000,2012-08-09 13:36:07.211846,Cambio Radical,2000-07-05,NA,NA,http://bit.ly/ik9Ra0
141,2012-11-27 20:27:06.682732,2012-11-30 16:02:59.348641,Bancada Indígena,NA,NA,NA,NA
150,2014-01-20 15:46:27.248696,2014-07-22 11:50:55.871570,Por un Huila Mejor,NA,NA,NA,NA
193,2014-02-10 20:49:26.473258,2014-07-22 11:21:34.316723,Únete Centro Democrático,NA,NA,NA,NA
149,2014-01-16 14:56:58.741710,2014-01-20 18:45:24.485737,Movimiento Político Cien por Ciento por Colombia,NA,NA,NA,NA
68,2010-01-17 17:19:23.519627,2018-02-02 15:36:36.033798,MIR - Movimiento de Integración Regional,NA,NA,NA,NA
153,2014-02-07 20:34:22.229195,2018-04-30 13:21:38.022262,UP - Unión Patriótica,NA,NA,NA,https://up.org.co/images/archivos/1/estatutos_up.pdf
164,2014-02-10 15:21:07.381789,2014-07-22 11:13:54.786510,Comunidad Indígena de Barrancón,NA,NA,NA,NA
151,2014-01-24 18:46:29.773252,2014-07-22 11:16:56.327525,Embera Chami del Resguardo Indígena Dachi Agore Drua,NA,NA,NA,NA
146,2013-12-13 21:31:13.812302,2014-02-13 19:25:24.419758,Alianza Verde,NA,NA,NA,NA
131,2010-03-11 17:48:48.386697,2014-07-22 11:47:55.177039,ALAS,2006-01-01,NA,NA,http://bit.ly/eYeiTd
136,2010-08-03 16:28:59.274973,2014-07-22 11:48:02.164650,Afrovides,2010-08-01,NA,NA,http://bit.ly/AhYO6c
145,2013-12-13 20:37:42.567548,2016-03-09 19:18:56.218565,Opción Ciudadana,2009-11-09,NA,NA,http://partidoopcionciudadana.com/doc/estatutosopcionciudadana.pdf
12,2009-11-27 21:12:37.000000,2014-07-22 11:48:27.042731,Partido Verde,2007-06-05,NA,NA,http://goo.gl/il8KO
197,2015-08-31 17:29:55.186498,2017-10-05 15:11:34.764204,Movimiento Progresistas,NA,NA,NA,NA
155,2014-02-07 21:09:26.918473,2018-02-02 15:30:30.433671,Afrodmam - Asociación de Afrodescendientes del Magdalena Medio,NA,NA,NA,NA
156,2014-02-07 21:18:44.895386,2018-02-02 15:30:52.301899,Opic - Asociación de Autoridades Tradicionales Indigenas,NA,NA,NA,NA
6,2009-11-25 09:17:53.000000,2018-02-02 15:46:34.212096,PDA - Polo Democrático Alternativo,2005-12-01,NA,NA,http://bit.ly/fkP7dX
196,2015-08-31 16:38:39.300313,2018-02-23 14:12:37.287651,Colombia Justa Libres (Antes Movimiento Libres),NA,NA,NA,NA
91,2010-01-17 17:19:23.605766,2014-02-24 16:51:55.474982,Conservador Colombiano-Movimiento de Salvación,NA,NA,NA,NA
82,2010-01-17 17:19:23.563206,2014-02-24 16:55:16.265184,Movimiento Comunal y Comunitario de Colombia,NA,Calle 19 # 7 - 48 Of. 502,Calle 19 # 7 - 48 Of. 502,NA
